"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"33269","{""Q0"":""611cde82784f11c1e17fe12b""}","survey-text","0","33292","0.0-0.0","611cde82784f11c1e17fe12b","","","","","","","","","","","",""
"1838","0","html-button-response","1","35131","0.0-1.0","611cde82784f11c1e17fe12b","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"56422","0","html-button-response","2","91557","0.0-2.0","611cde82784f11c1e17fe12b","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"7743","{""Q0"":6}","survey-likert","3","99303","0.0-3.0-0.0","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","91","This is the worst moment of my life.","<2.25","","7","null"
"8032","{""Q0"":4}","survey-likert","4","107341","0.0-3.0-0.1","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","5","Is there anything I can do for you?","<2.25","","5","null"
"7717","{""Q0"":1}","survey-likert","5","115063","0.0-3.0-0.2","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","285","And now there are trees all around us.","2.25-3.25","","2","null"
"4831","{""Q0"":5}","survey-likert","6","119903","0.0-3.0-0.3","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","335","He looked to be a normal-sized eight-year-old kid.","3.25-4.25","","6","null"
"19494","{""Q0"":4}","survey-likert","7","139403","0.0-3.0-0.4","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","67","Oh, I wish I could remember the name.","<2.25","","5","null"
"12654","{""Q0"":5}","survey-likert","8","152062","0.0-3.0-0.5","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","336","He looked at me with a wacky gaze.","3.25-4.25","","6","null"
"4672","{""Q0"":3}","survey-likert","9","156740","0.0-3.0-0.6","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","138","There is no use in talking about it.","<2.25","","4","null"
"4500","{""Q0"":6}","survey-likert","10","161244","0.0-3.0-0.7","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","502","We were surrounded by people from various origins.","4.25-5.25","","7","null"
"7249","{""Q0"":2}","survey-likert","11","168499","0.0-3.0-0.8","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","699","It also had real but limited economic advances.",">5.25","","3","null"
"5448","{""Q0"":3}","survey-likert","12","173952","0.0-3.0-0.9","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","92","Maybe you should take another look at it.","<2.25","","4","null"
"5624","{""Q0"":2}","survey-likert","13","179581","0.0-3.0-0.10","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","168","I'm just trying to find the right words.","2.25-3.25","","3","null"
"7488","{""Q0"":4}","survey-likert","14","187076","0.0-3.0-0.11","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","94","This is not where I want to be.","<2.25","","5","null"
"11908","{""Q0"":5}","survey-likert","15","198987","0.0-3.0-0.12","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","359","So tonight I decided to have a barbecue.","3.25-4.25","","6","null"
"4997","{""Q0"":6}","survey-likert","16","203990","0.0-3.0-0.13","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","771","Reactions worked totally off of his trained instincts.",">5.25","","7","null"
"6074","{""Q0"":4}","survey-likert","17","210069","0.0-3.0-0.14","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","115","What am I going to say to them?","<2.25","","5","null"
"5293","{""Q0"":3}","survey-likert","18","215366","0.0-3.0-0.15","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","99","I was trying to do the right thing.","<2.25","","4","null"
"6457","{""Q0"":5}","survey-likert","19","221831","0.0-3.0-0.16","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","304","We must move before the sun comes up.","2.25-3.25","","6","null"
"7479","{""Q0"":4}","survey-likert","20","229316","0.0-3.0-0.17","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","399","Fortunately, you've arrived on a very interesting night.","3.25-4.25","","5","null"
"7246","{""Q0"":6}","survey-likert","21","236569","0.0-3.0-0.18","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","701","I was elected captain and James became jealous.",">5.25","","7","null"
"6186","{""Q0"":5}","survey-likert","22","242760","0.0-3.0-0.19","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","177","Frankly, I can't spare the time right now.","2.25-3.25","","6","null"
"3726","{""Q0"":6}","survey-likert","23","246491","0.0-3.0-0.20","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","attention_check_20","This is an attention check. Please click 7.","attention_check","7","7","true"
"9274","{""Q0"":4}","survey-likert","24","255772","0.0-3.0-0.21","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","764","Your writ runs in the hours of darkness.",">5.25","","5","null"
"6799","{""Q0"":5}","survey-likert","25","262576","0.0-3.0-0.22","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","455","However, I am without argument to explain it.","3.25-4.25","","6","null"
"4252","{""Q0"":5}","survey-likert","26","266833","0.0-3.0-0.23","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","288","Isn't she coming home for tea after all?","2.25-3.25","","6","null"
"4602","{""Q0"":4}","survey-likert","27","271440","0.0-3.0-0.24","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","76","I can't get it out of my head.","<2.25","","5","null"
"5680","{""Q0"":5}","survey-likert","28","277127","0.0-3.0-0.25","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","179","In the meantime, I had much to do.","2.25-3.25","","6","null"
"4397","{""Q0"":6}","survey-likert","29","281527","0.0-3.0-0.26","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","254","He had not expected them to believe him.","2.25-3.25","","7","null"
"6456","{""Q0"":4}","survey-likert","30","287990","0.0-3.0-0.27","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","345","It was a very heavy silence that followed.","3.25-4.25","","5","null"
"4187","{""Q0"":6}","survey-likert","31","292183","0.0-3.0-0.28","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","485","The huge goalkeeper had vanished into thin air.","4.25-5.25","","7","null"
"5729","{""Q0"":2}","survey-likert","32","297918","0.0-3.0-0.29","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","305","I went out to get him some food.","2.25-3.25","","3","null"
"6508","{""Q0"":1}","survey-likert","33","304431","0.0-3.0-0.30","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","518","Go figure, no one wears hats these days.","4.25-5.25","","2","null"
"4498","{""Q0"":5}","survey-likert","34","308936","0.0-3.0-0.31","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","532","They keep inviting us back every single year.","4.25-5.25","","6","null"
"4112","{""Q0"":4}","survey-likert","35","313053","0.0-3.0-0.32","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","466","He pulled up with all of his strength.","3.25-4.25","","5","null"
"8584","{""Q0"":2}","survey-likert","36","321643","0.0-3.0-0.33","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","234","Why do you think you're in this pickle?","2.25-3.25","","3","null"
"9575","{""Q0"":5}","survey-likert","37","331222","0.0-3.0-0.34","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","169","Well, of course, I'm sure you're a gentleman.","2.25-3.25","","6","null"
"5144","{""Q0"":5}","survey-likert","38","336372","0.0-3.0-0.35","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","69","Looks like someone wants to be a hero.","<2.25","","6","null"
"5912","{""Q0"":3}","survey-likert","39","342288","0.0-3.0-0.36","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","104","Everything you need to know is right there.","<2.25","","4","null"
"8607","{""Q0"":5}","survey-likert","40","350901","0.0-3.0-0.37","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","375","She can also be a bear at times.","3.25-4.25","","6","null"
"7141","{""Q0"":6}","survey-likert","41","358053","0.0-3.0-0.38","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","57","But I don't know exactly where she is.","<2.25","","7","null"
"8236","{""Q0"":1}","survey-likert","42","366298","0.0-3.0-0.39","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","600","It was not the most comfortable of transport.","4.25-5.25","","2","null"
"19567","{""Q0"":5}","survey-likert","43","385870","0.0-3.0-0.40","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","402","He might get fed up of his habits.","3.25-4.25","","6","null"
"6676","{""Q0"":0}","survey-likert","44","392552","0.0-3.0-0.41","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","attention_check_40","This is an attention check. Please click 1.","attention_check","1","1","true"
"107461","{""Q0"":4}","survey-likert","45","500018","0.0-3.0-0.42","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","226","Her voice was too soft to be heard.","2.25-3.25","","5","null"
"5045","{""Q0"":2}","survey-likert","46","505074","0.0-3.0-0.43","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","588","But what did I know of such technology?","4.25-5.25","","3","null"
"3840","{""Q0"":3}","survey-likert","47","508920","0.0-3.0-0.44","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","390","No is a very powerful word, my friend.","3.25-4.25","","4","null"
"5392","{""Q0"":2}","survey-likert","48","514320","0.0-3.0-0.45","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","499","There was a room beyond a dividing wall.","4.25-5.25","","3","null"
"5447","{""Q0"":4}","survey-likert","49","519774","0.0-3.0-0.46","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","652","The thrill and the challenge top my list.",">5.25","","5","null"
"3268","{""Q0"":5}","survey-likert","50","523050","0.0-3.0-0.47","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","208","Maybe you'll find it later, maybe you won't.","2.25-3.25","","6","null"
"4423","{""Q0"":3}","survey-likert","51","527481","0.0-3.0-0.48","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","290","We have a few hours of light left.","2.25-3.25","","4","null"
"6058","{""Q0"":0}","survey-likert","52","533545","0.0-3.0-0.49","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","626","When juvenile, it is bright yellow in color.","4.25-5.25","","1","null"
"3852","{""Q0"":6}","survey-likert","53","537407","0.0-3.0-0.50","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","740","She began another long chant from the rituals.",">5.25","","7","null"
"2672","{""Q0"":5}","survey-likert","54","540087","0.0-3.0-0.51","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","176","I knew it was going to be okay.","2.25-3.25","","6","null"
"5319","{""Q0"":3}","survey-likert","55","545408","0.0-3.0-0.52","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","186","Why couldn't you just keep your head down?","2.25-3.25","","4","null"
"8998","{""Q0"":2}","survey-likert","56","554418","0.0-3.0-0.53","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","677","Less successful was the area of educational politics.",">5.25","","3","null"
"9156","{""Q0"":5}","survey-likert","57","563584","0.0-3.0-0.54","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","472","Your mouth is so tight, and turned down.","3.25-4.25","","6","null"
"6345","{""Q0"":2}","survey-likert","58","569934","0.0-3.0-0.55","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","203","We need to get out of the sun.","2.25-3.25","","3","null"
"3919","{""Q0"":6}","survey-likert","59","573859","0.0-3.0-0.56","611cde82784f11c1e17fe12b","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","337","The three men look at each other, dumbfounded.","3.25-4.25","","7","null"
