"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"5942","{""Q0"":""613aa993f61806616c8337bb""}","survey-text","0","5954","0.0-0.0","613aa993f61806616c8337bb","","","","","","","","","","","",""
"2795","0","html-button-response","1","8753","0.0-1.0","613aa993f61806616c8337bb","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"22529","0","html-button-response","2","31285","0.0-2.0","613aa993f61806616c8337bb","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"7698","{""Q0"":0}","survey-likert","3","38987","0.0-3.0-0.0","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","377","Surely, he cannot be jealous of the baby?","3.25-4.25","","1","null"
"8111","{""Q0"":4}","survey-likert","4","47101","0.0-3.0-0.1","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","696","Relief swept through her when she found one.",">5.25","","5","null"
"4265","{""Q0"":1}","survey-likert","5","51368","0.0-3.0-0.2","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","404","There is a little white at the base.","3.25-4.25","","2","null"
"7164","{""Q0"":5}","survey-likert","6","58535","0.0-3.0-0.3","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","398","What did you put for your best feature?","3.25-4.25","","6","null"
"3931","{""Q0"":1}","survey-likert","7","62468","0.0-3.0-0.4","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","81","I want you to have a good time.","<2.25","","2","null"
"3364","{""Q0"":0}","survey-likert","8","65835","0.0-3.0-0.5","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","42","It's the logical thing to do, isn't it?","<2.25","","1","null"
"3030","{""Q0"":0}","survey-likert","9","68869","0.0-3.0-0.6","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","145","Truth is, I don't know what to say.","<2.25","","1","null"
"2713","{""Q0"":0}","survey-likert","10","71585","0.0-3.0-0.7","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","55","You were right, you were right all along.","<2.25","","1","null"
"5065","{""Q0"":5}","survey-likert","11","76652","0.0-3.0-0.8","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","657","A bead of sweat rolled down Wayne's forehead.",">5.25","","6","null"
"3081","{""Q0"":4}","survey-likert","12","79735","0.0-3.0-0.9","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","159","That's exactly what I want you to do.","<2.25","","5","null"
"3997","{""Q0"":0}","survey-likert","13","83735","0.0-3.0-0.10","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","471","It seems the rumors were not far off.","3.25-4.25","","1","null"
"2914","{""Q0"":6}","survey-likert","14","86652","0.0-3.0-0.11","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","668","Elizabeth was sorting jars and tins of food.",">5.25","","7","null"
"3015","{""Q0"":3}","survey-likert","15","89669","0.0-3.0-0.12","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","286","Did you see an animal of any kind?","2.25-3.25","","4","null"
"3130","{""Q0"":1}","survey-likert","16","92802","0.0-3.0-0.13","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","258","I wonder how long I have been away.","2.25-3.25","","2","null"
"3181","{""Q0"":6}","survey-likert","17","95985","0.0-3.0-0.14","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","582","Then, she filled a bucket for her horse.","4.25-5.25","","7","null"
"5380","{""Q0"":0}","survey-likert","18","101368","0.0-3.0-0.15","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","202","He'd want to know as soon as possible.","2.25-3.25","","1","null"
"3648","{""Q0"":2}","survey-likert","19","105019","0.0-3.0-0.16","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","193","I was supposed to be doing something else.","2.25-3.25","","3","null"
"3781","{""Q0"":6}","survey-likert","20","108801","0.0-3.0-0.17","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","522","Expensive furniture and paintings filled room after room.","4.25-5.25","","7","null"
"6948","{""Q0"":1}","survey-likert","21","115752","0.0-3.0-0.18","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","498","Very little is known about his sumo career.","4.25-5.25","","2","null"
"2314","{""Q0"":4}","survey-likert","22","118069","0.0-3.0-0.19","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","23","May I buy you a cup of coffee?","<2.25","","5","null"
"2764","{""Q0"":2}","survey-likert","23","120835","0.0-3.0-0.20","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_20","This is an attention check. Please click 3.","attention_check","3","3","true"
"3348","{""Q0"":2}","survey-likert","24","124185","0.0-3.0-0.21","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","331","Was there anything left for me to find?","3.25-4.25","","3","null"
"2563","{""Q0"":1}","survey-likert","25","126751","0.0-3.0-0.22","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","38","Are you sure you want to see it?","<2.25","","2","null"
"5448","{""Q0"":0}","survey-likert","26","132201","0.0-3.0-0.23","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","367","When you are down, your money is sad.","3.25-4.25","","1","null"
"3115","{""Q0"":5}","survey-likert","27","135319","0.0-3.0-0.24","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","678","My lungs felt dusty from all the books.",">5.25","","6","null"
"4413","{""Q0"":2}","survey-likert","28","139735","0.0-3.0-0.25","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","248","Slowly I was getting used to the dark.","2.25-3.25","","3","null"
"9297","{""Q0"":2}","survey-likert","29","149034","0.0-3.0-0.26","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","504","Slowly, a faint energy signature started to resonate.","4.25-5.25","","3","null"
"3483","{""Q0"":3}","survey-likert","30","152519","0.0-3.0-0.27","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","58","Hey, what do you think of these boots?","<2.25","","4","null"
"6131","{""Q0"":4}","survey-likert","31","158653","0.0-3.0-0.28","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","689","The absence of water dripping indicated a column.",">5.25","","5","null"
"3079","{""Q0"":0}","survey-likert","32","161735","0.0-3.0-0.29","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","247","I didn't want to say goodbye to anyone.","2.25-3.25","","1","null"
"2264","{""Q0"":0}","survey-likert","33","164002","0.0-3.0-0.30","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","45","Yes, this is what I wanted to say.","<2.25","","1","null"
"6480","{""Q0"":1}","survey-likert","34","170484","0.0-3.0-0.31","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","515","Here is the six month's increase in advance.","4.25-5.25","","2","null"
"3782","{""Q0"":0}","survey-likert","35","174268","0.0-3.0-0.32","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","303","Your grandmother took care of that for you.","2.25-3.25","","1","null"
"3982","{""Q0"":5}","survey-likert","36","178251","0.0-3.0-0.33","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","790","Matt replaced the receiver and returned to Sue.",">5.25","","6","null"
"4248","{""Q0"":1}","survey-likert","37","182502","0.0-3.0-0.34","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","779","Something lead singers in rock bands wouldn't get.",">5.25","","2","null"
"2314","{""Q0"":1}","survey-likert","38","184818","0.0-3.0-0.35","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","8","Are you sure you want to do this?","<2.25","","2","null"
"2730","{""Q0"":4}","survey-likert","39","187552","0.0-3.0-0.36","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","241","She was working as quickly as she could.","2.25-3.25","","5","null"
"3847","{""Q0"":1}","survey-likert","40","191402","0.0-3.0-0.37","613aa993f61806616c8337bb","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","777","A spark of compassion changed her friend's expression.",">5.25","","2","null"
