"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"29357","{""Q0"":""65fc95c627592d85499ae358""}","survey-text","0","29374","0.0-0.0","65fc95c627592d85499ae358","","","","","","","","","","","",""
"25934","0","html-button-response","1","55310","0.0-1.0","65fc95c627592d85499ae358","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"75639","0","html-button-response","2","130949","0.0-2.0","65fc95c627592d85499ae358","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"9127","{""Q0"":2}","survey-likert","3","140077","0.0-3.0-0.0","65fc95c627592d85499ae358","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","49","All you had to do was walk away.","<2.25","","3","null"
"4847","{""Q0"":1}","survey-likert","4","144925","0.0-3.0-0.1","65fc95c627592d85499ae358","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","153","Only one of them could have done that.","<2.25","","2","null"
"5679","{""Q0"":2}","survey-likert","5","150606","0.0-3.0-0.2","65fc95c627592d85499ae358","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","326","He was holding his backpack over his head.","3.25-4.25","","3","null"
"14359","{""Q0"":3}","survey-likert","6","164965","0.0-3.0-0.3","65fc95c627592d85499ae358","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","4","null"
"14335","{""Q0"":1}","survey-likert","7","179301","0.0-3.0-0.4","65fc95c627592d85499ae358","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","59","I really haven't made up my mind yet.","<2.25","","2","null"
"5391","{""Q0"":3}","survey-likert","8","184693","0.0-3.0-0.5","65fc95c627592d85499ae358","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","512","The other two float out into the vacuum.","4.25-5.25","","4","null"
"4495","{""Q0"":3}","survey-likert","9","189189","0.0-3.0-0.6","65fc95c627592d85499ae358","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","420","He put half a dozen in his pouch.","3.25-4.25","","4","null"
"3479","{""Q0"":3}","survey-likert","10","192669","0.0-3.0-0.7","65fc95c627592d85499ae358","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","68","He picked it up and looked at it.","<2.25","","4","null"
"4823","{""Q0"":4}","survey-likert","11","197493","0.0-3.0-0.8","65fc95c627592d85499ae358","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","733","They must purchase the electric power at wholesale.",">5.25","","5","null"
"4399","{""Q0"":4}","survey-likert","12","201893","0.0-3.0-0.9","65fc95c627592d85499ae358","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","403","They were putting on a mask of calm.","3.25-4.25","","5","null"
"3391","{""Q0"":2}","survey-likert","13","205285","0.0-3.0-0.10","65fc95c627592d85499ae358","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","625","With luck, maybe it will work without trouble.","4.25-5.25","","3","null"
"4559","{""Q0"":4}","survey-likert","14","209845","0.0-3.0-0.11","65fc95c627592d85499ae358","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","185","Suddenly there was an image in my mind.","2.25-3.25","","5","null"
"2487","{""Q0"":2}","survey-likert","15","212333","0.0-3.0-0.12","65fc95c627592d85499ae358","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","139","There's a lot of things I can't change.","<2.25","","3","null"
"3327","{""Q0"":2}","survey-likert","16","215661","0.0-3.0-0.13","65fc95c627592d85499ae358","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","496","She shopped for only one thing: a bargain.","4.25-5.25","","3","null"
"2439","{""Q0"":2}","survey-likert","17","218101","0.0-3.0-0.14","65fc95c627592d85499ae358","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","148","Let me know what you think of that.","<2.25","","3","null"
"3304","{""Q0"":3}","survey-likert","18","221405","0.0-3.0-0.15","65fc95c627592d85499ae358","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","492","There's already a half million in this portfolio.","4.25-5.25","","4","null"
"18735","{""Q0"":3}","survey-likert","19","240141","0.0-3.0-0.16","65fc95c627592d85499ae358","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","103","Mister, I don't want to know your name.","<2.25","","4","null"
"305815","{""Q0"":3}","survey-likert","20","545957","0.0-3.0-0.17","65fc95c627592d85499ae358","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","319","Then you should go back to your table.","2.25-3.25","","4","null"
"7079","{""Q0"":4}","survey-likert","21","553037","0.0-3.0-0.18","65fc95c627592d85499ae358","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","508","The elves nodded and headed for the house.","4.25-5.25","","5","null"
"2503","{""Q0"":5}","survey-likert","22","555541","0.0-3.0-0.19","65fc95c627592d85499ae358","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","549","It is the second planet from their sun.","4.25-5.25","","6","null"
"2399","{""Q0"":3}","survey-likert","23","557941","0.0-3.0-0.20","65fc95c627592d85499ae358","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_20","This is an attention check. Please click 4.","attention_check","4","4","true"
"2103","{""Q0"":4}","survey-likert","24","560045","0.0-3.0-0.21","65fc95c627592d85499ae358","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","729","Making what we all believe look like dirt",">5.25","","5","null"
"2343","{""Q0"":2}","survey-likert","25","562389","0.0-3.0-0.22","65fc95c627592d85499ae358","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","72","We have a lot of work to do.","<2.25","","3","null"
"2119","{""Q0"":3}","survey-likert","26","564509","0.0-3.0-0.23","65fc95c627592d85499ae358","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","265","And are you happy with your new book?","2.25-3.25","","4","null"
