"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"10519","{""Q0"":""6998d5f083cfca420f122e35""}","survey-text","0","10600","0.0-0.0","6998d5f083cfca420f122e35","","","","","","","","","","","",""
"2101","0","html-button-response","1","12703","0.0-1.0","6998d5f083cfca420f122e35","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"46350","0","html-button-response","2","59054","0.0-2.0","6998d5f083cfca420f122e35","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"13526","{""Q0"":5}","survey-likert","3","72583","0.0-3.0-0.0","6998d5f083cfca420f122e35","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","49","All you had to do was walk away.","<2.25","","6","null"
"7638","{""Q0"":3}","survey-likert","4","80223","0.0-3.0-0.1","6998d5f083cfca420f122e35","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","153","Only one of them could have done that.","<2.25","","4","null"
"6110","{""Q0"":4}","survey-likert","5","86335","0.0-3.0-0.2","6998d5f083cfca420f122e35","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","326","He was holding his backpack over his head.","3.25-4.25","","5","null"
"5294","{""Q0"":4}","survey-likert","6","91631","0.0-3.0-0.3","6998d5f083cfca420f122e35","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","5","null"
"6262","{""Q0"":1}","survey-likert","7","97895","0.0-3.0-0.4","6998d5f083cfca420f122e35","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","59","I really haven't made up my mind yet.","<2.25","","2","null"
"7735","{""Q0"":1}","survey-likert","8","105631","0.0-3.0-0.5","6998d5f083cfca420f122e35","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","512","The other two float out into the vacuum.","4.25-5.25","","2","null"
"4630","{""Q0"":4}","survey-likert","9","110263","0.0-3.0-0.6","6998d5f083cfca420f122e35","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","420","He put half a dozen in his pouch.","3.25-4.25","","5","null"
"3486","{""Q0"":4}","survey-likert","10","113751","0.0-3.0-0.7","6998d5f083cfca420f122e35","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","68","He picked it up and looked at it.","<2.25","","5","null"
"2991","{""Q0"":4}","survey-likert","11","116743","0.0-3.0-0.8","6998d5f083cfca420f122e35","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","733","They must purchase the electric power at wholesale.",">5.25","","5","null"
