"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"5834","{""Q0"":""697cd91b5d7b4a9f20e66291""}","survey-text","0","5878","0.0-0.0","697cd91b5d7b4a9f20e66291","","","","","","","","","","","",""
"2362","0","html-button-response","1","8243","0.0-1.0","697cd91b5d7b4a9f20e66291","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"25633","0","html-button-response","2","33876","0.0-2.0","697cd91b5d7b4a9f20e66291","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"7529","{""Q0"":0}","survey-likert","3","41408","0.0-3.0-0.0","697cd91b5d7b4a9f20e66291","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","656","Now it runs without any rake sharing arrangement.",">5.25","","1","null"
"3296","{""Q0"":0}","survey-likert","4","44709","0.0-3.0-0.1","697cd91b5d7b4a9f20e66291","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","702","I began to ride a first rate hunch.",">5.25","","1","null"
"3544","{""Q0"":1}","survey-likert","5","48259","0.0-3.0-0.2","697cd91b5d7b4a9f20e66291","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","251","Not that I didn't like the cat, too.","2.25-3.25","","2","null"
"3274","{""Q0"":1}","survey-likert","6","51541","0.0-3.0-0.3","697cd91b5d7b4a9f20e66291","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","235","I'm in the middle of something important here.","2.25-3.25","","2","null"
"2572","{""Q0"":0}","survey-likert","7","54124","0.0-3.0-0.4","697cd91b5d7b4a9f20e66291","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","384","The launch was delayed by a few months.","3.25-4.25","","1","null"
"6491","{""Q0"":4}","survey-likert","8","60625","0.0-3.0-0.5","697cd91b5d7b4a9f20e66291","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","330","He got up and headed toward the kitchen.","3.25-4.25","","5","null"
"4022","{""Q0"":1}","survey-likert","9","64658","0.0-3.0-0.6","697cd91b5d7b4a9f20e66291","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","39","Promise me you won't put yourself in danger.","<2.25","","2","null"
"22158","{""Q0"":0}","survey-likert","10","86824","0.0-3.0-0.7","697cd91b5d7b4a9f20e66291","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","187","Otherwise, I won't give you any new information.","2.25-3.25","","1","null"
"2569","{""Q0"":0}","survey-likert","11","89408","0.0-3.0-0.8","697cd91b5d7b4a9f20e66291","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","544","Start to finish, the meal took seven minutes.","4.25-5.25","","1","null"
"3840","{""Q0"":0}","survey-likert","12","93257","0.0-3.0-0.9","697cd91b5d7b4a9f20e66291","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","314","A knock at the front door interrupted me.","2.25-3.25","","1","null"
"3656","{""Q0"":0}","survey-likert","13","96925","0.0-3.0-0.10","697cd91b5d7b4a9f20e66291","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","705","He gestures between us, like now we're connected.",">5.25","","1","null"
"3772","{""Q0"":2}","survey-likert","14","100707","0.0-3.0-0.11","697cd91b5d7b4a9f20e66291","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","287","Right now it's just wonderful to be back.","2.25-3.25","","3","null"
"3423","{""Q0"":2}","survey-likert","15","104141","0.0-3.0-0.12","697cd91b5d7b4a9f20e66291","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","477","There is too much happening in world politics.","3.25-4.25","","3","null"
"3523","{""Q0"":0}","survey-likert","16","107675","0.0-3.0-0.13","697cd91b5d7b4a9f20e66291","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","297","How many times did you try calling her?","2.25-3.25","","1","null"
"2488","{""Q0"":0}","survey-likert","17","110174","0.0-3.0-0.14","697cd91b5d7b4a9f20e66291","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","363","Freedom is the greatest prize of them all.","3.25-4.25","","1","null"
"4029","{""Q0"":1}","survey-likert","18","114211","0.0-3.0-0.15","697cd91b5d7b4a9f20e66291","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","561","You alone have stood up to their guards.","4.25-5.25","","2","null"
"4469","{""Q0"":2}","survey-likert","19","118690","0.0-3.0-0.16","697cd91b5d7b4a9f20e66291","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","198","Honestly, what do you think of the yearbook?","2.25-3.25","","3","null"
"5007","{""Q0"":0}","survey-likert","20","123707","0.0-3.0-0.17","697cd91b5d7b4a9f20e66291","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","579","Well, you should always let a roast rest.","4.25-5.25","","1","null"
"4764","{""Q0"":0}","survey-likert","21","128478","0.0-3.0-0.18","697cd91b5d7b4a9f20e66291","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","452","Everything was running as usual in her head.","3.25-4.25","","1","null"
