"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"6027","{""Q0"":""60d68186872b4738c7da0f8e""}","survey-text","0","6061","0.0-0.0","60d68186872b4738c7da0f8e","","","","","","","","","","","",""
"14133","0","html-button-response","1","20195","0.0-1.0","60d68186872b4738c7da0f8e","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"321311","0","html-button-response","2","341489","0.0-2.0","60d68186872b4738c7da0f8e","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"9007","{""Q0"":2}","survey-likert","3","350498","0.0-3.0-0.0","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","108","What do you do to make ends meet?","<2.25","","3","null"
"12583","{""Q0"":4}","survey-likert","4","363081","0.0-3.0-0.1","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","5","null"
"9255","{""Q0"":6}","survey-likert","5","372337","0.0-3.0-0.2","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","774","The sheep turn round and charge the shepherd?",">5.25","","7","null"
"5488","{""Q0"":6}","survey-likert","6","377825","0.0-3.0-0.3","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","783","There was more chatter and tapping of watches.",">5.25","","7","null"
"3494","{""Q0"":0}","survey-likert","7","381320","0.0-3.0-0.4","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","166","I'd love to hear about what you're doing.","2.25-3.25","","1","null"
"4383","{""Q0"":0}","survey-likert","8","385704","0.0-3.0-0.5","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","1","null"
"7359","{""Q0"":0}","survey-likert","9","393064","0.0-3.0-0.6","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","1","null"
"7679","{""Q0"":5}","survey-likert","10","400743","0.0-3.0-0.7","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","541","Music and laughter came from inside the shop.","4.25-5.25","","6","null"
"5198","{""Q0"":6}","survey-likert","11","405943","0.0-3.0-0.8","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","324","She turned her attention back to the furnishings.","3.25-4.25","","7","null"
"7807","{""Q0"":1}","survey-likert","12","413750","0.0-3.0-0.9","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","266","Suddenly, a faint whisper swirled in her ear.","2.25-3.25","","2","null"
"4279","{""Q0"":0}","survey-likert","13","418030","0.0-3.0-0.10","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","27","Sir, would you like to leave a message?","<2.25","","1","null"
"4783","{""Q0"":5}","survey-likert","14","422814","0.0-3.0-0.11","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","392","He tried to wind down his window surreptitiously.","3.25-4.25","","6","null"
"4799","{""Q0"":0}","survey-likert","15","427614","0.0-3.0-0.12","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","778","That was very interesting research George was doing!",">5.25","","1","null"
"3623","{""Q0"":0}","survey-likert","16","431237","0.0-3.0-0.13","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","619","The next morning found him eager to begin.","4.25-5.25","","1","null"
"3703","{""Q0"":0}","survey-likert","17","434941","0.0-3.0-0.14","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","708","The guy most likely looked at life simply.",">5.25","","1","null"
"6815","{""Q0"":4}","survey-likert","18","441757","0.0-3.0-0.15","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","438","Footsteps moved toward them up the side street.","3.25-4.25","","5","null"
"3095","{""Q0"":0}","survey-likert","19","444852","0.0-3.0-0.16","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","381","The flow of data is returning to normal.","3.25-4.25","","1","null"
"3023","{""Q0"":5}","survey-likert","20","447876","0.0-3.0-0.17","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","333","He looked at the poster on the wall.","3.25-4.25","","6","null"
"3759","{""Q0"":5}","survey-likert","21","451636","0.0-3.0-0.18","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","688","I watched him head to the other barn.",">5.25","","6","null"
"3103","{""Q0"":0}","survey-likert","22","454740","0.0-3.0-0.19","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","43","Call me when you get close, all right?","<2.25","","1","null"
"3071","{""Q0"":3}","survey-likert","23","457812","0.0-3.0-0.20","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_20","This is an attention check. Please click 4.","attention_check","4","4","true"
"2679","{""Q0"":0}","survey-likert","24","460492","0.0-3.0-0.21","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","204","If I get any information, I'll call you.","2.25-3.25","","1","null"
"3335","{""Q0"":6}","survey-likert","25","463827","0.0-3.0-0.22","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","679","Other passengers reviewed shopping lists and read books.",">5.25","","7","null"
"2823","{""Q0"":0}","survey-likert","26","466651","0.0-3.0-0.23","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","134","No, that's not the way I see it.","<2.25","","1","null"
"7175","{""Q0"":1}","survey-likert","27","473827","0.0-3.0-0.24","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","409","It would be like believing in the postman.","3.25-4.25","","2","null"
"3135","{""Q0"":0}","survey-likert","28","476963","0.0-3.0-0.25","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","734","I laughed too, loving his delightful British accent.",">5.25","","1","null"
"4535","{""Q0"":0}","survey-likert","29","481498","0.0-3.0-0.26","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","178","It was the way it had always been.","2.25-3.25","","1","null"
"2703","{""Q0"":0}","survey-likert","30","484202","0.0-3.0-0.27","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","299","When are we getting out of here, exactly?","2.25-3.25","","1","null"
"3743","{""Q0"":5}","survey-likert","31","487946","0.0-3.0-0.28","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","666","He peers at the tag inside the dress.",">5.25","","6","null"
"3623","{""Q0"":0}","survey-likert","32","491570","0.0-3.0-0.29","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","736","The boys were all at that runaway age.",">5.25","","1","null"
"11399","{""Q0"":0}","survey-likert","33","502969","0.0-3.0-0.30","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","188","He had never seen anything like them before.","2.25-3.25","","1","null"
"8103","{""Q0"":3}","survey-likert","34","511073","0.0-3.0-0.31","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","720","What use were eyes to it down here?",">5.25","","4","null"
"2855","{""Q0"":0}","survey-likert","35","513928","0.0-3.0-0.32","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","191","Most of it is not all of it.","2.25-3.25","","1","null"
"2743","{""Q0"":0}","survey-likert","36","516672","0.0-3.0-0.33","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","394","How could they talk when he couldn't speak?","3.25-4.25","","1","null"
"4655","{""Q0"":5}","survey-likert","37","521328","0.0-3.0-0.34","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","378","Did someone try to kick the door down?","3.25-4.25","","6","null"
"3199","{""Q0"":0}","survey-likert","38","524528","0.0-3.0-0.35","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","457","Finally, he had something he could actually do.","3.25-4.25","","1","null"
"3151","{""Q0"":0}","survey-likert","39","527680","0.0-3.0-0.36","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","396","In my judgment, you simply have no alternative.","3.25-4.25","","1","null"
"3183","{""Q0"":0}","survey-likert","40","530864","0.0-3.0-0.37","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","132","That's just what I was going to say.","<2.25","","1","null"
"2735","{""Q0"":0}","survey-likert","41","533599","0.0-3.0-0.38","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","454","Then I would have to answer interesting questions.","3.25-4.25","","1","null"
"4783","{""Q0"":4}","survey-likert","42","538383","0.0-3.0-0.39","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","513","The workshop guys can pick it up later.","4.25-5.25","","5","null"
"3272","{""Q0"":0}","survey-likert","43","541655","0.0-3.0-0.40","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","711","Martin knew any real answers lay much deeper.",">5.25","","1","null"
"2887","{""Q0"":1}","survey-likert","44","544543","0.0-3.0-0.41","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_40","This is an attention check. Please click 2.","attention_check","2","2","true"
"4815","{""Q0"":3}","survey-likert","45","549359","0.0-3.0-0.42","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","430","In the swamps, I learned how to listen.","3.25-4.25","","4","null"
"3407","{""Q0"":6}","survey-likert","46","552766","0.0-3.0-0.43","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","570","The windows they faced were dark and shut.","4.25-5.25","","7","null"
"3527","{""Q0"":0}","survey-likert","47","556294","0.0-3.0-0.44","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","609","We lead rituals and ceremonies, things like that.","4.25-5.25","","1","null"
"4559","{""Q0"":1}","survey-likert","48","560854","0.0-3.0-0.45","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","51","It's not just me, it's both of us.","<2.25","","2","null"
"7663","{""Q0"":0}","survey-likert","49","568518","0.0-3.0-0.46","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","123","I don't care what you think of me.","<2.25","","1","null"
"3583","{""Q0"":0}","survey-likert","50","572101","0.0-3.0-0.47","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","530","Now keep that thought in mind and exaggerate!","4.25-5.25","","1","null"
"3175","{""Q0"":0}","survey-likert","51","575277","0.0-3.0-0.48","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","273","Let's hope there isn't a backlash against him.","2.25-3.25","","1","null"
"6855","{""Q0"":1}","survey-likert","52","582133","0.0-3.0-0.49","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","756","But here they were merely Paul and Anna.",">5.25","","2","null"
"6471","{""Q0"":5}","survey-likert","53","588605","0.0-3.0-0.50","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","616","Half of Omaha has no lights right now.","4.25-5.25","","6","null"
"2855","{""Q0"":0}","survey-likert","54","591460","0.0-3.0-0.51","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","90","Even if I did, you'd never believe it.","<2.25","","1","null"
"2975","{""Q0"":0}","survey-likert","55","594436","0.0-3.0-0.52","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","33","I wish there was something I could do.","<2.25","","1","null"
"3423","{""Q0"":0}","survey-likert","56","597860","0.0-3.0-0.53","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","239","It doesn't look like something you'd pick out.","2.25-3.25","","1","null"
"3279","{""Q0"":0}","survey-likert","57","601140","0.0-3.0-0.54","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","215","Whatever it was, it seemed to get through.","2.25-3.25","","1","null"
"4576","{""Q0"":3}","survey-likert","58","605716","0.0-3.0-0.55","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","558","Have many famous actors and actresses lived here?","4.25-5.25","","4","null"
"2870","{""Q0"":0}","survey-likert","59","608588","0.0-3.0-0.56","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","219","To be honest, I found this by accident.","2.25-3.25","","1","null"
"2775","{""Q0"":0}","survey-likert","60","611363","0.0-3.0-0.57","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","410","You need a partner, someone to spot you.","3.25-4.25","","1","null"
"3439","{""Q0"":5}","survey-likert","61","614803","0.0-3.0-0.58","60d68186872b4738c7da0f8e","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","416","Now, we have cloaks for those with wings.","3.25-4.25","","6","null"
