"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"3767","{""Q0"":""696976654a70de0e638f9a20""}","survey-text","0","3790","0.0-0.0","696976654a70de0e638f9a20","","","","","","","","","","","",""
"2259","0","html-button-response","1","6052","0.0-1.0","696976654a70de0e638f9a20","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"18703","0","html-button-response","2","24756","0.0-2.0","696976654a70de0e638f9a20","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"8581","{""Q0"":3}","survey-likert","3","33341","0.0-3.0-0.0","696976654a70de0e638f9a20","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","49","All you had to do was walk away.","<2.25","","4","null"
"4604","{""Q0"":2}","survey-likert","4","37948","0.0-3.0-0.1","696976654a70de0e638f9a20","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","153","Only one of them could have done that.","<2.25","","3","null"
"4334","{""Q0"":1}","survey-likert","5","42284","0.0-3.0-0.2","696976654a70de0e638f9a20","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","326","He was holding his backpack over his head.","3.25-4.25","","2","null"
"4830","{""Q0"":6}","survey-likert","6","47116","0.0-3.0-0.3","696976654a70de0e638f9a20","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","7","null"
"3126","{""Q0"":3}","survey-likert","7","50244","0.0-3.0-0.4","696976654a70de0e638f9a20","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","59","I really haven't made up my mind yet.","<2.25","","4","null"
"5118","{""Q0"":2}","survey-likert","8","55364","0.0-3.0-0.5","696976654a70de0e638f9a20","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","512","The other two float out into the vacuum.","4.25-5.25","","3","null"
"5598","{""Q0"":6}","survey-likert","9","60964","0.0-3.0-0.6","696976654a70de0e638f9a20","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","420","He put half a dozen in his pouch.","3.25-4.25","","7","null"
