"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"12911","{""Q0"":""5f5c983ce742b548181ef1e7""}","survey-text","0","12927","0.0-0.0","5f5c983ce742b548181ef1e7","","","","","","","","","","","",""
"6592","0","html-button-response","1","19527","0.0-1.0","5f5c983ce742b548181ef1e7","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"3262","0","html-button-response","2","22794","0.0-2.0","5f5c983ce742b548181ef1e7","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"8328","{""Q0"":6}","survey-likert","3","31126","0.0-3.0-0.0","5f5c983ce742b548181ef1e7","","[0]","","4","1","How much does the sentence make sense?","451","You let greed get the better of you.","3.25-4.25","","7","null"
"7630","{""Q0"":5}","survey-likert","4","38760","0.0-3.0-0.1","5f5c983ce742b548181ef1e7","","[0]","","4","1","How much does the sentence make sense?","362","It reminded her of her heart, her soul.","3.25-4.25","","6","null"
"7464","{""Q0"":6}","survey-likert","5","46228","0.0-3.0-0.2","5f5c983ce742b548181ef1e7","","[0]","","4","1","How much does the sentence make sense?","622","She started to look uncomfortable then hid it.","4.25-5.25","","7","null"
"7412","{""Q0"":6}","survey-likert","6","53643","0.0-3.0-0.3","5f5c983ce742b548181ef1e7","","[0]","","4","1","How much does the sentence make sense?","426","The thought of using makeup made her shiver.","3.25-4.25","","7","null"
"5647","{""Q0"":5}","survey-likert","7","59296","0.0-3.0-0.4","5f5c983ce742b548181ef1e7","","[0]","","4","1","How much does the sentence make sense?","181","Don't let your guard down for a moment.","2.25-3.25","","6","null"
"5612","{""Q0"":6}","survey-likert","8","64910","0.0-3.0-0.5","5f5c983ce742b548181ef1e7","","[0]","","4","1","How much does the sentence make sense?","456","A smile worked its way to her lips.","3.25-4.25","","7","null"
"6730","{""Q0"":4}","survey-likert","9","71645","0.0-3.0-0.6","5f5c983ce742b548181ef1e7","","[0]","","4","1","How much does the sentence make sense?","220","What a day this was going to be!","2.25-3.25","","5","null"
"4344","{""Q0"":6}","survey-likert","10","75992","0.0-3.0-0.7","5f5c983ce742b548181ef1e7","","[0]","","4","1","How much does the sentence make sense?","152","I am not going to talk about it.","<2.25","","7","null"
"12097","{""Q0"":6}","survey-likert","11","88092","0.0-3.0-0.8","5f5c983ce742b548181ef1e7","","[0]","","4","1","How much does the sentence make sense?","460","He's so busy lately I hardly see him.","3.25-4.25","","7","null"
"6898","{""Q0"":6}","survey-likert","12","94994","0.0-3.0-0.9","5f5c983ce742b548181ef1e7","","[0]","","4","1","How much does the sentence make sense?","281","What's this amazing thing that's happening to her?","2.25-3.25","","7","null"
"6647","{""Q0"":6}","survey-likert","13","101645","0.0-3.0-0.10","5f5c983ce742b548181ef1e7","","[0]","","4","1","How much does the sentence make sense?","725","The assembly also sometimes is about moral teaching.",">5.25","","7","null"
"5761","{""Q0"":6}","survey-likert","14","107409","0.0-3.0-0.11","5f5c983ce742b548181ef1e7","","[0]","","4","1","How much does the sentence make sense?","121","That's what I am trying to tell you.","<2.25","","7","null"
"9197","{""Q0"":4}","survey-likert","15","116610","0.0-3.0-0.12","5f5c983ce742b548181ef1e7","","[0]","","4","1","How much does the sentence make sense?","351","It was as if the darkness itself thickened.","3.25-4.25","","5","null"
"7730","{""Q0"":6}","survey-likert","16","124342","0.0-3.0-0.13","5f5c983ce742b548181ef1e7","","[0]","","4","1","How much does the sentence make sense?","559","He pointed out the device on the shield.","4.25-5.25","","7","null"
"14224","{""Q0"":6}","survey-likert","17","138574","0.0-3.0-0.14","5f5c983ce742b548181ef1e7","","[0]","","4","1","How much does the sentence make sense?","100","As you can see, it is quite large.","<2.25","","7","null"
"6866","{""Q0"":6}","survey-likert","18","145443","0.0-3.0-0.15","5f5c983ce742b548181ef1e7","","[0]","","4","1","How much does the sentence make sense?","164","We need to take it a step further.","2.25-3.25","","7","null"
"6348","{""Q0"":5}","survey-likert","19","151794","0.0-3.0-0.16","5f5c983ce742b548181ef1e7","","[0]","","4","1","How much does the sentence make sense?","683","The air traffic control center functions without these.",">5.25","","6","null"
"5179","{""Q0"":6}","survey-likert","20","156977","0.0-3.0-0.17","5f5c983ce742b548181ef1e7","","[0]","","4","1","How much does the sentence make sense?","32","I want you to be my best man.","<2.25","","7","null"
"6495","{""Q0"":6}","survey-likert","21","163475","0.0-3.0-0.18","5f5c983ce742b548181ef1e7","","[0]","","4","1","How much does the sentence make sense?","635","Emerson spoke to his man inside the bureau.","4.25-5.25","","7","null"
