"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"7790","{""Q0"":""65e389a05a2803a51872fc7d""}","survey-text","0","7815","0.0-0.0","65e389a05a2803a51872fc7d","","","","","","","","","","","",""
"3752","0","html-button-response","1","11577","0.0-1.0","65e389a05a2803a51872fc7d","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"2861","0","html-button-response","2","14442","0.0-2.0","65e389a05a2803a51872fc7d","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"6155","{""Q0"":6}","survey-likert","3","20607","0.0-3.0-0.0","65e389a05a2803a51872fc7d","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","49","All you had to do was walk away.","<2.25","","7","null"
"3595","{""Q0"":5}","survey-likert","4","24211","0.0-3.0-0.1","65e389a05a2803a51872fc7d","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","153","Only one of them could have done that.","<2.25","","6","null"
"84225","{""Q0"":0}","survey-likert","5","108442","0.0-3.0-0.2","65e389a05a2803a51872fc7d","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","326","He was holding his backpack over his head.","3.25-4.25","","1","null"
"4950","{""Q0"":1}","survey-likert","6","113400","0.0-3.0-0.3","65e389a05a2803a51872fc7d","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","2","null"
"2697","{""Q0"":6}","survey-likert","7","116102","0.0-3.0-0.4","65e389a05a2803a51872fc7d","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","59","I really haven't made up my mind yet.","<2.25","","7","null"
"3049","{""Q0"":2}","survey-likert","8","119157","0.0-3.0-0.5","65e389a05a2803a51872fc7d","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","512","The other two float out into the vacuum.","4.25-5.25","","3","null"
"3517","{""Q0"":1}","survey-likert","9","122680","0.0-3.0-0.6","65e389a05a2803a51872fc7d","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","420","He put half a dozen in his pouch.","3.25-4.25","","2","null"
"38989","{""Q0"":5}","survey-likert","10","161675","0.0-3.0-0.7","65e389a05a2803a51872fc7d","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","68","He picked it up and looked at it.","<2.25","","6","null"
"196712","{""Q0"":5}","survey-likert","11","358394","0.0-3.0-0.8","65e389a05a2803a51872fc7d","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","733","They must purchase the electric power at wholesale.",">5.25","","6","null"
"3148","{""Q0"":6}","survey-likert","12","361549","0.0-3.0-0.9","65e389a05a2803a51872fc7d","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","403","They were putting on a mask of calm.","3.25-4.25","","7","null"
"21495","{""Q0"":4}","survey-likert","13","383050","0.0-3.0-0.10","65e389a05a2803a51872fc7d","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","625","With luck, maybe it will work without trouble.","4.25-5.25","","5","null"
"2948","{""Q0"":6}","survey-likert","14","386004","0.0-3.0-0.11","65e389a05a2803a51872fc7d","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","185","Suddenly there was an image in my mind.","2.25-3.25","","7","null"
"6704","{""Q0"":5}","survey-likert","15","392714","0.0-3.0-0.12","65e389a05a2803a51872fc7d","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","139","There's a lot of things I can't change.","<2.25","","6","null"
"4420","{""Q0"":1}","survey-likert","16","397139","0.0-3.0-0.13","65e389a05a2803a51872fc7d","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","496","She shopped for only one thing: a bargain.","4.25-5.25","","2","null"
"12462","{""Q0"":5}","survey-likert","17","409608","0.0-3.0-0.14","65e389a05a2803a51872fc7d","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","148","Let me know what you think of that.","<2.25","","6","null"
