"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"13265","{""Q0"":""69820083e3476e3f01dbd2f0""}","survey-text","0","13275","0.0-0.0","69820083e3476e3f01dbd2f0","","","","","","","","","","","",""
"27272","0","html-button-response","1","40548","0.0-1.0","69820083e3476e3f01dbd2f0","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"23839","0","html-button-response","2","64388","0.0-2.0","69820083e3476e3f01dbd2f0","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"12783","{""Q0"":0}","survey-likert","3","77172","0.0-3.0-0.0","69820083e3476e3f01dbd2f0","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","91","This is the worst moment of my life.","<2.25","","1","null"
"5549","{""Q0"":0}","survey-likert","4","82722","0.0-3.0-0.1","69820083e3476e3f01dbd2f0","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","5","Is there anything I can do for you?","<2.25","","1","null"
"13036","{""Q0"":6}","survey-likert","5","95760","0.0-3.0-0.2","69820083e3476e3f01dbd2f0","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","285","And now there are trees all around us.","2.25-3.25","","7","null"
"6863","{""Q0"":0}","survey-likert","6","102623","0.0-3.0-0.3","69820083e3476e3f01dbd2f0","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","335","He looked to be a normal-sized eight-year-old kid.","3.25-4.25","","1","null"
"7477","{""Q0"":0}","survey-likert","7","110102","0.0-3.0-0.4","69820083e3476e3f01dbd2f0","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","67","Oh, I wish I could remember the name.","<2.25","","1","null"
"4503","{""Q0"":0}","survey-likert","8","114605","0.0-3.0-0.5","69820083e3476e3f01dbd2f0","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","336","He looked at me with a wacky gaze.","3.25-4.25","","1","null"
"4812","{""Q0"":0}","survey-likert","9","119418","0.0-3.0-0.6","69820083e3476e3f01dbd2f0","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","138","There is no use in talking about it.","<2.25","","1","null"
