"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"5636","{""Q0"":""69b70f09148f039c891496ca""}","survey-text","0","5649","0.0-0.0","69b70f09148f039c891496ca","","","","","","","","","","","",""
"4379","0","html-button-response","1","10031","0.0-1.0","69b70f09148f039c891496ca","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"31047","0","html-button-response","2","41080","0.0-2.0","69b70f09148f039c891496ca","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"6879","{""Q0"":5}","survey-likert","3","47963","0.0-3.0-0.0","69b70f09148f039c891496ca","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","108","What do you do to make ends meet?","<2.25","","6","null"
"11563","{""Q0"":4}","survey-likert","4","59530","0.0-3.0-0.1","69b70f09148f039c891496ca","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","5","null"
"10763","{""Q0"":4}","survey-likert","5","70296","0.0-3.0-0.2","69b70f09148f039c891496ca","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","774","The sheep turn round and charge the shepherd?",">5.25","","5","null"
"5764","{""Q0"":4}","survey-likert","6","76063","0.0-3.0-0.3","69b70f09148f039c891496ca","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","783","There was more chatter and tapping of watches.",">5.25","","5","null"
"4998","{""Q0"":6}","survey-likert","7","81063","0.0-3.0-0.4","69b70f09148f039c891496ca","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","166","I'd love to hear about what you're doing.","2.25-3.25","","7","null"
"9264","{""Q0"":4}","survey-likert","8","90330","0.0-3.0-0.5","69b70f09148f039c891496ca","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","5","null"
"6297","{""Q0"":1}","survey-likert","9","96630","0.0-3.0-0.6","69b70f09148f039c891496ca","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","2","null"
