"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"22711","{""Q0"":""5f9197ba39d009000b3d9268""}","survey-text","0","22720","0.0-0.0","5f9197ba39d009000b3d9268","","","","","","","","","","","",""
"21199","0","html-button-response","1","43920","0.0-1.0","5f9197ba39d009000b3d9268","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"16779","0","html-button-response","2","60701","0.0-2.0","5f9197ba39d009000b3d9268","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"15434","{""Q0"":0}","survey-likert","3","76136","0.0-3.0-0.0","5f9197ba39d009000b3d9268","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","743","She noticed his particular attitude and his attention.",">5.25","","1","null"
"11288","{""Q0"":4}","survey-likert","4","87425","0.0-3.0-0.1","5f9197ba39d009000b3d9268","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","762","And now, Logan had stirred the pot again.",">5.25","","5","null"
"6811","{""Q0"":1}","survey-likert","5","94237","0.0-3.0-0.2","5f9197ba39d009000b3d9268","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","2","null"
"11908","{""Q0"":5}","survey-likert","6","106146","0.0-3.0-0.3","5f9197ba39d009000b3d9268","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","682","He resisted checking his notebook, determined to impress.",">5.25","","6","null"
"4675","{""Q0"":3}","survey-likert","7","110822","0.0-3.0-0.4","5f9197ba39d009000b3d9268","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","423","It is time to meet with the duke.","3.25-4.25","","4","null"
"10179","{""Q0"":0}","survey-likert","8","121003","0.0-3.0-0.5","5f9197ba39d009000b3d9268","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","551","You have acquired this power in two days?","4.25-5.25","","1","null"
"8524","{""Q0"":1}","survey-likert","9","129528","0.0-3.0-0.6","5f9197ba39d009000b3d9268","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","2","null"
"29626","{""Q0"":0}","survey-likert","10","159155","0.0-3.0-0.7","5f9197ba39d009000b3d9268","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","70","There's a message for you at the office.","<2.25","","1","null"
"9771","{""Q0"":0}","survey-likert","11","168927","0.0-3.0-0.8","5f9197ba39d009000b3d9268","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","253","That could only mean one of three things.","2.25-3.25","","1","null"
"6477","{""Q0"":4}","survey-likert","12","175405","0.0-3.0-0.9","5f9197ba39d009000b3d9268","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","127","You know that as well as I do.","<2.25","","5","null"
"7777","{""Q0"":0}","survey-likert","13","183184","0.0-3.0-0.10","5f9197ba39d009000b3d9268","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","686","The terminal palps are covered with substantial feathers.",">5.25","","1","null"
"7304","{""Q0"":2}","survey-likert","14","190489","0.0-3.0-0.11","5f9197ba39d009000b3d9268","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","543","What if their meeting was delayed or cancelled?","4.25-5.25","","3","null"
"8759","{""Q0"":0}","survey-likert","15","199249","0.0-3.0-0.12","5f9197ba39d009000b3d9268","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","328","The nearest neighbor is a quarter mile away.","3.25-4.25","","1","null"
"4844","{""Q0"":2}","survey-likert","16","204094","0.0-3.0-0.13","5f9197ba39d009000b3d9268","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","448","She hurried to catch up with the others.","3.25-4.25","","3","null"
"5524","{""Q0"":3}","survey-likert","17","209619","0.0-3.0-0.14","5f9197ba39d009000b3d9268","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","697","She shoved her paper over at the boy.",">5.25","","4","null"
"6661","{""Q0"":6}","survey-likert","18","216281","0.0-3.0-0.15","5f9197ba39d009000b3d9268","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","434","It went against everything that he was taught.","3.25-4.25","","7","null"
"7038","{""Q0"":0}","survey-likert","19","223320","0.0-3.0-0.16","5f9197ba39d009000b3d9268","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","773","Shipment of grub worms coming in first thing.",">5.25","","1","null"
"7120","{""Q0"":3}","survey-likert","20","230441","0.0-3.0-0.17","5f9197ba39d009000b3d9268","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","465","They all cast nervous glances at each other.","3.25-4.25","","4","null"
"6041","{""Q0"":0}","survey-likert","21","236483","0.0-3.0-0.18","5f9197ba39d009000b3d9268","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","383","The four grown-ups were seated around the table.","3.25-4.25","","1","null"
"6698","{""Q0"":0}","survey-likert","22","243183","0.0-3.0-0.19","5f9197ba39d009000b3d9268","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","432","There's one coming along the path right now.","3.25-4.25","","1","null"
"5236","{""Q0"":0}","survey-likert","23","248419","0.0-3.0-0.20","5f9197ba39d009000b3d9268","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","attention_check_20","This is an attention check. Please click 1.","attention_check","1","1","true"
"7039","{""Q0"":2}","survey-likert","24","255459","0.0-3.0-0.21","5f9197ba39d009000b3d9268","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","524","She threw the whole amount into that fund.","4.25-5.25","","3","null"
"5849","{""Q0"":0}","survey-likert","25","261309","0.0-3.0-0.22","5f9197ba39d009000b3d9268","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","527","Smuggling is an ancient and respected trade there.","4.25-5.25","","1","null"
