"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"10184","{""Q0"":""6984b22b8b8f99c86194ce62""}","survey-text","0","10196","0.0-0.0","6984b22b8b8f99c86194ce62","","","","","","","","","","","",""
"5901","0","html-button-response","1","16098","0.0-1.0","6984b22b8b8f99c86194ce62","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"34547","0","html-button-response","2","50646","0.0-2.0","6984b22b8b8f99c86194ce62","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"12524","{""Q0"":2}","survey-likert","3","63171","0.0-3.0-0.0","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","656","Now it runs without any rake sharing arrangement.",">5.25","","3","null"
"5231","{""Q0"":4}","survey-likert","4","68404","0.0-3.0-0.1","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","702","I began to ride a first rate hunch.",">5.25","","5","null"
"4187","{""Q0"":5}","survey-likert","5","72592","0.0-3.0-0.2","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","251","Not that I didn't like the cat, too.","2.25-3.25","","6","null"
"3918","{""Q0"":6}","survey-likert","6","76511","0.0-3.0-0.3","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","235","I'm in the middle of something important here.","2.25-3.25","","7","null"
"5912","{""Q0"":1}","survey-likert","7","82425","0.0-3.0-0.4","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","384","The launch was delayed by a few months.","3.25-4.25","","2","null"
"7493","{""Q0"":3}","survey-likert","8","89919","0.0-3.0-0.5","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","330","He got up and headed toward the kitchen.","3.25-4.25","","4","null"
"6490","{""Q0"":6}","survey-likert","9","96411","0.0-3.0-0.6","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","39","Promise me you won't put yourself in danger.","<2.25","","7","null"
"6079","{""Q0"":0}","survey-likert","10","102492","0.0-3.0-0.7","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","187","Otherwise, I won't give you any new information.","2.25-3.25","","1","null"
"6595","{""Q0"":4}","survey-likert","11","109088","0.0-3.0-0.8","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","544","Start to finish, the meal took seven minutes.","4.25-5.25","","5","null"
"4188","{""Q0"":5}","survey-likert","12","113277","0.0-3.0-0.9","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","314","A knock at the front door interrupted me.","2.25-3.25","","6","null"
"5501","{""Q0"":5}","survey-likert","13","118779","0.0-3.0-0.10","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","705","He gestures between us, like now we're connected.",">5.25","","6","null"
"54991","{""Q0"":5}","survey-likert","14","173771","0.0-3.0-0.11","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","287","Right now it's just wonderful to be back.","2.25-3.25","","6","null"
"5578","{""Q0"":4}","survey-likert","15","179351","0.0-3.0-0.12","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","477","There is too much happening in world politics.","3.25-4.25","","5","null"
"7622","{""Q0"":3}","survey-likert","16","186974","0.0-3.0-0.13","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","297","How many times did you try calling her?","2.25-3.25","","4","null"
"5632","{""Q0"":5}","survey-likert","17","192608","0.0-3.0-0.14","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","363","Freedom is the greatest prize of them all.","3.25-4.25","","6","null"
"5787","{""Q0"":2}","survey-likert","18","198396","0.0-3.0-0.15","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","561","You alone have stood up to their guards.","4.25-5.25","","3","null"
"4658","{""Q0"":6}","survey-likert","19","203056","0.0-3.0-0.16","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","198","Honestly, what do you think of the yearbook?","2.25-3.25","","7","null"
"5375","{""Q0"":3}","survey-likert","20","208431","0.0-3.0-0.17","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","579","Well, you should always let a roast rest.","4.25-5.25","","4","null"
"7043","{""Q0"":4}","survey-likert","21","215476","0.0-3.0-0.18","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","452","Everything was running as usual in her head.","3.25-4.25","","5","null"
"4027","{""Q0"":4}","survey-likert","22","219504","0.0-3.0-0.19","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","4","Do you understand what I'm trying to say?","<2.25","","5","null"
"3598","{""Q0"":4}","survey-likert","23","223103","0.0-3.0-0.20","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","attention_check_20","This is an attention check. Please click 5.","attention_check","5","5","true"
"4764","{""Q0"":2}","survey-likert","24","227869","0.0-3.0-0.21","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","671","Teddy tilted his face into the soft rain.",">5.25","","3","null"
"30425","{""Q0"":4}","survey-likert","25","258294","0.0-3.0-0.22","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","435","And how are you enjoying this fine evening?","3.25-4.25","","5","null"
"4673","{""Q0"":3}","survey-likert","26","262970","0.0-3.0-0.23","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","347","When she stepped into view, she saw everyone.","3.25-4.25","","4","null"
"3496","{""Q0"":4}","survey-likert","27","266467","0.0-3.0-0.24","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","747","And Matt wandered off to investigate the grounds.",">5.25","","5","null"
"3389","{""Q0"":3}","survey-likert","28","269857","0.0-3.0-0.25","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","225","I'm not the only one on your trail.","2.25-3.25","","4","null"
"4540","{""Q0"":1}","survey-likert","29","274400","0.0-3.0-0.26","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","357","He put the receiver down and sat up.","3.25-4.25","","2","null"
"3423","{""Q0"":3}","survey-likert","30","277825","0.0-3.0-0.27","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","730","Some tapes of my studio and some books.",">5.25","","4","null"
"4825","{""Q0"":6}","survey-likert","31","282651","0.0-3.0-0.28","6984b22b8b8f99c86194ce62","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","449","It took him a moment to remember it.","3.25-4.25","","7","null"
