"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"20687","{""Q0"":""66cf43db332889da5054c9e8""}","survey-text","0","20700","0.0-0.0","66cf43db332889da5054c9e8","","","","","","","","","","","",""
"68537","0","html-button-response","1","89239","0.0-1.0","66cf43db332889da5054c9e8","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"51294","0","html-button-response","2","140534","0.0-2.0","66cf43db332889da5054c9e8","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"18724","{""Q0"":1}","survey-likert","3","159261","0.0-3.0-0.0","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","743","She noticed his particular attitude and his attention.",">5.25","","2","null"
"8542","{""Q0"":4}","survey-likert","4","167804","0.0-3.0-0.1","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","762","And now, Logan had stirred the pot again.",">5.25","","5","null"
"8201","{""Q0"":2}","survey-likert","5","176007","0.0-3.0-0.2","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","3","null"
"10889","{""Q0"":3}","survey-likert","6","186898","0.0-3.0-0.3","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","682","He resisted checking his notebook, determined to impress.",">5.25","","4","null"
"6131","{""Q0"":1}","survey-likert","7","193031","0.0-3.0-0.4","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","423","It is time to meet with the duke.","3.25-4.25","","2","null"
"7236","{""Q0"":3}","survey-likert","8","200268","0.0-3.0-0.5","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","551","You have acquired this power in two days?","4.25-5.25","","4","null"
"10555","{""Q0"":2}","survey-likert","9","210824","0.0-3.0-0.6","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","3","null"
"6531","{""Q0"":0}","survey-likert","10","217356","0.0-3.0-0.7","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","70","There's a message for you at the office.","<2.25","","1","null"
"9881","{""Q0"":0}","survey-likert","11","227238","0.0-3.0-0.8","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","253","That could only mean one of three things.","2.25-3.25","","1","null"
"4461","{""Q0"":0}","survey-likert","12","231700","0.0-3.0-0.9","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","127","You know that as well as I do.","<2.25","","1","null"
"7037","{""Q0"":4}","survey-likert","13","238738","0.0-3.0-0.10","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","686","The terminal palps are covered with substantial feathers.",">5.25","","5","null"
"7905","{""Q0"":2}","survey-likert","14","246644","0.0-3.0-0.11","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","543","What if their meeting was delayed or cancelled?","4.25-5.25","","3","null"
"10825","{""Q0"":1}","survey-likert","15","257470","0.0-3.0-0.12","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","328","The nearest neighbor is a quarter mile away.","3.25-4.25","","2","null"
"12217","{""Q0"":3}","survey-likert","16","269688","0.0-3.0-0.13","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","448","She hurried to catch up with the others.","3.25-4.25","","4","null"
"6125","{""Q0"":4}","survey-likert","17","275814","0.0-3.0-0.14","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","697","She shoved her paper over at the boy.",">5.25","","5","null"
"12059","{""Q0"":2}","survey-likert","18","287874","0.0-3.0-0.15","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","434","It went against everything that he was taught.","3.25-4.25","","3","null"
"28236","{""Q0"":1}","survey-likert","19","316112","0.0-3.0-0.16","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","773","Shipment of grub worms coming in first thing.",">5.25","","2","null"
"10569","{""Q0"":2}","survey-likert","20","326682","0.0-3.0-0.17","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","465","They all cast nervous glances at each other.","3.25-4.25","","3","null"
"10499","{""Q0"":4}","survey-likert","21","337182","0.0-3.0-0.18","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","383","The four grown-ups were seated around the table.","3.25-4.25","","5","null"
"32900","{""Q0"":1}","survey-likert","22","370083","0.0-3.0-0.19","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","432","There's one coming along the path right now.","3.25-4.25","","2","null"
"5311","{""Q0"":4}","survey-likert","23","375396","0.0-3.0-0.20","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_20","This is an attention check. Please click 5.","attention_check","5","5","true"
"8827","{""Q0"":2}","survey-likert","24","384224","0.0-3.0-0.21","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","524","She threw the whole amount into that fund.","4.25-5.25","","3","null"
"6883","{""Q0"":2}","survey-likert","25","391108","0.0-3.0-0.22","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","527","Smuggling is an ancient and respected trade there.","4.25-5.25","","3","null"
"11973","{""Q0"":2}","survey-likert","26","403082","0.0-3.0-0.23","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","663","The three women shared a harsh, knowing laugh.",">5.25","","3","null"
"6571","{""Q0"":3}","survey-likert","27","409653","0.0-3.0-0.24","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","356","It had been snowing nonstop for a week.","3.25-4.25","","4","null"
"11053","{""Q0"":1}","survey-likert","28","420707","0.0-3.0-0.25","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","546","Through all the confusion came an overwhelming clarity.","4.25-5.25","","2","null"
"9713","{""Q0"":3}","survey-likert","29","430422","0.0-3.0-0.26","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","602","She lifted the goblet and toasted her employer.","4.25-5.25","","4","null"
"10265","{""Q0"":5}","survey-likert","30","440688","0.0-3.0-0.27","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","348","The craggy-faced man was leaning on a stick.","3.25-4.25","","6","null"
"8151","{""Q0"":1}","survey-likert","31","448840","0.0-3.0-0.28","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","406","I reached my limit a long time ago.","3.25-4.25","","2","null"
"7909","{""Q0"":1}","survey-likert","32","456750","0.0-3.0-0.29","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","523","The separation was almost too painful to stand.","4.25-5.25","","2","null"
"7118","{""Q0"":1}","survey-likert","33","463870","0.0-3.0-0.30","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","192","Before I go, there's something I should say.","2.25-3.25","","2","null"
"7501","{""Q0"":0}","survey-likert","34","471371","0.0-3.0-0.31","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","461","Not a wiggling, mewing black and white kitten.","3.25-4.25","","1","null"
"6241","{""Q0"":1}","survey-likert","35","477614","0.0-3.0-0.32","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","797","A genuine smile rides low on her lips.",">5.25","","2","null"
"11409","{""Q0"":1}","survey-likert","36","489023","0.0-3.0-0.33","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","757","She considered pretending she was asleep or gone.",">5.25","","2","null"
"16959","{""Q0"":0}","survey-likert","37","505983","0.0-3.0-0.34","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","519","So now you suddenly care about my future?","4.25-5.25","","1","null"
"10815","{""Q0"":1}","survey-likert","38","516799","0.0-3.0-0.35","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","3","Why are you looking at me like that?","<2.25","","2","null"
"5823","{""Q0"":0}","survey-likert","39","522623","0.0-3.0-0.36","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","529","We can presume that that was no coincidence.","4.25-5.25","","1","null"
"5974","{""Q0"":0}","survey-likert","40","528599","0.0-3.0-0.37","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","98","Suddenly, I saw a look in his eyes.","<2.25","","1","null"
"6585","{""Q0"":1}","survey-likert","41","535185","0.0-3.0-0.38","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","10","I'll tell you what I'm going to do.","<2.25","","2","null"
"7679","{""Q0"":1}","survey-likert","42","542865","0.0-3.0-0.39","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","56","I know how important this is to you.","<2.25","","2","null"
"4599","{""Q0"":1}","survey-likert","43","547465","0.0-3.0-0.40","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","278","I just need to be alone, you know?","2.25-3.25","","2","null"
"4335","{""Q0"":6}","survey-likert","44","551801","0.0-3.0-0.41","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_40","This is an attention check. Please click 7.","attention_check","7","7","true"
"9661","{""Q0"":1}","survey-likert","45","561463","0.0-3.0-0.42","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","447","There was a feverish intensity in the words.","3.25-4.25","","2","null"
"8389","{""Q0"":4}","survey-likert","46","569854","0.0-3.0-0.43","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","376","The wind stirred the branches of the tree.","3.25-4.25","","5","null"
"7556","{""Q0"":1}","survey-likert","47","577411","0.0-3.0-0.44","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","350","He heaved a sigh and swallowed his pride.","3.25-4.25","","2","null"
"9721","{""Q0"":1}","survey-likert","48","587133","0.0-3.0-0.45","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","676","He has aerial work and aircraft testing experience.",">5.25","","2","null"
"23217","{""Q0"":0}","survey-likert","49","610351","0.0-3.0-0.46","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","586","I knew my history, limited as it was.","4.25-5.25","","1","null"
"9553","{""Q0"":1}","survey-likert","50","619905","0.0-3.0-0.47","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","371","The creature didn't look anything like a werewolf.","3.25-4.25","","2","null"
"20873","{""Q0"":4}","survey-likert","51","640779","0.0-3.0-0.48","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","714","The patrol hats and baseball caps looked good.",">5.25","","5","null"
"4803","{""Q0"":0}","survey-likert","52","645583","0.0-3.0-0.49","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","277","From time to time it gets to me.","2.25-3.25","","1","null"
"4351","{""Q0"":0}","survey-likert","53","649935","0.0-3.0-0.50","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","459","It sure is a sloppy day for it.","3.25-4.25","","1","null"
"3684","{""Q0"":3}","survey-likert","54","653621","0.0-3.0-0.51","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","516","A few teeth showed in the creature's mouth.","4.25-5.25","","4","null"
"4305","{""Q0"":0}","survey-likert","55","657927","0.0-3.0-0.52","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","256","The following is one of the most common.","2.25-3.25","","1","null"
"7037","{""Q0"":0}","survey-likert","56","664965","0.0-3.0-0.53","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","20","I'll be back in a couple of weeks.","<2.25","","1","null"
"7123","{""Q0"":0}","survey-likert","57","672089","0.0-3.0-0.54","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","469","He was sure victory would soon be theirs.","3.25-4.25","","1","null"
"5913","{""Q0"":2}","survey-likert","58","678003","0.0-3.0-0.55","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","653","I dumped my things on a nearby chair.",">5.25","","3","null"
"13191","{""Q0"":1}","survey-likert","59","691195","0.0-3.0-0.56","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","206","If we don't find anyone, we'll come back.","2.25-3.25","","2","null"
"6348","{""Q0"":2}","survey-likert","60","697544","0.0-3.0-0.57","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","401","I could hear music coming from the window.","3.25-4.25","","3","null"
"12231","{""Q0"":0}","survey-likert","61","709777","0.0-3.0-0.58","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","154","I think that's all we need to know.","<2.25","","1","null"
"3950","{""Q0"":0}","survey-likert","62","713728","0.0-3.0-0.59","66cf43db332889da5054c9e8","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","135","How am I supposed to figure it out?","<2.25","","1","null"
