"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"13101","{""Q0"":""6745bda6a32f3521b937fb47""}","survey-text","0","13115","0.0-0.0","6745bda6a32f3521b937fb47","","","","","","","","","","","",""
"15451","0","html-button-response","1","28567","0.0-1.0","6745bda6a32f3521b937fb47","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"51252","0","html-button-response","2","79820","0.0-2.0","6745bda6a32f3521b937fb47","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"20519","{""Q0"":5}","survey-likert","3","100341","0.0-3.0-0.0","6745bda6a32f3521b937fb47","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","117","Now, why did you ask to see me?","<2.25","","6","null"
"13755","{""Q0"":1}","survey-likert","4","114097","0.0-3.0-0.1","6745bda6a32f3521b937fb47","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","726","Or pretend we run an imaginary puppy store?",">5.25","","2","null"
"5014","{""Q0"":5}","survey-likert","5","119112","0.0-3.0-0.2","6745bda6a32f3521b937fb47","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","717","The crystals all over his car were growing.",">5.25","","6","null"
"18576","{""Q0"":5}","survey-likert","6","137690","0.0-3.0-0.3","6745bda6a32f3521b937fb47","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","534","Anne turned around, but barely recognized the captain.","4.25-5.25","","6","null"
"6818","{""Q0"":1}","survey-likert","7","144510","0.0-3.0-0.4","6745bda6a32f3521b937fb47","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","249","I was just giving you a hard time.","2.25-3.25","","2","null"
"5651","{""Q0"":1}","survey-likert","8","150162","0.0-3.0-0.5","6745bda6a32f3521b937fb47","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","316","I could not believe what they were saying.","2.25-3.25","","2","null"
"5321","{""Q0"":1}","survey-likert","9","155484","0.0-3.0-0.6","6745bda6a32f3521b937fb47","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","397","Maybe later you'll be a bit more rational.","3.25-4.25","","2","null"
"9809","{""Q0"":5}","survey-likert","10","165294","0.0-3.0-0.7","6745bda6a32f3521b937fb47","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","800","Cass stands there looking at him march away.",">5.25","","6","null"
"6521","{""Q0"":5}","survey-likert","11","171817","0.0-3.0-0.8","6745bda6a32f3521b937fb47","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","605","It means methane gas leeching from the soil.","4.25-5.25","","6","null"
"8698","{""Q0"":5}","survey-likert","12","180516","0.0-3.0-0.9","6745bda6a32f3521b937fb47","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","795","Something ancient stirred far off in the forest.",">5.25","","6","null"
"16330","{""Q0"":1}","survey-likert","13","196848","0.0-3.0-0.10","6745bda6a32f3521b937fb47","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","695","This development enabled the emergence of secondary consciousness.",">5.25","","2","null"
"20086","{""Q0"":5}","survey-likert","14","216936","0.0-3.0-0.11","6745bda6a32f3521b937fb47","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","660","The world beyond was eerie and dim, unrecognizable.",">5.25","","6","null"
"5416","{""Q0"":5}","survey-likert","15","222353","0.0-3.0-0.12","6745bda6a32f3521b937fb47","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","395","Outside the sport, he worked as a mechanic.","3.25-4.25","","6","null"
"8410","{""Q0"":5}","survey-likert","16","230765","0.0-3.0-0.13","6745bda6a32f3521b937fb47","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","412","Can you see the spring in his step?","3.25-4.25","","6","null"
"6746","{""Q0"":5}","survey-likert","17","237513","0.0-3.0-0.14","6745bda6a32f3521b937fb47","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","382","I feel a new sun on my skin","3.25-4.25","","6","null"
"10199","{""Q0"":1}","survey-likert","18","247713","0.0-3.0-0.15","6745bda6a32f3521b937fb47","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","585","I did get a lot accomplished this week.","4.25-5.25","","2","null"
"8057","{""Q0"":5}","survey-likert","19","255771","0.0-3.0-0.16","6745bda6a32f3521b937fb47","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","21","I don't know what to do with you.","<2.25","","6","null"
"4673","{""Q0"":5}","survey-likert","20","260445","0.0-3.0-0.17","6745bda6a32f3521b937fb47","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","36","I think I'm going to go to bed.","<2.25","","6","null"
