sentence_id,sentence,bucket,list_number
243.0,"At the top of my lungs, I screamed.",2.25-3.25,7
438.0,Footsteps moved toward them up the side street.,3.25-4.25,7
730.0,Some tapes of my studio and some books.,>5.25,7
172.0,That's the part I want to know about.,2.25-3.25,7
798.0,The signal also reaches part of Western Wyoming.,>5.25,7
639.0,You park half a mile from the club.,4.25-5.25,7
66.0,May I presume to ask you a question?,<2.25,7
441.0,The further they went the thicker it became.,3.25-4.25,7
111.0,There's so much to see in this house.,<2.25,7
476.0,You've just entered into a very profitable arrangement.,3.25-4.25,7
225.0,I'm not the only one on your trail.,2.25-3.25,7
383.0,The four grown-ups were seated around the table.,3.25-4.25,7
282.0,It was time for the first pep talk.,2.25-3.25,7
343.0,That decision was an easy one to make.,3.25-4.25,7
713.0,"I merely posed a little, academic accounting theory.",>5.25,7
46.0,I had no idea what I was doing.,<2.25,7
113.0,I have to go to the hospital now.,<2.25,7
74.0,Maybe I can make it up to you.,<2.25,7
612.0,He knows what happened at the shirt place.,4.25-5.25,7
68.0,He picked it up and looked at it.,<2.25,7
237.0,Do you believe everything happens for a reason?,2.25-3.25,7
541.0,Music and laughter came from inside the shop.,4.25-5.25,7
385.0,It's the most accurate way to verify information.,3.25-4.25,7
558.0,Have many famous actors and actresses lived here?,4.25-5.25,7
198.0,"Honestly, what do you think of the yearbook?",2.25-3.25,7
311.0,"It belongs here, just like you belong here.",2.25-3.25,7
348.0,The craggy-faced man was leaning on a stick.,3.25-4.25,7
767.0,We took out a minute of opening credits.,>5.25,7
401.0,I could hear music coming from the window.,3.25-4.25,7
1.0,Can I talk to you for a minute?,<2.25,7
194.0,People looked at him for a few seconds.,2.25-3.25,7
772.0,"Julian tried, and failed to not sound nervous.",>5.25,7
470.0,"By this time, we were getting visitors, too.",3.25-4.25,7
9.0,Do you know how much I love you?,<2.25,7
196.0,You need to have a friend with you.,2.25-3.25,7
178.0,It was the way it had always been.,2.25-3.25,7
257.0,The words are coming out of my mouth.,2.25-3.25,7
420.0,He put half a dozen in his pouch.,3.25-4.25,7
503.0,"She was almost twelve, her passions yet unfettered.",4.25-5.25,7
660.0,"The world beyond was eerie and dim, unrecognizable.",>5.25,7
299.0,"When are we getting out of here, exactly?",2.25-3.25,7
205.0,We sat in silence for a few moments.,2.25-3.25,7
296.0,You can have her lunch if you want.,2.25-3.25,7
549.0,It is the second planet from their sun.,4.25-5.25,7
703.0,She appeared sick in her following doubles match.,>5.25,7
124.0,What is it that you want to know?,<2.25,7
571.0,The next morning she was literally shaken awake.,4.25-5.25,7
164.0,We need to take it a step further.,2.25-3.25,7
411.0,For a few seconds no one did anything.,3.25-4.25,7
105.0,Are you telling me that was a lie?,<2.25,7
244.0,Why else would he have asked that question?,2.25-3.25,7
186.0,Why couldn't you just keep your head down?,2.25-3.25,7
395.0,"Outside the sport, he worked as a mechanic.",3.25-4.25,7
63.0,"Look, I think we should work things out.",<2.25,7
628.0,Her proposal is heavily promoted in the press.,4.25-5.25,7
319.0,Then you should go back to your table.,2.25-3.25,7
538.0,The platform carried us to the surface again.,4.25-5.25,7
495.0,I'm not up to unraveling subtle hints today.,4.25-5.25,7
294.0,"A place where they live, so to speak.",2.25-3.25,7
289.0,"Come on, make sure you get both sides.",2.25-3.25,7
114.0,"Well, you can sleep here if you want.",<2.25,7
568.0,He reminded himself that you just need faith.,4.25-5.25,7
309.0,It is the only member of its genus.,2.25-3.25,7
414.0,I am one step away from saying that,3.25-4.25,7
650.0,"It made less mess, solving my original concern.",>5.25,7
579.0,"Well, you should always let a roast rest.",4.25-5.25,7
310.0,What brings you here so late at night?,2.25-3.25,7
592.0,She does not want to assume anything yet.,4.25-5.25,7
443.0,You believe him to be an unreliable witness?,3.25-4.25,7
747.0,And Matt wandered off to investigate the grounds.,>5.25,7
145.0,"Truth is, I don't know what to say.",<2.25,7
83.0,That was what I was going to say.,<2.25,7
234.0,Why do you think you're in this pickle?,2.25-3.25,7
227.0,"Sometimes, all you need is the right motivation.",2.25-3.25,7
148.0,Let me know what you think of that.,<2.25,7
761.0,Peter drove away and David came back inside.,>5.25,7
128.0,"You still haven't figured it out, have you?",<2.25,7
680.0,Dipped sweet in honey to drip thy shine.,>5.25,7
482.0,His scientific publications were focused on string theory.,4.25-5.25,7
584.0,They were all evidently rushing to get somewhere.,4.25-5.25,7
677.0,Less successful was the area of educational politics.,>5.25,7
506.0,"Her brow puckered as once again, she couldn't.",4.25-5.25,7
447.0,There was a feverish intensity in the words.,3.25-4.25,7
31.0,Because it was the right thing to do.,<2.25,7
35.0,That's all I'm going to say about it.,<2.25,7
238.0,I do not want to hear your excuses.,2.25-3.25,7
73.0,What do you want me to do now?,<2.25,7
358.0,"The feeling was exquisite, unique and indescribably serene.",3.25-4.25,7
284.0,We have to get off the bus here.,2.25-3.25,7
530.0,Now keep that thought in mind and exaggerate!,4.25-5.25,7
26.0,How do I get in touch with you?,<2.25,7
799.0,German soil lay only a league from here.,>5.25,7
563.0,The lad joined him at the front gate.,4.25-5.25,7
217.0,Tell her to move out of the way.,2.25-3.25,7
653.0,I dumped my things on a nearby chair.,>5.25,7
77.0,We're just trying to figure out what's happening.,<2.25,7
444.0,"No, we would not draw them to us.",3.25-4.25,7
630.0,Her issues are a complete opposite of yours.,4.25-5.25,7
25.0,"Trust me, I am telling you the truth.",<2.25,7
269.0,She liked going to the racetrack so much.,2.25-3.25,7
