"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"6264","{""Q0"":""69b0382f4a207d6a935ff3ed""}","survey-text","0","6278","0.0-0.0","69b0382f4a207d6a935ff3ed","","","","","","","","","","","",""
"3997","0","html-button-response","1","10278","0.0-1.0","69b0382f4a207d6a935ff3ed","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"16718","0","html-button-response","2","26999","0.0-2.0","69b0382f4a207d6a935ff3ed","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"5723","{""Q0"":6}","survey-likert","3","32725","0.0-3.0-0.0","69b0382f4a207d6a935ff3ed","","[0]","","3","1","How much does the sentence make sense?","91","This is the worst moment of my life.","<2.25","","7","null"
"3026","{""Q0"":6}","survey-likert","4","35754","0.0-3.0-0.1","69b0382f4a207d6a935ff3ed","","[0]","","3","1","How much does the sentence make sense?","5","Is there anything I can do for you?","<2.25","","7","null"
"5547","{""Q0"":5}","survey-likert","5","41304","0.0-3.0-0.2","69b0382f4a207d6a935ff3ed","","[0]","","3","1","How much does the sentence make sense?","285","And now there are trees all around us.","2.25-3.25","","6","null"
"8629","{""Q0"":4}","survey-likert","6","49935","0.0-3.0-0.3","69b0382f4a207d6a935ff3ed","","[0]","","3","1","How much does the sentence make sense?","335","He looked to be a normal-sized eight-year-old kid.","3.25-4.25","","5","null"
"3241","{""Q0"":6}","survey-likert","7","53179","0.0-3.0-0.4","69b0382f4a207d6a935ff3ed","","[0]","","3","1","How much does the sentence make sense?","67","Oh, I wish I could remember the name.","<2.25","","7","null"
"10307","{""Q0"":6}","survey-likert","8","63489","0.0-3.0-0.5","69b0382f4a207d6a935ff3ed","","[0]","","3","1","How much does the sentence make sense?","336","He looked at me with a wacky gaze.","3.25-4.25","","7","null"
"4757","{""Q0"":6}","survey-likert","9","68250","0.0-3.0-0.6","69b0382f4a207d6a935ff3ed","","[0]","","3","1","How much does the sentence make sense?","138","There is no use in talking about it.","<2.25","","7","null"
