"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"8902","{""Q0"":""6980e8ff370a48d1ff6acf25""}","survey-text","0","8920","0.0-0.0","6980e8ff370a48d1ff6acf25","","","","","","","","","","","",""
"8271","0","html-button-response","1","17194","0.0-1.0","6980e8ff370a48d1ff6acf25","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"73471","0","html-button-response","2","90667","0.0-2.0","6980e8ff370a48d1ff6acf25","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"86989","{""Q0"":2}","survey-likert","3","177658","0.0-3.0-0.0","6980e8ff370a48d1ff6acf25","","[0]","","2","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","656","Now it runs without any rake sharing arrangement.",">5.25","","3","null"
"33463","{""Q0"":2}","survey-likert","4","211123","0.0-3.0-0.1","6980e8ff370a48d1ff6acf25","","[0]","","2","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","702","I began to ride a first rate hunch.",">5.25","","3","null"
"10478","{""Q0"":1}","survey-likert","5","221603","0.0-3.0-0.2","6980e8ff370a48d1ff6acf25","","[0]","","2","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","251","Not that I didn't like the cat, too.","2.25-3.25","","2","null"
"13851","{""Q0"":2}","survey-likert","6","235455","0.0-3.0-0.3","6980e8ff370a48d1ff6acf25","","[0]","","2","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","235","I'm in the middle of something important here.","2.25-3.25","","3","null"
"24463","{""Q0"":1}","survey-likert","7","259919","0.0-3.0-0.4","6980e8ff370a48d1ff6acf25","","[0]","","2","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","384","The launch was delayed by a few months.","3.25-4.25","","2","null"
"10073","{""Q0"":3}","survey-likert","8","269995","0.0-3.0-0.5","6980e8ff370a48d1ff6acf25","","[0]","","2","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","330","He got up and headed toward the kitchen.","3.25-4.25","","4","null"
"12610","{""Q0"":3}","survey-likert","9","282606","0.0-3.0-0.6","6980e8ff370a48d1ff6acf25","","[0]","","2","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","39","Promise me you won't put yourself in danger.","<2.25","","4","null"
"5325","{""Q0"":2}","survey-likert","10","287933","0.0-3.0-0.7","6980e8ff370a48d1ff6acf25","","[0]","","2","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","187","Otherwise, I won't give you any new information.","2.25-3.25","","3","null"
"13126","{""Q0"":2}","survey-likert","11","301061","0.0-3.0-0.8","6980e8ff370a48d1ff6acf25","","[0]","","2","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","544","Start to finish, the meal took seven minutes.","4.25-5.25","","3","null"
"22930","{""Q0"":2}","survey-likert","12","323994","0.0-3.0-0.9","6980e8ff370a48d1ff6acf25","","[0]","","2","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","314","A knock at the front door interrupted me.","2.25-3.25","","3","null"
"8920","{""Q0"":3}","survey-likert","13","332916","0.0-3.0-0.10","6980e8ff370a48d1ff6acf25","","[0]","","2","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","705","He gestures between us, like now we're connected.",">5.25","","4","null"
"24718","{""Q0"":6}","survey-likert","14","357636","0.0-3.0-0.11","6980e8ff370a48d1ff6acf25","","[0]","","2","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","287","Right now it's just wonderful to be back.","2.25-3.25","","7","null"
"21544","{""Q0"":1}","survey-likert","15","379182","0.0-3.0-0.12","6980e8ff370a48d1ff6acf25","","[0]","","2","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","477","There is too much happening in world politics.","3.25-4.25","","2","null"
"7404","{""Q0"":2}","survey-likert","16","386589","0.0-3.0-0.13","6980e8ff370a48d1ff6acf25","","[0]","","2","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","297","How many times did you try calling her?","2.25-3.25","","3","null"
"7486","{""Q0"":5}","survey-likert","17","394077","0.0-3.0-0.14","6980e8ff370a48d1ff6acf25","","[0]","","2","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","363","Freedom is the greatest prize of them all.","3.25-4.25","","6","null"
"17532","{""Q0"":4}","survey-likert","18","411611","0.0-3.0-0.15","6980e8ff370a48d1ff6acf25","","[0]","","2","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","561","You alone have stood up to their guards.","4.25-5.25","","5","null"
"13061","{""Q0"":3}","survey-likert","19","424675","0.0-3.0-0.16","6980e8ff370a48d1ff6acf25","","[0]","","2","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","198","Honestly, what do you think of the yearbook?","2.25-3.25","","4","null"
"19804","{""Q0"":2}","survey-likert","20","444481","0.0-3.0-0.17","6980e8ff370a48d1ff6acf25","","[0]","","2","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","579","Well, you should always let a roast rest.","4.25-5.25","","3","null"
"18118","{""Q0"":2}","survey-likert","21","462601","0.0-3.0-0.18","6980e8ff370a48d1ff6acf25","","[0]","","2","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","452","Everything was running as usual in her head.","3.25-4.25","","3","null"
"9054","{""Q0"":3}","survey-likert","22","471657","0.0-3.0-0.19","6980e8ff370a48d1ff6acf25","","[0]","","2","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","4","Do you understand what I'm trying to say?","<2.25","","4","null"
"4539","{""Q0"":1}","survey-likert","23","476197","0.0-3.0-0.20","6980e8ff370a48d1ff6acf25","","[0]","","2","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","attention_check_20","This is an attention check. Please click 2.","attention_check","2","2","true"
"18185","{""Q0"":4}","survey-likert","24","494384","0.0-3.0-0.21","6980e8ff370a48d1ff6acf25","","[0]","","2","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","671","Teddy tilted his face into the soft rain.",">5.25","","5","null"
"6397","{""Q0"":4}","survey-likert","25","500784","0.0-3.0-0.22","6980e8ff370a48d1ff6acf25","","[0]","","2","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","435","And how are you enjoying this fine evening?","3.25-4.25","","5","null"
