"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"7292","{""Q0"":""66cf143e060992b3d817c20f""}","survey-text","0","7302","0.0-0.0","66cf143e060992b3d817c20f","","","","","","","","","","","",""
"20436","0","html-button-response","1","27738","0.0-1.0","66cf143e060992b3d817c20f","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"131066","0","html-button-response","2","158803","0.0-2.0","66cf143e060992b3d817c20f","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"15998","{""Q0"":5}","survey-likert","3","174804","0.0-3.0-0.0","66cf143e060992b3d817c20f","","[0]","","4","1","How much does the sentence make sense?","451","You let greed get the better of you.","3.25-4.25","","6","null"
"12380","{""Q0"":1}","survey-likert","4","187187","0.0-3.0-0.1","66cf143e060992b3d817c20f","","[0]","","4","1","How much does the sentence make sense?","362","It reminded her of her heart, her soul.","3.25-4.25","","2","null"
"46067","{""Q0"":2}","survey-likert","5","233255","0.0-3.0-0.2","66cf143e060992b3d817c20f","","[0]","","4","1","How much does the sentence make sense?","622","She started to look uncomfortable then hid it.","4.25-5.25","","3","null"
"8431","{""Q0"":3}","survey-likert","6","241688","0.0-3.0-0.3","66cf143e060992b3d817c20f","","[0]","","4","1","How much does the sentence make sense?","426","The thought of using makeup made her shiver.","3.25-4.25","","4","null"
"7079","{""Q0"":4}","survey-likert","7","248769","0.0-3.0-0.4","66cf143e060992b3d817c20f","","[0]","","4","1","How much does the sentence make sense?","181","Don't let your guard down for a moment.","2.25-3.25","","5","null"
"22032","{""Q0"":3}","survey-likert","8","270803","0.0-3.0-0.5","66cf143e060992b3d817c20f","","[0]","","4","1","How much does the sentence make sense?","456","A smile worked its way to her lips.","3.25-4.25","","4","null"
"6297","{""Q0"":6}","survey-likert","9","277104","0.0-3.0-0.6","66cf143e060992b3d817c20f","","[0]","","4","1","How much does the sentence make sense?","220","What a day this was going to be!","2.25-3.25","","7","null"
"4447","{""Q0"":5}","survey-likert","10","281553","0.0-3.0-0.7","66cf143e060992b3d817c20f","","[0]","","4","1","How much does the sentence make sense?","152","I am not going to talk about it.","<2.25","","6","null"
"18265","{""Q0"":5}","survey-likert","11","299820","0.0-3.0-0.8","66cf143e060992b3d817c20f","","[0]","","4","1","How much does the sentence make sense?","460","He's so busy lately I hardly see him.","3.25-4.25","","6","null"
"12814","{""Q0"":4}","survey-likert","12","312636","0.0-3.0-0.9","66cf143e060992b3d817c20f","","[0]","","4","1","How much does the sentence make sense?","281","What's this amazing thing that's happening to her?","2.25-3.25","","5","null"
"11148","{""Q0"":3}","survey-likert","13","323787","0.0-3.0-0.10","66cf143e060992b3d817c20f","","[0]","","4","1","How much does the sentence make sense?","725","The assembly also sometimes is about moral teaching.",">5.25","","4","null"
"25748","{""Q0"":5}","survey-likert","14","349537","0.0-3.0-0.11","66cf143e060992b3d817c20f","","[0]","","4","1","How much does the sentence make sense?","121","That's what I am trying to tell you.","<2.25","","6","null"
"50849","{""Q0"":4}","survey-likert","15","400387","0.0-3.0-0.12","66cf143e060992b3d817c20f","","[0]","","4","1","How much does the sentence make sense?","351","It was as if the darkness itself thickened.","3.25-4.25","","5","null"
"40816","{""Q0"":4}","survey-likert","16","441204","0.0-3.0-0.13","66cf143e060992b3d817c20f","","[0]","","4","1","How much does the sentence make sense?","559","He pointed out the device on the shield.","4.25-5.25","","5","null"
"10581","{""Q0"":4}","survey-likert","17","451787","0.0-3.0-0.14","66cf143e060992b3d817c20f","","[0]","","4","1","How much does the sentence make sense?","100","As you can see, it is quite large.","<2.25","","5","null"
"12348","{""Q0"":6}","survey-likert","18","464137","0.0-3.0-0.15","66cf143e060992b3d817c20f","","[0]","","4","1","How much does the sentence make sense?","164","We need to take it a step further.","2.25-3.25","","7","null"
"74101","{""Q0"":3}","survey-likert","19","538238","0.0-3.0-0.16","66cf143e060992b3d817c20f","","[0]","","4","1","How much does the sentence make sense?","683","The air traffic control center functions without these.",">5.25","","4","null"
"34567","{""Q0"":5}","survey-likert","20","572807","0.0-3.0-0.17","66cf143e060992b3d817c20f","","[0]","","4","1","How much does the sentence make sense?","32","I want you to be my best man.","<2.25","","6","null"
"98033","{""Q0"":4}","survey-likert","21","670840","0.0-3.0-0.18","66cf143e060992b3d817c20f","","[0]","","4","1","How much does the sentence make sense?","635","Emerson spoke to his man inside the bureau.","4.25-5.25","","5","null"
"57367","{""Q0"":4}","survey-likert","22","728207","0.0-3.0-0.19","66cf143e060992b3d817c20f","","[0]","","4","1","How much does the sentence make sense?","672","The metal collects charged particles, drawing a current.",">5.25","","5","null"
"18098","{""Q0"":4}","survey-likert","23","746307","0.0-3.0-0.20","66cf143e060992b3d817c20f","","[0]","","4","1","How much does the sentence make sense?","attention_check_20","This is an attention check. Please click 5.","attention_check","5","5","true"
"20615","{""Q0"":4}","survey-likert","24","766924","0.0-3.0-0.21","66cf143e060992b3d817c20f","","[0]","","4","1","How much does the sentence make sense?","612","He knows what happened at the shirt place.","4.25-5.25","","5","null"
