"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"6327","{""Q0"":""605b838b80f022835fc293fb""}","survey-text","0","6362","0.0-0.0","605b838b80f022835fc293fb","","","","","","","","","","","",""
"15818","0","html-button-response","1","22183","0.0-1.0","605b838b80f022835fc293fb","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"28211","0","html-button-response","2","50395","0.0-2.0","605b838b80f022835fc293fb","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"11789","{""Q0"":0}","survey-likert","3","62188","0.0-3.0-0.0","605b838b80f022835fc293fb","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","743","She noticed his particular attitude and his attention.",">5.25","","1","null"
"10101","{""Q0"":1}","survey-likert","4","72293","0.0-3.0-0.1","605b838b80f022835fc293fb","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","762","And now, Logan had stirred the pot again.",">5.25","","2","null"
"6961","{""Q0"":0}","survey-likert","5","79256","0.0-3.0-0.2","605b838b80f022835fc293fb","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","1","null"
"5262","{""Q0"":0}","survey-likert","6","84521","0.0-3.0-0.3","605b838b80f022835fc293fb","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","682","He resisted checking his notebook, determined to impress.",">5.25","","1","null"
"10477","{""Q0"":5}","survey-likert","7","95000","0.0-3.0-0.4","605b838b80f022835fc293fb","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","423","It is time to meet with the duke.","3.25-4.25","","6","null"
"5362","{""Q0"":0}","survey-likert","8","100365","0.0-3.0-0.5","605b838b80f022835fc293fb","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","551","You have acquired this power in two days?","4.25-5.25","","1","null"
"7362","{""Q0"":3}","survey-likert","9","107730","0.0-3.0-0.6","605b838b80f022835fc293fb","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","4","null"
"7247","{""Q0"":6}","survey-likert","10","114979","0.0-3.0-0.7","605b838b80f022835fc293fb","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","70","There's a message for you at the office.","<2.25","","7","null"
"5310","{""Q0"":0}","survey-likert","11","120293","0.0-3.0-0.8","605b838b80f022835fc293fb","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","253","That could only mean one of three things.","2.25-3.25","","1","null"
"4779","{""Q0"":0}","survey-likert","12","125074","0.0-3.0-0.9","605b838b80f022835fc293fb","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","127","You know that as well as I do.","<2.25","","1","null"
"8729","{""Q0"":3}","survey-likert","13","133806","0.0-3.0-0.10","605b838b80f022835fc293fb","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","686","The terminal palps are covered with substantial feathers.",">5.25","","4","null"
