"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"10166","{""Q0"":""5f29eff59714081a3594a331""}","survey-text","0","10182","0.0-0.0","5f29eff59714081a3594a331","","","","","","","","","","","",""
"24538","0","html-button-response","1","34722","0.0-1.0","5f29eff59714081a3594a331","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"30166","0","html-button-response","2","64890","0.0-2.0","5f29eff59714081a3594a331","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"8613","{""Q0"":0}","survey-likert","3","73506","0.0-3.0-0.0","5f29eff59714081a3594a331","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","656","Now it runs without any rake sharing arrangement.",">5.25","","1","null"
"6437","{""Q0"":0}","survey-likert","4","79945","0.0-3.0-0.1","5f29eff59714081a3594a331","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","702","I began to ride a first rate hunch.",">5.25","","1","null"
"4987","{""Q0"":0}","survey-likert","5","84934","0.0-3.0-0.2","5f29eff59714081a3594a331","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","251","Not that I didn't like the cat, too.","2.25-3.25","","1","null"
"3543","{""Q0"":0}","survey-likert","6","88479","0.0-3.0-0.3","5f29eff59714081a3594a331","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","235","I'm in the middle of something important here.","2.25-3.25","","1","null"
"4144","{""Q0"":0}","survey-likert","7","92624","0.0-3.0-0.4","5f29eff59714081a3594a331","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","384","The launch was delayed by a few months.","3.25-4.25","","1","null"
"4887","{""Q0"":5}","survey-likert","8","97513","0.0-3.0-0.5","5f29eff59714081a3594a331","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","330","He got up and headed toward the kitchen.","3.25-4.25","","6","null"
"4275","{""Q0"":0}","survey-likert","9","101789","0.0-3.0-0.6","5f29eff59714081a3594a331","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","39","Promise me you won't put yourself in danger.","<2.25","","1","null"
"4231","{""Q0"":0}","survey-likert","10","106022","0.0-3.0-0.7","5f29eff59714081a3594a331","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","187","Otherwise, I won't give you any new information.","2.25-3.25","","1","null"
"3516","{""Q0"":0}","survey-likert","11","109539","0.0-3.0-0.8","5f29eff59714081a3594a331","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","544","Start to finish, the meal took seven minutes.","4.25-5.25","","1","null"
"7584","{""Q0"":4}","survey-likert","12","117124","0.0-3.0-0.9","5f29eff59714081a3594a331","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","314","A knock at the front door interrupted me.","2.25-3.25","","5","null"
"9430","{""Q0"":0}","survey-likert","13","126554","0.0-3.0-0.10","5f29eff59714081a3594a331","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","705","He gestures between us, like now we're connected.",">5.25","","1","null"
"11148","{""Q0"":0}","survey-likert","14","137703","0.0-3.0-0.11","5f29eff59714081a3594a331","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","287","Right now it's just wonderful to be back.","2.25-3.25","","1","null"
"7596","{""Q0"":0}","survey-likert","15","145300","0.0-3.0-0.12","5f29eff59714081a3594a331","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","477","There is too much happening in world politics.","3.25-4.25","","1","null"
"4150","{""Q0"":0}","survey-likert","16","149451","0.0-3.0-0.13","5f29eff59714081a3594a331","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","297","How many times did you try calling her?","2.25-3.25","","1","null"
"4532","{""Q0"":0}","survey-likert","17","153984","0.0-3.0-0.14","5f29eff59714081a3594a331","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","363","Freedom is the greatest prize of them all.","3.25-4.25","","1","null"
"4394","{""Q0"":0}","survey-likert","18","158380","0.0-3.0-0.15","5f29eff59714081a3594a331","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","561","You alone have stood up to their guards.","4.25-5.25","","1","null"
"7356","{""Q0"":1}","survey-likert","19","165738","0.0-3.0-0.16","5f29eff59714081a3594a331","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","198","Honestly, what do you think of the yearbook?","2.25-3.25","","2","null"
"4449","{""Q0"":0}","survey-likert","20","170188","0.0-3.0-0.17","5f29eff59714081a3594a331","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","579","Well, you should always let a roast rest.","4.25-5.25","","1","null"
"14386","{""Q0"":0}","survey-likert","21","184576","0.0-3.0-0.18","5f29eff59714081a3594a331","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","452","Everything was running as usual in her head.","3.25-4.25","","1","null"
"18177","{""Q0"":0}","survey-likert","22","202757","0.0-3.0-0.19","5f29eff59714081a3594a331","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","4","Do you understand what I'm trying to say?","<2.25","","1","null"
"5333","{""Q0"":0}","survey-likert","23","208092","0.0-3.0-0.20","5f29eff59714081a3594a331","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_20","This is an attention check. Please click 1.","attention_check","1","1","true"
"3778","{""Q0"":0}","survey-likert","24","211872","0.0-3.0-0.21","5f29eff59714081a3594a331","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","671","Teddy tilted his face into the soft rain.",">5.25","","1","null"
"4291","{""Q0"":0}","survey-likert","25","216164","0.0-3.0-0.22","5f29eff59714081a3594a331","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","435","And how are you enjoying this fine evening?","3.25-4.25","","1","null"
