"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"5139","{""Q0"":""62fccb9647eb07d62e9b6baa""}","survey-text","0","5161","0.0-0.0","62fccb9647eb07d62e9b6baa","","","","","","","","","","","",""
"6117","0","html-button-response","1","11281","0.0-1.0","62fccb9647eb07d62e9b6baa","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"19790","0","html-button-response","2","31088","0.0-2.0","62fccb9647eb07d62e9b6baa","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"14697","{""Q0"":4}","survey-likert","3","45788","0.0-3.0-0.0","62fccb9647eb07d62e9b6baa","","[0]","","7","1","How much does the sentence make sense?","743","She noticed his particular attitude and his attention.",">5.25","","5","null"
"6406","{""Q0"":6}","survey-likert","4","52197","0.0-3.0-0.1","62fccb9647eb07d62e9b6baa","","[0]","","7","1","How much does the sentence make sense?","762","And now, Logan had stirred the pot again.",">5.25","","7","null"
"5532","{""Q0"":6}","survey-likert","5","57731","0.0-3.0-0.2","62fccb9647eb07d62e9b6baa","","[0]","","7","1","How much does the sentence make sense?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","7","null"
"6024","{""Q0"":6}","survey-likert","6","63757","0.0-3.0-0.3","62fccb9647eb07d62e9b6baa","","[0]","","7","1","How much does the sentence make sense?","682","He resisted checking his notebook, determined to impress.",">5.25","","7","null"
"4939","{""Q0"":6}","survey-likert","7","68698","0.0-3.0-0.4","62fccb9647eb07d62e9b6baa","","[0]","","7","1","How much does the sentence make sense?","423","It is time to meet with the duke.","3.25-4.25","","7","null"
"5722","{""Q0"":6}","survey-likert","8","74422","0.0-3.0-0.5","62fccb9647eb07d62e9b6baa","","[0]","","7","1","How much does the sentence make sense?","551","You have acquired this power in two days?","4.25-5.25","","7","null"
"4886","{""Q0"":6}","survey-likert","9","79310","0.0-3.0-0.6","62fccb9647eb07d62e9b6baa","","[0]","","7","1","How much does the sentence make sense?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","7","null"
