"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"23674","{""Q0"":""696bb4062c305603b1e0511f""}","survey-text","0","23685","0.0-0.0","696bb4062c305603b1e0511f","","","","","","","","","","","",""
"5592","0","html-button-response","1","29279","0.0-1.0","696bb4062c305603b1e0511f","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"68503","0","html-button-response","2","97783","0.0-2.0","696bb4062c305603b1e0511f","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"27171","{""Q0"":1}","survey-likert","3","124955","0.0-3.0-0.0","696bb4062c305603b1e0511f","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","117","Now, why did you ask to see me?","<2.25","","2","null"
"10576","{""Q0"":4}","survey-likert","4","135545","0.0-3.0-0.1","696bb4062c305603b1e0511f","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","726","Or pretend we run an imaginary puppy store?",">5.25","","5","null"
"6501","{""Q0"":6}","survey-likert","5","142047","0.0-3.0-0.2","696bb4062c305603b1e0511f","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","717","The crystals all over his car were growing.",">5.25","","7","null"
"4904","{""Q0"":1}","survey-likert","6","146952","0.0-3.0-0.3","696bb4062c305603b1e0511f","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","534","Anne turned around, but barely recognized the captain.","4.25-5.25","","2","null"
"6853","{""Q0"":0}","survey-likert","7","153807","0.0-3.0-0.4","696bb4062c305603b1e0511f","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","249","I was just giving you a hard time.","2.25-3.25","","1","null"
"6351","{""Q0"":0}","survey-likert","8","160160","0.0-3.0-0.5","696bb4062c305603b1e0511f","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","316","I could not believe what they were saying.","2.25-3.25","","1","null"
"6801","{""Q0"":0}","survey-likert","9","166961","0.0-3.0-0.6","696bb4062c305603b1e0511f","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","397","Maybe later you'll be a bit more rational.","3.25-4.25","","1","null"
"20879","{""Q0"":2}","survey-likert","10","187841","0.0-3.0-0.7","696bb4062c305603b1e0511f","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","800","Cass stands there looking at him march away.",">5.25","","3","null"
"9328","{""Q0"":5}","survey-likert","11","197171","0.0-3.0-0.8","696bb4062c305603b1e0511f","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","605","It means methane gas leeching from the soil.","4.25-5.25","","6","null"
"6771","{""Q0"":4}","survey-likert","12","203943","0.0-3.0-0.9","696bb4062c305603b1e0511f","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","795","Something ancient stirred far off in the forest.",">5.25","","5","null"
"10371","{""Q0"":1}","survey-likert","13","214316","0.0-3.0-0.10","696bb4062c305603b1e0511f","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","695","This development enabled the emergence of secondary consciousness.",">5.25","","2","null"
"8099","{""Q0"":4}","survey-likert","14","222416","0.0-3.0-0.11","696bb4062c305603b1e0511f","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","660","The world beyond was eerie and dim, unrecognizable.",">5.25","","5","null"
"11406","{""Q0"":1}","survey-likert","15","233823","0.0-3.0-0.12","696bb4062c305603b1e0511f","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","395","Outside the sport, he worked as a mechanic.","3.25-4.25","","2","null"
"7349","{""Q0"":2}","survey-likert","16","241173","0.0-3.0-0.13","696bb4062c305603b1e0511f","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","412","Can you see the spring in his step?","3.25-4.25","","3","null"
"9636","{""Q0"":4}","survey-likert","17","250810","0.0-3.0-0.14","696bb4062c305603b1e0511f","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","382","I feel a new sun on my skin","3.25-4.25","","5","null"
"9148","{""Q0"":1}","survey-likert","18","259959","0.0-3.0-0.15","696bb4062c305603b1e0511f","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","585","I did get a lot accomplished this week.","4.25-5.25","","2","null"
"8180","{""Q0"":0}","survey-likert","19","268140","0.0-3.0-0.16","696bb4062c305603b1e0511f","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","21","I don't know what to do with you.","<2.25","","1","null"
