"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"11054","{""Q0"":""696968ce6e15d186d48966b0""}","survey-text","0","11063","0.0-0.0","696968ce6e15d186d48966b0","","","","","","","","","","","",""
"5214","0","html-button-response","1","16280","0.0-1.0","696968ce6e15d186d48966b0","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"28865","0","html-button-response","2","45146","0.0-2.0","696968ce6e15d186d48966b0","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"6881","{""Q0"":0}","survey-likert","3","52029","0.0-3.0-0.0","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","743","She noticed his particular attitude and his attention.",">5.25","","1","null"
"9164","{""Q0"":2}","survey-likert","4","61196","0.0-3.0-0.1","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","762","And now, Logan had stirred the pot again.",">5.25","","3","null"
"4248","{""Q0"":0}","survey-likert","5","65446","0.0-3.0-0.2","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","1","null"
"5581","{""Q0"":3}","survey-likert","6","71029","0.0-3.0-0.3","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","682","He resisted checking his notebook, determined to impress.",">5.25","","4","null"
"5298","{""Q0"":6}","survey-likert","7","76330","0.0-3.0-0.4","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","423","It is time to meet with the duke.","3.25-4.25","","7","null"
"3848","{""Q0"":0}","survey-likert","8","80180","0.0-3.0-0.5","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","551","You have acquired this power in two days?","4.25-5.25","","1","null"
"6731","{""Q0"":2}","survey-likert","9","86913","0.0-3.0-0.6","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","3","null"
"3513","{""Q0"":6}","survey-likert","10","90428","0.0-3.0-0.7","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","70","There's a message for you at the office.","<2.25","","7","null"
"2999","{""Q0"":0}","survey-likert","11","93429","0.0-3.0-0.8","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","253","That could only mean one of three things.","2.25-3.25","","1","null"
"3315","{""Q0"":0}","survey-likert","12","96746","0.0-3.0-0.9","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","127","You know that as well as I do.","<2.25","","1","null"
"5348","{""Q0"":5}","survey-likert","13","102096","0.0-3.0-0.10","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","686","The terminal palps are covered with substantial feathers.",">5.25","","6","null"
"5414","{""Q0"":0}","survey-likert","14","107513","0.0-3.0-0.11","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","543","What if their meeting was delayed or cancelled?","4.25-5.25","","1","null"
"3315","{""Q0"":6}","survey-likert","15","110830","0.0-3.0-0.12","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","328","The nearest neighbor is a quarter mile away.","3.25-4.25","","7","null"
"3564","{""Q0"":4}","survey-likert","16","114396","0.0-3.0-0.13","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","448","She hurried to catch up with the others.","3.25-4.25","","5","null"
"4065","{""Q0"":6}","survey-likert","17","118463","0.0-3.0-0.14","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","697","She shoved her paper over at the boy.",">5.25","","7","null"
"3148","{""Q0"":0}","survey-likert","18","121613","0.0-3.0-0.15","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","434","It went against everything that he was taught.","3.25-4.25","","1","null"
"4031","{""Q0"":4}","survey-likert","19","125646","0.0-3.0-0.16","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","773","Shipment of grub worms coming in first thing.",">5.25","","5","null"
"5214","{""Q0"":3}","survey-likert","20","130862","0.0-3.0-0.17","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","465","They all cast nervous glances at each other.","3.25-4.25","","4","null"
"4899","{""Q0"":6}","survey-likert","21","135763","0.0-3.0-0.18","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","383","The four grown-ups were seated around the table.","3.25-4.25","","7","null"
"16881","{""Q0"":6}","survey-likert","22","152646","0.0-3.0-0.19","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","432","There's one coming along the path right now.","3.25-4.25","","7","null"
"5832","{""Q0"":4}","survey-likert","23","158480","0.0-3.0-0.20","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_20","This is an attention check. Please click 5.","attention_check","5","5","true"
"5598","{""Q0"":4}","survey-likert","24","164080","0.0-3.0-0.21","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","524","She threw the whole amount into that fund.","4.25-5.25","","5","null"
"11965","{""Q0"":6}","survey-likert","25","176047","0.0-3.0-0.22","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","527","Smuggling is an ancient and respected trade there.","4.25-5.25","","7","null"
"5581","{""Q0"":1}","survey-likert","26","181630","0.0-3.0-0.23","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","663","The three women shared a harsh, knowing laugh.",">5.25","","2","null"
"3848","{""Q0"":6}","survey-likert","27","185480","0.0-3.0-0.24","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","356","It had been snowing nonstop for a week.","3.25-4.25","","7","null"
"10632","{""Q0"":0}","survey-likert","28","196114","0.0-3.0-0.25","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","546","Through all the confusion came an overwhelming clarity.","4.25-5.25","","1","null"
"6481","{""Q0"":5}","survey-likert","29","202597","0.0-3.0-0.26","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","602","She lifted the goblet and toasted her employer.","4.25-5.25","","6","null"
"4331","{""Q0"":6}","survey-likert","30","206931","0.0-3.0-0.27","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","348","The craggy-faced man was leaning on a stick.","3.25-4.25","","7","null"
"4931","{""Q0"":0}","survey-likert","31","211864","0.0-3.0-0.28","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","406","I reached my limit a long time ago.","3.25-4.25","","1","null"
"21565","{""Q0"":0}","survey-likert","32","233430","0.0-3.0-0.29","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","523","The separation was almost too painful to stand.","4.25-5.25","","1","null"
"5331","{""Q0"":0}","survey-likert","33","238764","0.0-3.0-0.30","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","192","Before I go, there's something I should say.","2.25-3.25","","1","null"
"6898","{""Q0"":6}","survey-likert","34","245664","0.0-3.0-0.31","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","461","Not a wiggling, mewing black and white kitten.","3.25-4.25","","7","null"
"3514","{""Q0"":6}","survey-likert","35","249181","0.0-3.0-0.32","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","797","A genuine smile rides low on her lips.",">5.25","","7","null"
"3031","{""Q0"":6}","survey-likert","36","252214","0.0-3.0-0.33","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","757","She considered pretending she was asleep or gone.",">5.25","","7","null"
"2764","{""Q0"":0}","survey-likert","37","254981","0.0-3.0-0.34","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","519","So now you suddenly care about my future?","4.25-5.25","","1","null"
"3881","{""Q0"":6}","survey-likert","38","258864","0.0-3.0-0.35","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","3","Why are you looking at me like that?","<2.25","","7","null"
"6014","{""Q0"":0}","survey-likert","39","264881","0.0-3.0-0.36","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","529","We can presume that that was no coincidence.","4.25-5.25","","1","null"
"9015","{""Q0"":6}","survey-likert","40","273898","0.0-3.0-0.37","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","98","Suddenly, I saw a look in his eyes.","<2.25","","7","null"
"9264","{""Q0"":0}","survey-likert","41","283164","0.0-3.0-0.38","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","10","I'll tell you what I'm going to do.","<2.25","","1","null"
"6064","{""Q0"":0}","survey-likert","42","289231","0.0-3.0-0.39","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","56","I know how important this is to you.","<2.25","","1","null"
"5965","{""Q0"":0}","survey-likert","43","295198","0.0-3.0-0.40","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","278","I just need to be alone, you know?","2.25-3.25","","1","null"
"3298","{""Q0"":3}","survey-likert","44","298498","0.0-3.0-0.41","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_40","This is an attention check. Please click 4.","attention_check","4","4","true"
"8881","{""Q0"":2}","survey-likert","45","307381","0.0-3.0-0.42","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","447","There was a feverish intensity in the words.","3.25-4.25","","3","null"
"4414","{""Q0"":6}","survey-likert","46","311798","0.0-3.0-0.43","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","376","The wind stirred the branches of the tree.","3.25-4.25","","7","null"
"3914","{""Q0"":6}","survey-likert","47","315715","0.0-3.0-0.44","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","350","He heaved a sigh and swallowed his pride.","3.25-4.25","","7","null"
"11215","{""Q0"":6}","survey-likert","48","326931","0.0-3.0-0.45","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","676","He has aerial work and aircraft testing experience.",">5.25","","7","null"
"6498","{""Q0"":2}","survey-likert","49","333432","0.0-3.0-0.46","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","586","I knew my history, limited as it was.","4.25-5.25","","3","null"
"11915","{""Q0"":6}","survey-likert","50","345344","0.0-3.0-0.47","696968ce6e15d186d48966b0","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","371","The creature didn't look anything like a werewolf.","3.25-4.25","","7","null"
