"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"4947","{""Q0"":""6135136c00807fc92b968e67""}","survey-text","0","4956","0.0-0.0","6135136c00807fc92b968e67","","","","","","","","","","","",""
"3047","0","html-button-response","1","8004","0.0-1.0","6135136c00807fc92b968e67","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"76304","0","html-button-response","2","84309","0.0-2.0","6135136c00807fc92b968e67","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"46784","{""Q0"":0}","survey-likert","3","131094","0.0-3.0-0.0","6135136c00807fc92b968e67","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","656","Now it runs without any rake sharing arrangement.",">5.25","","1","null"
"11487","{""Q0"":2}","survey-likert","4","142583","0.0-3.0-0.1","6135136c00807fc92b968e67","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","702","I began to ride a first rate hunch.",">5.25","","3","null"
"6158","{""Q0"":0}","survey-likert","5","148742","0.0-3.0-0.2","6135136c00807fc92b968e67","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","251","Not that I didn't like the cat, too.","2.25-3.25","","1","null"
"10527","{""Q0"":0}","survey-likert","6","159271","0.0-3.0-0.3","6135136c00807fc92b968e67","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","235","I'm in the middle of something important here.","2.25-3.25","","1","null"
"11911","{""Q0"":0}","survey-likert","7","171183","0.0-3.0-0.4","6135136c00807fc92b968e67","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","384","The launch was delayed by a few months.","3.25-4.25","","1","null"
"18944","{""Q0"":0}","survey-likert","8","190128","0.0-3.0-0.5","6135136c00807fc92b968e67","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","330","He got up and headed toward the kitchen.","3.25-4.25","","1","null"
"5542","{""Q0"":3}","survey-likert","9","195671","0.0-3.0-0.6","6135136c00807fc92b968e67","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","39","Promise me you won't put yourself in danger.","<2.25","","4","null"
"6759","{""Q0"":2}","survey-likert","10","202431","0.0-3.0-0.7","6135136c00807fc92b968e67","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","187","Otherwise, I won't give you any new information.","2.25-3.25","","3","null"
