"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"11329","{""Q0"":""69f9f0668bf5734f80f13a7c""}","survey-text","0","11345","0.0-0.0","69f9f0668bf5734f80f13a7c","","","","","","","","","","","",""
"1197","0","html-button-response","1","12545","0.0-1.0","69f9f0668bf5734f80f13a7c","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"18989","0","html-button-response","2","31535","0.0-2.0","69f9f0668bf5734f80f13a7c","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"12454","{""Q0"":5}","survey-likert","3","43992","0.0-3.0-0.0","69f9f0668bf5734f80f13a7c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","49","All you had to do was walk away.","<2.25","","6","null"
"2758","{""Q0"":5}","survey-likert","4","46752","0.0-3.0-0.1","69f9f0668bf5734f80f13a7c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","153","Only one of them could have done that.","<2.25","","6","null"
"4470","{""Q0"":6}","survey-likert","5","51224","0.0-3.0-0.2","69f9f0668bf5734f80f13a7c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","326","He was holding his backpack over his head.","3.25-4.25","","7","null"
"3918","{""Q0"":4}","survey-likert","6","55144","0.0-3.0-0.3","69f9f0668bf5734f80f13a7c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","5","null"
"5150","{""Q0"":2}","survey-likert","7","60296","0.0-3.0-0.4","69f9f0668bf5734f80f13a7c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","59","I really haven't made up my mind yet.","<2.25","","3","null"
"10510","{""Q0"":4}","survey-likert","8","70808","0.0-3.0-0.5","69f9f0668bf5734f80f13a7c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","512","The other two float out into the vacuum.","4.25-5.25","","5","null"
"4038","{""Q0"":5}","survey-likert","9","74848","0.0-3.0-0.6","69f9f0668bf5734f80f13a7c","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","420","He put half a dozen in his pouch.","3.25-4.25","","6","null"
