"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"32569","{""Q0"":""69aaf2a0d6562246442ee009""}","survey-text","0","32591","0.0-0.0","69aaf2a0d6562246442ee009","","","","","","","","","","","",""
"58398","0","html-button-response","1","90995","0.0-1.0","69aaf2a0d6562246442ee009","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"43122","0","html-button-response","2","134118","0.0-2.0","69aaf2a0d6562246442ee009","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"6284","{""Q0"":0}","survey-likert","3","140406","0.0-3.0-0.0","69aaf2a0d6562246442ee009","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","451","You let greed get the better of you.","3.25-4.25","","1","null"
"6116","{""Q0"":5}","survey-likert","4","146525","0.0-3.0-0.1","69aaf2a0d6562246442ee009","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","362","It reminded her of her heart, her soul.","3.25-4.25","","6","null"
"3541","{""Q0"":0}","survey-likert","5","150068","0.0-3.0-0.2","69aaf2a0d6562246442ee009","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","622","She started to look uncomfortable then hid it.","4.25-5.25","","1","null"
"5264","{""Q0"":4}","survey-likert","6","155334","0.0-3.0-0.3","69aaf2a0d6562246442ee009","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","426","The thought of using makeup made her shiver.","3.25-4.25","","5","null"
"2631","{""Q0"":0}","survey-likert","7","157968","0.0-3.0-0.4","69aaf2a0d6562246442ee009","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","181","Don't let your guard down for a moment.","2.25-3.25","","1","null"
"4264","{""Q0"":4}","survey-likert","8","162234","0.0-3.0-0.5","69aaf2a0d6562246442ee009","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","456","A smile worked its way to her lips.","3.25-4.25","","5","null"
"4256","{""Q0"":0}","survey-likert","9","166492","0.0-3.0-0.6","69aaf2a0d6562246442ee009","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","220","What a day this was going to be!","2.25-3.25","","1","null"
