"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"3860","{""Q0"":""5ecc71c95c92c2000a9e9a19""}","survey-text","0","3873","0.0-0.0","5ecc71c95c92c2000a9e9a19","","","","","","","","","","","",""
"9093","0","html-button-response","1","12968","0.0-1.0","5ecc71c95c92c2000a9e9a19","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"24071","0","html-button-response","2","37039","0.0-2.0","5ecc71c95c92c2000a9e9a19","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"6023","{""Q0"":0}","survey-likert","3","43063","0.0-3.0-0.0","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","743","She noticed his particular attitude and his attention.",">5.25","","1","null"
"4527","{""Q0"":0}","survey-likert","4","47592","0.0-3.0-0.1","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","762","And now, Logan had stirred the pot again.",">5.25","","1","null"
"8519","{""Q0"":1}","survey-likert","5","56111","0.0-3.0-0.2","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","2","null"
"3279","{""Q0"":0}","survey-likert","6","59391","0.0-3.0-0.3","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","682","He resisted checking his notebook, determined to impress.",">5.25","","1","null"
"3807","{""Q0"":2}","survey-likert","7","63199","0.0-3.0-0.4","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","423","It is time to meet with the duke.","3.25-4.25","","3","null"
"3255","{""Q0"":0}","survey-likert","8","66455","0.0-3.0-0.5","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","551","You have acquired this power in two days?","4.25-5.25","","1","null"
"3695","{""Q0"":3}","survey-likert","9","70151","0.0-3.0-0.6","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","4","null"
"4927","{""Q0"":6}","survey-likert","10","75080","0.0-3.0-0.7","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","70","There's a message for you at the office.","<2.25","","7","null"
"4879","{""Q0"":0}","survey-likert","11","79959","0.0-3.0-0.8","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","253","That could only mean one of three things.","2.25-3.25","","1","null"
"2847","{""Q0"":0}","survey-likert","12","82807","0.0-3.0-0.9","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","127","You know that as well as I do.","<2.25","","1","null"
"15367","{""Q0"":0}","survey-likert","13","98175","0.0-3.0-0.10","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","686","The terminal palps are covered with substantial feathers.",">5.25","","1","null"
"5255","{""Q0"":1}","survey-likert","14","103431","0.0-3.0-0.11","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","543","What if their meeting was delayed or cancelled?","4.25-5.25","","2","null"
"6103","{""Q0"":4}","survey-likert","15","109536","0.0-3.0-0.12","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","328","The nearest neighbor is a quarter mile away.","3.25-4.25","","5","null"
"3982","{""Q0"":1}","survey-likert","16","113519","0.0-3.0-0.13","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","448","She hurried to catch up with the others.","3.25-4.25","","2","null"
"2839","{""Q0"":0}","survey-likert","17","116359","0.0-3.0-0.14","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","697","She shoved her paper over at the boy.",">5.25","","1","null"
"5127","{""Q0"":0}","survey-likert","18","121487","0.0-3.0-0.15","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","434","It went against everything that he was taught.","3.25-4.25","","1","null"
"4031","{""Q0"":0}","survey-likert","19","125519","0.0-3.0-0.16","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","773","Shipment of grub worms coming in first thing.",">5.25","","1","null"
"3343","{""Q0"":0}","survey-likert","20","128863","0.0-3.0-0.17","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","465","They all cast nervous glances at each other.","3.25-4.25","","1","null"
"4063","{""Q0"":1}","survey-likert","21","132927","0.0-3.0-0.18","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","383","The four grown-ups were seated around the table.","3.25-4.25","","2","null"
"5447","{""Q0"":4}","survey-likert","22","138375","0.0-3.0-0.19","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","432","There's one coming along the path right now.","3.25-4.25","","5","null"
"3335","{""Q0"":6}","survey-likert","23","141711","0.0-3.0-0.20","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_20","This is an attention check. Please click 7.","attention_check","7","7","true"
"3255","{""Q0"":0}","survey-likert","24","144967","0.0-3.0-0.21","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","524","She threw the whole amount into that fund.","4.25-5.25","","1","null"
"6615","{""Q0"":1}","survey-likert","25","151583","0.0-3.0-0.22","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","527","Smuggling is an ancient and respected trade there.","4.25-5.25","","2","null"
"2815","{""Q0"":0}","survey-likert","26","154399","0.0-3.0-0.23","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","663","The three women shared a harsh, knowing laugh.",">5.25","","1","null"
"3399","{""Q0"":2}","survey-likert","27","157799","0.0-3.0-0.24","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","356","It had been snowing nonstop for a week.","3.25-4.25","","3","null"
"3175","{""Q0"":0}","survey-likert","28","160975","0.0-3.0-0.25","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","546","Through all the confusion came an overwhelming clarity.","4.25-5.25","","1","null"
"4319","{""Q0"":1}","survey-likert","29","165295","0.0-3.0-0.26","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","602","She lifted the goblet and toasted her employer.","4.25-5.25","","2","null"
"4239","{""Q0"":0}","survey-likert","30","169535","0.0-3.0-0.27","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","348","The craggy-faced man was leaning on a stick.","3.25-4.25","","1","null"
"2247","{""Q0"":0}","survey-likert","31","171783","0.0-3.0-0.28","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","406","I reached my limit a long time ago.","3.25-4.25","","1","null"
"3511","{""Q0"":0}","survey-likert","32","175295","0.0-3.0-0.29","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","523","The separation was almost too painful to stand.","4.25-5.25","","1","null"
"3695","{""Q0"":0}","survey-likert","33","178991","0.0-3.0-0.30","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","192","Before I go, there's something I should say.","2.25-3.25","","1","null"
"3375","{""Q0"":0}","survey-likert","34","182367","0.0-3.0-0.31","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","461","Not a wiggling, mewing black and white kitten.","3.25-4.25","","1","null"
"2751","{""Q0"":0}","survey-likert","35","185119","0.0-3.0-0.32","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","797","A genuine smile rides low on her lips.",">5.25","","1","null"
"2903","{""Q0"":0}","survey-likert","36","188023","0.0-3.0-0.33","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","757","She considered pretending she was asleep or gone.",">5.25","","1","null"
"2575","{""Q0"":0}","survey-likert","37","190599","0.0-3.0-0.34","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","519","So now you suddenly care about my future?","4.25-5.25","","1","null"
"2207","{""Q0"":0}","survey-likert","38","192807","0.0-3.0-0.35","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","3","Why are you looking at me like that?","<2.25","","1","null"
"2799","{""Q0"":0}","survey-likert","39","195607","0.0-3.0-0.36","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","529","We can presume that that was no coincidence.","4.25-5.25","","1","null"
"3167","{""Q0"":0}","survey-likert","40","198775","0.0-3.0-0.37","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","98","Suddenly, I saw a look in his eyes.","<2.25","","1","null"
"2207","{""Q0"":0}","survey-likert","41","200983","0.0-3.0-0.38","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","10","I'll tell you what I'm going to do.","<2.25","","1","null"
"2159","{""Q0"":0}","survey-likert","42","203144","0.0-3.0-0.39","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","56","I know how important this is to you.","<2.25","","1","null"
"3503","{""Q0"":0}","survey-likert","43","206647","0.0-3.0-0.40","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","278","I just need to be alone, you know?","2.25-3.25","","1","null"
"2303","{""Q0"":1}","survey-likert","44","208951","0.0-3.0-0.41","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_40","This is an attention check. Please click 2.","attention_check","2","2","true"
"5599","{""Q0"":0}","survey-likert","45","214551","0.0-3.0-0.42","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","447","There was a feverish intensity in the words.","3.25-4.25","","1","null"
"4239","{""Q0"":4}","survey-likert","46","218791","0.0-3.0-0.43","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","376","The wind stirred the branches of the tree.","3.25-4.25","","5","null"
"2887","{""Q0"":0}","survey-likert","47","221679","0.0-3.0-0.44","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","350","He heaved a sigh and swallowed his pride.","3.25-4.25","","1","null"
"3336","{""Q0"":0}","survey-likert","48","225016","0.0-3.0-0.45","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","676","He has aerial work and aircraft testing experience.",">5.25","","1","null"
"3214","{""Q0"":0}","survey-likert","49","228231","0.0-3.0-0.46","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","586","I knew my history, limited as it was.","4.25-5.25","","1","null"
"6871","{""Q0"":2}","survey-likert","50","235103","0.0-3.0-0.47","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","371","The creature didn't look anything like a werewolf.","3.25-4.25","","3","null"
"3711","{""Q0"":0}","survey-likert","51","238815","0.0-3.0-0.48","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","714","The patrol hats and baseball caps looked good.",">5.25","","1","null"
"2055","{""Q0"":0}","survey-likert","52","240871","0.0-3.0-0.49","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","277","From time to time it gets to me.","2.25-3.25","","1","null"
"2383","{""Q0"":0}","survey-likert","53","243255","0.0-3.0-0.50","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","459","It sure is a sloppy day for it.","3.25-4.25","","1","null"
"5919","{""Q0"":1}","survey-likert","54","249175","0.0-3.0-0.51","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","516","A few teeth showed in the creature's mouth.","4.25-5.25","","2","null"
"2583","{""Q0"":0}","survey-likert","55","251759","0.0-3.0-0.52","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","256","The following is one of the most common.","2.25-3.25","","1","null"
"4431","{""Q0"":0}","survey-likert","56","256191","0.0-3.0-0.53","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","20","I'll be back in a couple of weeks.","<2.25","","1","null"
"2751","{""Q0"":0}","survey-likert","57","258943","0.0-3.0-0.54","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","469","He was sure victory would soon be theirs.","3.25-4.25","","1","null"
"3631","{""Q0"":2}","survey-likert","58","262575","0.0-3.0-0.55","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","653","I dumped my things on a nearby chair.",">5.25","","3","null"
"2607","{""Q0"":0}","survey-likert","59","265183","0.0-3.0-0.56","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","206","If we don't find anyone, we'll come back.","2.25-3.25","","1","null"
"5703","{""Q0"":3}","survey-likert","60","270887","0.0-3.0-0.57","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","401","I could hear music coming from the window.","3.25-4.25","","4","null"
"2279","{""Q0"":0}","survey-likert","61","273167","0.0-3.0-0.58","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","154","I think that's all we need to know.","<2.25","","1","null"
"1967","{""Q0"":0}","survey-likert","62","275135","0.0-3.0-0.59","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","135","How am I supposed to figure it out?","<2.25","","1","null"
"2191","{""Q0"":0}","survey-likert","63","277327","0.0-3.0-0.60","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","279","I was hoping maybe we could get together.","2.25-3.25","","1","null"
"5423","{""Q0"":1}","survey-likert","64","282751","0.0-3.0-0.61","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","722","A large maintenance terminal is dedicated for this.",">5.25","","2","null"
"2319","{""Q0"":1}","survey-likert","65","285071","0.0-3.0-0.62","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_60","This is an attention check. Please click 2.","attention_check","2","2","true"
"6935","{""Q0"":2}","survey-likert","66","292007","0.0-3.0-0.63","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","763","Everyone fell quiet until finally the chief spoke.",">5.25","","3","null"
"3119","{""Q0"":4}","survey-likert","67","295127","0.0-3.0-0.64","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","535","The zombie was looking out into the tunnel.","4.25-5.25","","5","null"
"2551","{""Q0"":0}","survey-likert","68","297679","0.0-3.0-0.65","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","150","He didn't know what was wrong with him.","<2.25","","1","null"
"2647","{""Q0"":0}","survey-likert","69","300327","0.0-3.0-0.66","5ecc71c95c92c2000a9e9a19","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","595","She had noticed the eerie quiet as well.","4.25-5.25","","1","null"
