"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"10362","{""Q0"":""5e37bc2a334b2174ac71243a""}","survey-text","0","10371","0.0-0.0","5e37bc2a334b2174ac71243a","","","","","","","","","","","",""
"3233","0","html-button-response","1","13606","0.0-1.0","5e37bc2a334b2174ac71243a","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"38493","0","html-button-response","2","52101","0.0-2.0","5e37bc2a334b2174ac71243a","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"6168","{""Q0"":0}","survey-likert","3","58271","0.0-3.0-0.0","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","656","Now it runs without any rake sharing arrangement.",">5.25","","1","null"
"7162","{""Q0"":3}","survey-likert","4","65434","0.0-3.0-0.1","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","702","I began to ride a first rate hunch.",">5.25","","4","null"
"3748","{""Q0"":6}","survey-likert","5","69184","0.0-3.0-0.2","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","251","Not that I didn't like the cat, too.","2.25-3.25","","7","null"
"2787","{""Q0"":6}","survey-likert","6","71973","0.0-3.0-0.3","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","235","I'm in the middle of something important here.","2.25-3.25","","7","null"
"4327","{""Q0"":2}","survey-likert","7","76302","0.0-3.0-0.4","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","384","The launch was delayed by a few months.","3.25-4.25","","3","null"
"9336","{""Q0"":5}","survey-likert","8","85640","0.0-3.0-0.5","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","330","He got up and headed toward the kitchen.","3.25-4.25","","6","null"
"6228","{""Q0"":4}","survey-likert","9","91869","0.0-3.0-0.6","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","39","Promise me you won't put yourself in danger.","<2.25","","5","null"
"2685","{""Q0"":5}","survey-likert","10","94556","0.0-3.0-0.7","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","187","Otherwise, I won't give you any new information.","2.25-3.25","","6","null"
"3780","{""Q0"":3}","survey-likert","11","98338","0.0-3.0-0.8","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","544","Start to finish, the meal took seven minutes.","4.25-5.25","","4","null"
"3499","{""Q0"":6}","survey-likert","12","101838","0.0-3.0-0.9","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","314","A knock at the front door interrupted me.","2.25-3.25","","7","null"
"5497","{""Q0"":5}","survey-likert","13","107336","0.0-3.0-0.10","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","705","He gestures between us, like now we're connected.",">5.25","","6","null"
"2947","{""Q0"":6}","survey-likert","14","110285","0.0-3.0-0.11","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","287","Right now it's just wonderful to be back.","2.25-3.25","","7","null"
"3769","{""Q0"":6}","survey-likert","15","114055","0.0-3.0-0.12","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","477","There is too much happening in world politics.","3.25-4.25","","7","null"
"2966","{""Q0"":6}","survey-likert","16","117023","0.0-3.0-0.13","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","297","How many times did you try calling her?","2.25-3.25","","7","null"
"2958","{""Q0"":1}","survey-likert","17","119982","0.0-3.0-0.14","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","363","Freedom is the greatest prize of them all.","3.25-4.25","","2","null"
"5535","{""Q0"":3}","survey-likert","18","125518","0.0-3.0-0.15","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","561","You alone have stood up to their guards.","4.25-5.25","","4","null"
"2683","{""Q0"":6}","survey-likert","19","128202","0.0-3.0-0.16","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","198","Honestly, what do you think of the yearbook?","2.25-3.25","","7","null"
"2837","{""Q0"":5}","survey-likert","20","131040","0.0-3.0-0.17","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","579","Well, you should always let a roast rest.","4.25-5.25","","6","null"
"4049","{""Q0"":3}","survey-likert","21","135090","0.0-3.0-0.18","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","452","Everything was running as usual in her head.","3.25-4.25","","4","null"
"3569","{""Q0"":5}","survey-likert","22","138660","0.0-3.0-0.19","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","4","Do you understand what I'm trying to say?","<2.25","","6","null"
"4111","{""Q0"":6}","survey-likert","23","142773","0.0-3.0-0.20","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","attention_check_20","This is an attention check. Please click 7.","attention_check","7","7","true"
"4295","{""Q0"":5}","survey-likert","24","147070","0.0-3.0-0.21","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","671","Teddy tilted his face into the soft rain.",">5.25","","6","null"
"3280","{""Q0"":5}","survey-likert","25","150351","0.0-3.0-0.22","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","435","And how are you enjoying this fine evening?","3.25-4.25","","6","null"
"3872","{""Q0"":5}","survey-likert","26","154224","0.0-3.0-0.23","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","347","When she stepped into view, she saw everyone.","3.25-4.25","","6","null"
"2775","{""Q0"":5}","survey-likert","27","157000","0.0-3.0-0.24","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","747","And Matt wandered off to investigate the grounds.",">5.25","","6","null"
"4288","{""Q0"":4}","survey-likert","28","161290","0.0-3.0-0.25","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","225","I'm not the only one on your trail.","2.25-3.25","","5","null"
"4583","{""Q0"":6}","survey-likert","29","165875","0.0-3.0-0.26","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","357","He put the receiver down and sat up.","3.25-4.25","","7","null"
"4008","{""Q0"":2}","survey-likert","30","169884","0.0-3.0-0.27","5e37bc2a334b2174ac71243a","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","730","Some tapes of my studio and some books.",">5.25","","3","null"
