"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"5319","{""Q0"":""69807442b976563e9d0949d0""}","survey-text","0","5396","0.0-0.0","69807442b976563e9d0949d0","","","","","","","","","","","",""
"20765","0","html-button-response","1","26171","0.0-1.0","69807442b976563e9d0949d0","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"38589","0","html-button-response","2","64765","0.0-2.0","69807442b976563e9d0949d0","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"13781","{""Q0"":0}","survey-likert","3","78561","0.0-3.0-0.0","69807442b976563e9d0949d0","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","656","Now it runs without any rake sharing arrangement.",">5.25","","1","null"
"12130","{""Q0"":1}","survey-likert","4","90698","0.0-3.0-0.1","69807442b976563e9d0949d0","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","702","I began to ride a first rate hunch.",">5.25","","2","null"
"9024","{""Q0"":0}","survey-likert","5","99731","0.0-3.0-0.2","69807442b976563e9d0949d0","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","251","Not that I didn't like the cat, too.","2.25-3.25","","1","null"
"8618","{""Q0"":0}","survey-likert","6","108359","0.0-3.0-0.3","69807442b976563e9d0949d0","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","235","I'm in the middle of something important here.","2.25-3.25","","1","null"
"6168","{""Q0"":0}","survey-likert","7","114534","0.0-3.0-0.4","69807442b976563e9d0949d0","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","384","The launch was delayed by a few months.","3.25-4.25","","1","null"
"10109","{""Q0"":5}","survey-likert","8","124647","0.0-3.0-0.5","69807442b976563e9d0949d0","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","330","He got up and headed toward the kitchen.","3.25-4.25","","6","null"
"9988","{""Q0"":3}","survey-likert","9","134646","0.0-3.0-0.6","69807442b976563e9d0949d0","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","39","Promise me you won't put yourself in danger.","<2.25","","4","null"
"5536","{""Q0"":0}","survey-likert","10","140189","0.0-3.0-0.7","69807442b976563e9d0949d0","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","187","Otherwise, I won't give you any new information.","2.25-3.25","","1","null"
"8291","{""Q0"":3}","survey-likert","11","148488","0.0-3.0-0.8","69807442b976563e9d0949d0","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","544","Start to finish, the meal took seven minutes.","4.25-5.25","","4","null"
"7634","{""Q0"":1}","survey-likert","12","156130","0.0-3.0-0.9","69807442b976563e9d0949d0","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","314","A knock at the front door interrupted me.","2.25-3.25","","2","null"
"6692","{""Q0"":0}","survey-likert","13","162830","0.0-3.0-0.10","69807442b976563e9d0949d0","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","705","He gestures between us, like now we're connected.",">5.25","","1","null"
"5780","{""Q0"":0}","survey-likert","14","168618","0.0-3.0-0.11","69807442b976563e9d0949d0","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","287","Right now it's just wonderful to be back.","2.25-3.25","","1","null"
"6820","{""Q0"":0}","survey-likert","15","175445","0.0-3.0-0.12","69807442b976563e9d0949d0","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","477","There is too much happening in world politics.","3.25-4.25","","1","null"
"6984","{""Q0"":0}","survey-likert","16","182438","0.0-3.0-0.13","69807442b976563e9d0949d0","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","297","How many times did you try calling her?","2.25-3.25","","1","null"
"7060","{""Q0"":0}","survey-likert","17","189506","0.0-3.0-0.14","69807442b976563e9d0949d0","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","363","Freedom is the greatest prize of them all.","3.25-4.25","","1","null"
"6908","{""Q0"":0}","survey-likert","18","196423","0.0-3.0-0.15","69807442b976563e9d0949d0","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","561","You alone have stood up to their guards.","4.25-5.25","","1","null"
"7491","{""Q0"":0}","survey-likert","19","203921","0.0-3.0-0.16","69807442b976563e9d0949d0","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","198","Honestly, what do you think of the yearbook?","2.25-3.25","","1","null"
"6350","{""Q0"":0}","survey-likert","20","210278","0.0-3.0-0.17","69807442b976563e9d0949d0","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","579","Well, you should always let a roast rest.","4.25-5.25","","1","null"
"5877","{""Q0"":0}","survey-likert","21","216163","0.0-3.0-0.18","69807442b976563e9d0949d0","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","452","Everything was running as usual in her head.","3.25-4.25","","1","null"
"6216","{""Q0"":0}","survey-likert","22","222388","0.0-3.0-0.19","69807442b976563e9d0949d0","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","4","Do you understand what I'm trying to say?","<2.25","","1","null"
"6314","{""Q0"":0}","survey-likert","23","228710","0.0-3.0-0.20","69807442b976563e9d0949d0","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_20","This is an attention check. Please click 1.","attention_check","1","1","true"
"6408","{""Q0"":0}","survey-likert","24","235125","0.0-3.0-0.21","69807442b976563e9d0949d0","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","671","Teddy tilted his face into the soft rain.",">5.25","","1","null"
"6570","{""Q0"":0}","survey-likert","25","241703","0.0-3.0-0.22","69807442b976563e9d0949d0","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","435","And how are you enjoying this fine evening?","3.25-4.25","","1","null"
