"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"6763","{""Q0"":""65cc26e058b74649b3cd9517""}","survey-text","0","6815","0.0-0.0","65cc26e058b74649b3cd9517","","","","","","","","","","","",""
"1387","0","html-button-response","1","8205","0.0-1.0","65cc26e058b74649b3cd9517","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"10181","0","html-button-response","2","18389","0.0-2.0","65cc26e058b74649b3cd9517","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"5146","{""Q0"":1}","survey-likert","3","23538","0.0-3.0-0.0","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","377","Surely, he cannot be jealous of the baby?","3.25-4.25","","2","null"
"2861","{""Q0"":6}","survey-likert","4","26402","0.0-3.0-0.1","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","696","Relief swept through her when she found one.",">5.25","","7","null"
"7139","{""Q0"":1}","survey-likert","5","33543","0.0-3.0-0.2","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","404","There is a little white at the base.","3.25-4.25","","2","null"
"6042","{""Q0"":2}","survey-likert","6","39587","0.0-3.0-0.3","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","398","What did you put for your best feature?","3.25-4.25","","3","null"
"2358","{""Q0"":5}","survey-likert","7","41947","0.0-3.0-0.4","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","81","I want you to have a good time.","<2.25","","6","null"
"2356","{""Q0"":4}","survey-likert","8","44305","0.0-3.0-0.5","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","42","It's the logical thing to do, isn't it?","<2.25","","5","null"
"3011","{""Q0"":1}","survey-likert","9","47318","0.0-3.0-0.6","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","145","Truth is, I don't know what to say.","<2.25","","2","null"
"3142","{""Q0"":6}","survey-likert","10","50462","0.0-3.0-0.7","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","55","You were right, you were right all along.","<2.25","","7","null"
"3987","{""Q0"":0}","survey-likert","11","54451","0.0-3.0-0.8","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","657","A bead of sweat rolled down Wayne's forehead.",">5.25","","1","null"
"2533","{""Q0"":5}","survey-likert","12","56985","0.0-3.0-0.9","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","159","That's exactly what I want you to do.","<2.25","","6","null"
"2797","{""Q0"":0}","survey-likert","13","59783","0.0-3.0-0.10","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","471","It seems the rumors were not far off.","3.25-4.25","","1","null"
"5438","{""Q0"":2}","survey-likert","14","65224","0.0-3.0-0.11","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","668","Elizabeth was sorting jars and tins of food.",">5.25","","3","null"
"2764","{""Q0"":4}","survey-likert","15","67990","0.0-3.0-0.12","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","286","Did you see an animal of any kind?","2.25-3.25","","5","null"
"2766","{""Q0"":2}","survey-likert","16","70757","0.0-3.0-0.13","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","258","I wonder how long I have been away.","2.25-3.25","","3","null"
"4000","{""Q0"":5}","survey-likert","17","74761","0.0-3.0-0.14","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","582","Then, she filled a bucket for her horse.","4.25-5.25","","6","null"
"3080","{""Q0"":3}","survey-likert","18","77842","0.0-3.0-0.15","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","202","He'd want to know as soon as possible.","2.25-3.25","","4","null"
"2497","{""Q0"":2}","survey-likert","19","80341","0.0-3.0-0.16","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","193","I was supposed to be doing something else.","2.25-3.25","","3","null"
"2589","{""Q0"":5}","survey-likert","20","82932","0.0-3.0-0.17","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","522","Expensive furniture and paintings filled room after room.","4.25-5.25","","6","null"
"2961","{""Q0"":1}","survey-likert","21","85895","0.0-3.0-0.18","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","498","Very little is known about his sumo career.","4.25-5.25","","2","null"
"2295","{""Q0"":5}","survey-likert","22","88191","0.0-3.0-0.19","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","23","May I buy you a cup of coffee?","<2.25","","6","null"
"3579","{""Q0"":3}","survey-likert","23","91772","0.0-3.0-0.20","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","attention_check_20","This is an attention check. Please click 4.","attention_check","4","4","true"
"2868","{""Q0"":1}","survey-likert","24","94643","0.0-3.0-0.21","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","331","Was there anything left for me to find?","3.25-4.25","","2","null"
"3748","{""Q0"":2}","survey-likert","25","98393","0.0-3.0-0.22","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","38","Are you sure you want to see it?","<2.25","","3","null"
"3101","{""Q0"":1}","survey-likert","26","101497","0.0-3.0-0.23","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","367","When you are down, your money is sad.","3.25-4.25","","2","null"
"3587","{""Q0"":2}","survey-likert","27","105086","0.0-3.0-0.24","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","678","My lungs felt dusty from all the books.",">5.25","","3","null"
"4756","{""Q0"":0}","survey-likert","28","109844","0.0-3.0-0.25","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","248","Slowly I was getting used to the dark.","2.25-3.25","","1","null"
"4164","{""Q0"":1}","survey-likert","29","114010","0.0-3.0-0.26","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","504","Slowly, a faint energy signature started to resonate.","4.25-5.25","","2","null"
"2269","{""Q0"":4}","survey-likert","30","116281","0.0-3.0-0.27","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","58","Hey, what do you think of these boots?","<2.25","","5","null"
"2247","{""Q0"":1}","survey-likert","31","118529","0.0-3.0-0.28","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","689","The absence of water dripping indicated a column.",">5.25","","2","null"
"2509","{""Q0"":1}","survey-likert","32","121040","0.0-3.0-0.29","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","247","I didn't want to say goodbye to anyone.","2.25-3.25","","2","null"
"2198","{""Q0"":4}","survey-likert","33","123240","0.0-3.0-0.30","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","45","Yes, this is what I wanted to say.","<2.25","","5","null"
"2827","{""Q0"":6}","survey-likert","34","126069","0.0-3.0-0.31","65cc26e058b74649b3cd9517","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","515","Here is the six month's increase in advance.","4.25-5.25","","7","null"
