"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"5443","{""Q0"":""65f54fc549034aba6be10bba""}","survey-text","0","5456","0.0-0.0","65f54fc549034aba6be10bba","","","","","","","","","","","",""
"3185","0","html-button-response","1","8642","0.0-1.0","65f54fc549034aba6be10bba","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"66166","0","html-button-response","2","74810","0.0-2.0","65f54fc549034aba6be10bba","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"25697","{""Q0"":1}","survey-likert","3","100508","0.0-3.0-0.0","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","49","All you had to do was walk away.","<2.25","","2","null"
"11570","{""Q0"":1}","survey-likert","4","112080","0.0-3.0-0.1","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","153","Only one of them could have done that.","<2.25","","2","null"
"7857","{""Q0"":4}","survey-likert","5","119938","0.0-3.0-0.2","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","326","He was holding his backpack over his head.","3.25-4.25","","5","null"
"22285","{""Q0"":2}","survey-likert","6","142224","0.0-3.0-0.3","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","3","null"
"8739","{""Q0"":0}","survey-likert","7","150965","0.0-3.0-0.4","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","59","I really haven't made up my mind yet.","<2.25","","1","null"
"19916","{""Q0"":1}","survey-likert","8","170882","0.0-3.0-0.5","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","512","The other two float out into the vacuum.","4.25-5.25","","2","null"
"7360","{""Q0"":3}","survey-likert","9","178243","0.0-3.0-0.6","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","420","He put half a dozen in his pouch.","3.25-4.25","","4","null"
"5834","{""Q0"":2}","survey-likert","10","184078","0.0-3.0-0.7","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","68","He picked it up and looked at it.","<2.25","","3","null"
"13719","{""Q0"":1}","survey-likert","11","197798","0.0-3.0-0.8","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","733","They must purchase the electric power at wholesale.",">5.25","","2","null"
"10674","{""Q0"":0}","survey-likert","12","208474","0.0-3.0-0.9","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","403","They were putting on a mask of calm.","3.25-4.25","","1","null"
"11608","{""Q0"":1}","survey-likert","13","220083","0.0-3.0-0.10","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","625","With luck, maybe it will work without trouble.","4.25-5.25","","2","null"
"10101","{""Q0"":1}","survey-likert","14","230185","0.0-3.0-0.11","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","185","Suddenly there was an image in my mind.","2.25-3.25","","2","null"
"10041","{""Q0"":0}","survey-likert","15","240227","0.0-3.0-0.12","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","139","There's a lot of things I can't change.","<2.25","","1","null"
"12849","{""Q0"":2}","survey-likert","16","253078","0.0-3.0-0.13","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","496","She shopped for only one thing: a bargain.","4.25-5.25","","3","null"
"10003","{""Q0"":0}","survey-likert","17","263082","0.0-3.0-0.14","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","148","Let me know what you think of that.","<2.25","","1","null"
"11806","{""Q0"":0}","survey-likert","18","274889","0.0-3.0-0.15","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","492","There's already a half million in this portfolio.","4.25-5.25","","1","null"
"7166","{""Q0"":0}","survey-likert","19","282056","0.0-3.0-0.16","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","103","Mister, I don't want to know your name.","<2.25","","1","null"
"7688","{""Q0"":0}","survey-likert","20","289745","0.0-3.0-0.17","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","319","Then you should go back to your table.","2.25-3.25","","1","null"
"9221","{""Q0"":0}","survey-likert","21","298967","0.0-3.0-0.18","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","508","The elves nodded and headed for the house.","4.25-5.25","","1","null"
"19395","{""Q0"":2}","survey-likert","22","318364","0.0-3.0-0.19","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","549","It is the second planet from their sun.","4.25-5.25","","3","null"
"4862","{""Q0"":0}","survey-likert","23","323227","0.0-3.0-0.20","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_20","This is an attention check. Please click 1.","attention_check","1","1","true"
"13828","{""Q0"":1}","survey-likert","24","337057","0.0-3.0-0.21","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","729","Making what we all believe look like dirt",">5.25","","2","null"
"5546","{""Q0"":0}","survey-likert","25","342604","0.0-3.0-0.22","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","72","We have a lot of work to do.","<2.25","","1","null"
"8533","{""Q0"":5}","survey-likert","26","351137","0.0-3.0-0.23","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","265","And are you happy with your new book?","2.25-3.25","","6","null"
"13755","{""Q0"":1}","survey-likert","27","364893","0.0-3.0-0.24","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","724","Every second wasted in negotiation made her nervous.",">5.25","","2","null"
"8344","{""Q0"":2}","survey-likert","28","373238","0.0-3.0-0.25","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","101","How am I supposed to tell the difference?","<2.25","","3","null"
"11728","{""Q0"":4}","survey-likert","29","384967","0.0-3.0-0.26","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","580","Where would a wise man hide a leaf?","4.25-5.25","","5","null"
"8228","{""Q0"":0}","survey-likert","30","393196","0.0-3.0-0.27","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","79","I didn't even know you were in town.","<2.25","","1","null"
"8870","{""Q0"":1}","survey-likert","31","402068","0.0-3.0-0.28","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","194","People looked at him for a few seconds.","2.25-3.25","","2","null"
"15782","{""Q0"":5}","survey-likert","32","417851","0.0-3.0-0.29","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","721","Bryan produced a card immediately and introduced himself.",">5.25","","6","null"
"8382","{""Q0"":1}","survey-likert","33","426234","0.0-3.0-0.30","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","40","Look, do you want my help or not?","<2.25","","2","null"
"12106","{""Q0"":0}","survey-likert","34","438342","0.0-3.0-0.31","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","391","The eyes are the window to the soul.","3.25-4.25","","1","null"
"7798","{""Q0"":0}","survey-likert","35","446142","0.0-3.0-0.32","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","270","He had no desire to work for him.","2.25-3.25","","1","null"
"9047","{""Q0"":0}","survey-likert","36","455190","0.0-3.0-0.33","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","372","There was no hesitation for him, no nerves.","3.25-4.25","","1","null"
"7136","{""Q0"":0}","survey-likert","37","462326","0.0-3.0-0.34","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","343","That decision was an easy one to make.","3.25-4.25","","1","null"
"11226","{""Q0"":2}","survey-likert","38","473553","0.0-3.0-0.35","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","576","This was a major advance in workshop technology.","4.25-5.25","","3","null"
"12951","{""Q0"":3}","survey-likert","39","486506","0.0-3.0-0.36","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","427","One, two, or a thousand more wouldn't matter.","3.25-4.25","","4","null"
"8631","{""Q0"":0}","survey-likert","40","495138","0.0-3.0-0.37","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","282","It was time for the first pep talk.","2.25-3.25","","1","null"
"5983","{""Q0"":1}","survey-likert","41","501122","0.0-3.0-0.38","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","7","What are you going to do about it?","<2.25","","2","null"
"10486","{""Q0"":0}","survey-likert","42","511609","0.0-3.0-0.39","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","643","Was he pleading for release or to serve?","4.25-5.25","","1","null"
"9543","{""Q0"":5}","survey-likert","43","521153","0.0-3.0-0.40","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","748","Dixie set her tea down and leaned forward.",">5.25","","6","null"
"4491","{""Q0"":2}","survey-likert","44","525646","0.0-3.0-0.41","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_40","This is an attention check. Please click 3.","attention_check","3","3","true"
"11575","{""Q0"":2}","survey-likert","45","537222","0.0-3.0-0.42","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","354","She should have started with something much smaller.","3.25-4.25","","3","null"
"12950","{""Q0"":0}","survey-likert","46","550173","0.0-3.0-0.43","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","768","Her locked gaze remained in place this time.",">5.25","","1","null"
"8009","{""Q0"":0}","survey-likert","47","558183","0.0-3.0-0.44","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","221","It was going to be a challenging night.","2.25-3.25","","1","null"
"11917","{""Q0"":3}","survey-likert","48","570101","0.0-3.0-0.45","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","37","That's the funniest thing I have ever seen.","<2.25","","4","null"
"12306","{""Q0"":0}","survey-likert","49","582408","0.0-3.0-0.46","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","262","All right, tell me what you do know.","2.25-3.25","","1","null"
"12622","{""Q0"":0}","survey-likert","50","595031","0.0-3.0-0.47","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","415","Here I could see the clear winter sky.","3.25-4.25","","1","null"
"10274","{""Q0"":4}","survey-likert","51","605306","0.0-3.0-0.48","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","784","I slid into the other side with Herbert.",">5.25","","5","null"
"8570","{""Q0"":6}","survey-likert","52","613877","0.0-3.0-0.49","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","50","I gave it to you as a present.","<2.25","","7","null"
"16563","{""Q0"":3}","survey-likert","53","630441","0.0-3.0-0.50","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","294","A place where they live, so to speak.","2.25-3.25","","4","null"
"11725","{""Q0"":2}","survey-likert","54","642168","0.0-3.0-0.51","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","388","On the way back it grew quite dark.","3.25-4.25","","3","null"
"14471","{""Q0"":1}","survey-likert","55","656641","0.0-3.0-0.52","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","799","German soil lay only a league from here.",">5.25","","2","null"
"13028","{""Q0"":0}","survey-likert","56","669670","0.0-3.0-0.53","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","380","He speaks without the aid of a microphone.","3.25-4.25","","1","null"
"11808","{""Q0"":0}","survey-likert","57","681478","0.0-3.0-0.54","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","509","I blinked rapidly, struggling to pull myself together.","4.25-5.25","","1","null"
"14633","{""Q0"":3}","survey-likert","58","696113","0.0-3.0-0.55","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","704","The yellow edge stripes represent achievement or brilliance.",">5.25","","4","null"
"7171","{""Q0"":6}","survey-likert","59","703285","0.0-3.0-0.56","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","360","But the pen had been useless to him.","3.25-4.25","","7","null"
"19747","{""Q0"":3}","survey-likert","60","723033","0.0-3.0-0.57","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","737","She traveled the state trying to secure funds.",">5.25","","4","null"
"8127","{""Q0"":0}","survey-likert","61","731161","0.0-3.0-0.58","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","745","She is very powerful and famously quite ruthless.",">5.25","","1","null"
"19508","{""Q0"":2}","survey-likert","62","750670","0.0-3.0-0.59","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","521","The designs include a building at the bottom.","4.25-5.25","","3","null"
"10213","{""Q0"":5}","survey-likert","63","760884","0.0-3.0-0.60","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","675","Old fingers turned the safe dial several times.",">5.25","","6","null"
"7137","{""Q0"":0}","survey-likert","64","768023","0.0-3.0-0.61","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","82","You weren't going to tell me, were you?","<2.25","","1","null"
"4590","{""Q0"":6}","survey-likert","65","772614","0.0-3.0-0.62","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_60","This is an attention check. Please click 7.","attention_check","7","7","true"
"7630","{""Q0"":0}","survey-likert","66","780245","0.0-3.0-0.63","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","564","She so looked forward to her new career.","4.25-5.25","","1","null"
"9500","{""Q0"":1}","survey-likert","67","789746","0.0-3.0-0.64","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","93","Do you know anyone who can do that?","<2.25","","2","null"
"572673","{""Q0"":0}","survey-likert","68","1362421","0.0-3.0-0.65","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","213","He was not a young man any more.","2.25-3.25","","1","null"
"6133","{""Q0"":0}","survey-likert","69","1368555","0.0-3.0-0.66","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","140","I've never been able to figure it out.","<2.25","","1","null"
"9829","{""Q0"":3}","survey-likert","70","1378385","0.0-3.0-0.67","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","211","She listened for a moment, but heard nothing.","2.25-3.25","","4","null"
"10353","{""Q0"":6}","survey-likert","71","1388739","0.0-3.0-0.68","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","536","The fox was already heading for the van.","4.25-5.25","","7","null"
"14181","{""Q0"":0}","survey-likert","72","1402921","0.0-3.0-0.69","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","510","It was an idea he kept on voicing.","4.25-5.25","","1","null"
"9105","{""Q0"":0}","survey-likert","73","1412027","0.0-3.0-0.70","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","339","He took a few steps down the hallway.","3.25-4.25","","1","null"
"8484","{""Q0"":0}","survey-likert","74","1420512","0.0-3.0-0.71","65f54fc549034aba6be10bba","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","276","It was the end of the forest road.","2.25-3.25","","1","null"
