"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"6716","{""Q0"":""5845314d51f36f0001df7142""}","survey-text","0","6725","0.0-0.0","5845314d51f36f0001df7142","","","","","","","","","","","",""
"2655","0","html-button-response","1","9381","0.0-1.0","5845314d51f36f0001df7142","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"17549","0","html-button-response","2","26931","0.0-2.0","5845314d51f36f0001df7142","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"11080","{""Q0"":4}","survey-likert","3","38013","0.0-3.0-0.0","5845314d51f36f0001df7142","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","743","She noticed his particular attitude and his attention.",">5.25","","5","null"
"7452","{""Q0"":2}","survey-likert","4","45465","0.0-3.0-0.1","5845314d51f36f0001df7142","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","762","And now, Logan had stirred the pot again.",">5.25","","3","null"
"3696","{""Q0"":1}","survey-likert","5","49162","0.0-3.0-0.2","5845314d51f36f0001df7142","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","2","null"
"6008","{""Q0"":2}","survey-likert","6","55171","0.0-3.0-0.3","5845314d51f36f0001df7142","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","682","He resisted checking his notebook, determined to impress.",">5.25","","3","null"
"15493","{""Q0"":4}","survey-likert","7","70665","0.0-3.0-0.4","5845314d51f36f0001df7142","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","423","It is time to meet with the duke.","3.25-4.25","","5","null"
"6032","{""Q0"":5}","survey-likert","8","76698","0.0-3.0-0.5","5845314d51f36f0001df7142","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","551","You have acquired this power in two days?","4.25-5.25","","6","null"
"3224","{""Q0"":2}","survey-likert","9","79922","0.0-3.0-0.6","5845314d51f36f0001df7142","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","3","null"
"2823","{""Q0"":1}","survey-likert","10","82746","0.0-3.0-0.7","5845314d51f36f0001df7142","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","70","There's a message for you at the office.","<2.25","","2","null"
"5216","{""Q0"":3}","survey-likert","11","87963","0.0-3.0-0.8","5845314d51f36f0001df7142","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","253","That could only mean one of three things.","2.25-3.25","","4","null"
"7329","{""Q0"":3}","survey-likert","12","95292","0.0-3.0-0.9","5845314d51f36f0001df7142","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","127","You know that as well as I do.","<2.25","","4","null"
"18333","{""Q0"":4}","survey-likert","13","113626","0.0-3.0-0.10","5845314d51f36f0001df7142","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","686","The terminal palps are covered with substantial feathers.",">5.25","","5","null"
"8552","{""Q0"":4}","survey-likert","14","122179","0.0-3.0-0.11","5845314d51f36f0001df7142","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","543","What if their meeting was delayed or cancelled?","4.25-5.25","","5","null"
"6248","{""Q0"":5}","survey-likert","15","128428","0.0-3.0-0.12","5845314d51f36f0001df7142","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","328","The nearest neighbor is a quarter mile away.","3.25-4.25","","6","null"
"4236","{""Q0"":2}","survey-likert","16","132665","0.0-3.0-0.13","5845314d51f36f0001df7142","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","448","She hurried to catch up with the others.","3.25-4.25","","3","null"
"5924","{""Q0"":1}","survey-likert","17","138590","0.0-3.0-0.14","5845314d51f36f0001df7142","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","697","She shoved her paper over at the boy.",">5.25","","2","null"
"3756","{""Q0"":2}","survey-likert","18","142346","0.0-3.0-0.15","5845314d51f36f0001df7142","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","434","It went against everything that he was taught.","3.25-4.25","","3","null"
"3392","{""Q0"":4}","survey-likert","19","145738","0.0-3.0-0.16","5845314d51f36f0001df7142","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","773","Shipment of grub worms coming in first thing.",">5.25","","5","null"
"4616","{""Q0"":3}","survey-likert","20","150355","0.0-3.0-0.17","5845314d51f36f0001df7142","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","465","They all cast nervous glances at each other.","3.25-4.25","","4","null"
"8480","{""Q0"":5}","survey-likert","21","158836","0.0-3.0-0.18","5845314d51f36f0001df7142","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","383","The four grown-ups were seated around the table.","3.25-4.25","","6","null"
"2872","{""Q0"":4}","survey-likert","22","161708","0.0-3.0-0.19","5845314d51f36f0001df7142","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","432","There's one coming along the path right now.","3.25-4.25","","5","null"
"2392","{""Q0"":3}","survey-likert","23","164101","0.0-3.0-0.20","5845314d51f36f0001df7142","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","attention_check_20","This is an attention check. Please click 4.","attention_check","4","4","true"
"3884","{""Q0"":4}","survey-likert","24","167985","0.0-3.0-0.21","5845314d51f36f0001df7142","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","524","She threw the whole amount into that fund.","4.25-5.25","","5","null"
"4664","{""Q0"":1}","survey-likert","25","172650","0.0-3.0-0.22","5845314d51f36f0001df7142","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","527","Smuggling is an ancient and respected trade there.","4.25-5.25","","2","null"
"4872","{""Q0"":0}","survey-likert","26","177522","0.0-3.0-0.23","5845314d51f36f0001df7142","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","663","The three women shared a harsh, knowing laugh.",">5.25","","1","null"
"3768","{""Q0"":4}","survey-likert","27","181291","0.0-3.0-0.24","5845314d51f36f0001df7142","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","356","It had been snowing nonstop for a week.","3.25-4.25","","5","null"
