"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"6812","{""Q0"":""66aedde0966c286876ce55d0""}","survey-text","0","6861","0.0-0.0","66aedde0966c286876ce55d0","","","","","","","","","","","",""
"8168","0","html-button-response","1","15032","0.0-1.0","66aedde0966c286876ce55d0","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"11761","0","html-button-response","2","26796","0.0-2.0","66aedde0966c286876ce55d0","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"12266","{""Q0"":5}","survey-likert","3","39066","0.0-3.0-0.0","66aedde0966c286876ce55d0","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","49","All you had to do was walk away.","<2.25","","6","null"
"3004","{""Q0"":4}","survey-likert","4","42073","0.0-3.0-0.1","66aedde0966c286876ce55d0","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","153","Only one of them could have done that.","<2.25","","5","null"
"3908","{""Q0"":1}","survey-likert","5","45984","0.0-3.0-0.2","66aedde0966c286876ce55d0","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","326","He was holding his backpack over his head.","3.25-4.25","","2","null"
"3839","{""Q0"":5}","survey-likert","6","49827","0.0-3.0-0.3","66aedde0966c286876ce55d0","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","6","null"
"8119","{""Q0"":5}","survey-likert","7","57949","0.0-3.0-0.4","66aedde0966c286876ce55d0","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","59","I really haven't made up my mind yet.","<2.25","","6","null"
"14569","{""Q0"":0}","survey-likert","8","72522","0.0-3.0-0.5","66aedde0966c286876ce55d0","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","512","The other two float out into the vacuum.","4.25-5.25","","1","null"
"4978","{""Q0"":0}","survey-likert","9","77503","0.0-3.0-0.6","66aedde0966c286876ce55d0","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","420","He put half a dozen in his pouch.","3.25-4.25","","1","null"
"3890","{""Q0"":1}","survey-likert","10","81396","0.0-3.0-0.7","66aedde0966c286876ce55d0","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","68","He picked it up and looked at it.","<2.25","","2","null"
"6030","{""Q0"":0}","survey-likert","11","87430","0.0-3.0-0.8","66aedde0966c286876ce55d0","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","733","They must purchase the electric power at wholesale.",">5.25","","1","null"
"2805","{""Q0"":6}","survey-likert","12","90237","0.0-3.0-0.9","66aedde0966c286876ce55d0","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","403","They were putting on a mask of calm.","3.25-4.25","","7","null"
"3172","{""Q0"":5}","survey-likert","13","93412","0.0-3.0-0.10","66aedde0966c286876ce55d0","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","625","With luck, maybe it will work without trouble.","4.25-5.25","","6","null"
"3022","{""Q0"":5}","survey-likert","14","96437","0.0-3.0-0.11","66aedde0966c286876ce55d0","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","185","Suddenly there was an image in my mind.","2.25-3.25","","6","null"
"4210","{""Q0"":5}","survey-likert","15","100650","0.0-3.0-0.12","66aedde0966c286876ce55d0","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","139","There's a lot of things I can't change.","<2.25","","6","null"
"4223","{""Q0"":2}","survey-likert","16","104876","0.0-3.0-0.13","66aedde0966c286876ce55d0","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","496","She shopped for only one thing: a bargain.","4.25-5.25","","3","null"
"3808","{""Q0"":5}","survey-likert","17","108687","0.0-3.0-0.14","66aedde0966c286876ce55d0","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","148","Let me know what you think of that.","<2.25","","6","null"
"3156","{""Q0"":1}","survey-likert","18","111845","0.0-3.0-0.15","66aedde0966c286876ce55d0","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","492","There's already a half million in this portfolio.","4.25-5.25","","2","null"
"3991","{""Q0"":5}","survey-likert","19","115839","0.0-3.0-0.16","66aedde0966c286876ce55d0","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","103","Mister, I don't want to know your name.","<2.25","","6","null"
"3473","{""Q0"":1}","survey-likert","20","119315","0.0-3.0-0.17","66aedde0966c286876ce55d0","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","319","Then you should go back to your table.","2.25-3.25","","2","null"
"5245","{""Q0"":0}","survey-likert","21","124562","0.0-3.0-0.18","66aedde0966c286876ce55d0","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","508","The elves nodded and headed for the house.","4.25-5.25","","1","null"
"5261","{""Q0"":0}","survey-likert","22","129826","0.0-3.0-0.19","66aedde0966c286876ce55d0","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","549","It is the second planet from their sun.","4.25-5.25","","1","null"
"4979","{""Q0"":6}","survey-likert","23","134808","0.0-3.0-0.20","66aedde0966c286876ce55d0","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","attention_check_20","This is an attention check. Please click 7.","attention_check","7","7","true"
