"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"6334","{""Q0"":""681485b41e4f472801db525a""}","survey-text","0","6367","0.0-0.0","681485b41e4f472801db525a","","","","","","","","","","","",""
"1922","0","html-button-response","1","8299","0.0-1.0","681485b41e4f472801db525a","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"133325","0","html-button-response","2","141619","0.0-2.0","681485b41e4f472801db525a","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"32429","{""Q0"":0}","survey-likert","3","174049","0.0-3.0-0.0","681485b41e4f472801db525a","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","377","Surely, he cannot be jealous of the baby?","3.25-4.25","","1","null"
"27144","{""Q0"":1}","survey-likert","4","201194","0.0-3.0-0.1","681485b41e4f472801db525a","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","696","Relief swept through her when she found one.",">5.25","","2","null"
"26561","{""Q0"":0}","survey-likert","5","227755","0.0-3.0-0.2","681485b41e4f472801db525a","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","404","There is a little white at the base.","3.25-4.25","","1","null"
"21760","{""Q0"":0}","survey-likert","6","249517","0.0-3.0-0.3","681485b41e4f472801db525a","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","398","What did you put for your best feature?","3.25-4.25","","1","null"
"22072","{""Q0"":3}","survey-likert","7","271588","0.0-3.0-0.4","681485b41e4f472801db525a","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","81","I want you to have a good time.","<2.25","","4","null"
"7758","{""Q0"":1}","survey-likert","8","279347","0.0-3.0-0.5","681485b41e4f472801db525a","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","42","It's the logical thing to do, isn't it?","<2.25","","2","null"
"4543","{""Q0"":0}","survey-likert","9","283891","0.0-3.0-0.6","681485b41e4f472801db525a","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","145","Truth is, I don't know what to say.","<2.25","","1","null"
"21084","{""Q0"":0}","survey-likert","10","304975","0.0-3.0-0.7","681485b41e4f472801db525a","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","55","You were right, you were right all along.","<2.25","","1","null"
"17875","{""Q0"":3}","survey-likert","11","322850","0.0-3.0-0.8","681485b41e4f472801db525a","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","657","A bead of sweat rolled down Wayne's forehead.",">5.25","","4","null"
"34114","{""Q0"":0}","survey-likert","12","356964","0.0-3.0-0.9","681485b41e4f472801db525a","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","159","That's exactly what I want you to do.","<2.25","","1","null"
"15023","{""Q0"":0}","survey-likert","13","371987","0.0-3.0-0.10","681485b41e4f472801db525a","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","471","It seems the rumors were not far off.","3.25-4.25","","1","null"
"23098","{""Q0"":4}","survey-likert","14","395085","0.0-3.0-0.11","681485b41e4f472801db525a","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","668","Elizabeth was sorting jars and tins of food.",">5.25","","5","null"
"8107","{""Q0"":5}","survey-likert","15","403193","0.0-3.0-0.12","681485b41e4f472801db525a","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","286","Did you see an animal of any kind?","2.25-3.25","","6","null"
"9481","{""Q0"":2}","survey-likert","16","412674","0.0-3.0-0.13","681485b41e4f472801db525a","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","258","I wonder how long I have been away.","2.25-3.25","","3","null"
"4247","{""Q0"":4}","survey-likert","17","416922","0.0-3.0-0.14","681485b41e4f472801db525a","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","582","Then, she filled a bucket for her horse.","4.25-5.25","","5","null"
"22223","{""Q0"":1}","survey-likert","18","439145","0.0-3.0-0.15","681485b41e4f472801db525a","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","202","He'd want to know as soon as possible.","2.25-3.25","","2","null"
"16507","{""Q0"":1}","survey-likert","19","455653","0.0-3.0-0.16","681485b41e4f472801db525a","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","193","I was supposed to be doing something else.","2.25-3.25","","2","null"
