"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"3760","{""Q0"":""69acd0f0ccfb38ea0abedc29""}","survey-text","0","3792","0.0-0.0","69acd0f0ccfb38ea0abedc29","","","","","","","","","","","",""
"10404","0","html-button-response","1","14199","0.0-1.0","69acd0f0ccfb38ea0abedc29","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"43661","0","html-button-response","2","57861","0.0-2.0","69acd0f0ccfb38ea0abedc29","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"19870","{""Q0"":3}","survey-likert","3","77734","0.0-3.0-0.0","69acd0f0ccfb38ea0abedc29","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","377","Surely, he cannot be jealous of the baby?","3.25-4.25","","4","null"
"12382","{""Q0"":3}","survey-likert","4","90118","0.0-3.0-0.1","69acd0f0ccfb38ea0abedc29","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","696","Relief swept through her when she found one.",">5.25","","4","null"
"9093","{""Q0"":3}","survey-likert","5","99214","0.0-3.0-0.2","69acd0f0ccfb38ea0abedc29","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","404","There is a little white at the base.","3.25-4.25","","4","null"
"10398","{""Q0"":5}","survey-likert","6","109614","0.0-3.0-0.3","69acd0f0ccfb38ea0abedc29","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","398","What did you put for your best feature?","3.25-4.25","","6","null"
"5293","{""Q0"":6}","survey-likert","7","114909","0.0-3.0-0.4","69acd0f0ccfb38ea0abedc29","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","81","I want you to have a good time.","<2.25","","7","null"
"7031","{""Q0"":5}","survey-likert","8","121942","0.0-3.0-0.5","69acd0f0ccfb38ea0abedc29","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","42","It's the logical thing to do, isn't it?","<2.25","","6","null"
"5950","{""Q0"":3}","survey-likert","9","127894","0.0-3.0-0.6","69acd0f0ccfb38ea0abedc29","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","145","Truth is, I don't know what to say.","<2.25","","4","null"
"7526","{""Q0"":5}","survey-likert","10","135422","0.0-3.0-0.7","69acd0f0ccfb38ea0abedc29","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","55","You were right, you were right all along.","<2.25","","6","null"
"10405","{""Q0"":3}","survey-likert","11","145830","0.0-3.0-0.8","69acd0f0ccfb38ea0abedc29","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","657","A bead of sweat rolled down Wayne's forehead.",">5.25","","4","null"
"4526","{""Q0"":3}","survey-likert","12","150358","0.0-3.0-0.9","69acd0f0ccfb38ea0abedc29","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","159","That's exactly what I want you to do.","<2.25","","4","null"
"12447","{""Q0"":2}","survey-likert","13","162806","0.0-3.0-0.10","69acd0f0ccfb38ea0abedc29","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","471","It seems the rumors were not far off.","3.25-4.25","","3","null"
