"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"9172","{""Q0"":""69bd60316ed04225bab631a7""}","survey-text","0","9180","0.0-0.0","69bd60316ed04225bab631a7","","","","","","","","","","","",""
"9338","0","html-button-response","1","18518","0.0-1.0","69bd60316ed04225bab631a7","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"217223","0","html-button-response","2","235744","0.0-2.0","69bd60316ed04225bab631a7","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"11136","{""Q0"":0}","survey-likert","3","246882","0.0-3.0-0.0","69bd60316ed04225bab631a7","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","743","She noticed his particular attitude and his attention.",">5.25","","1","null"
"3690","{""Q0"":2}","survey-likert","4","250573","0.0-3.0-0.1","69bd60316ed04225bab631a7","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","762","And now, Logan had stirred the pot again.",">5.25","","3","null"
"4804","{""Q0"":1}","survey-likert","5","255379","0.0-3.0-0.2","69bd60316ed04225bab631a7","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","2","null"
"6088","{""Q0"":2}","survey-likert","6","261468","0.0-3.0-0.3","69bd60316ed04225bab631a7","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","682","He resisted checking his notebook, determined to impress.",">5.25","","3","null"
"3732","{""Q0"":0}","survey-likert","7","265201","0.0-3.0-0.4","69bd60316ed04225bab631a7","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","423","It is time to meet with the duke.","3.25-4.25","","1","null"
"2846","{""Q0"":2}","survey-likert","8","268048","0.0-3.0-0.5","69bd60316ed04225bab631a7","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","551","You have acquired this power in two days?","4.25-5.25","","3","null"
"3186","{""Q0"":0}","survey-likert","9","271236","0.0-3.0-0.6","69bd60316ed04225bab631a7","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","1","null"
"3900","{""Q0"":2}","survey-likert","10","275137","0.0-3.0-0.7","69bd60316ed04225bab631a7","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","70","There's a message for you at the office.","<2.25","","3","null"
"3473","{""Q0"":2}","survey-likert","11","278610","0.0-3.0-0.8","69bd60316ed04225bab631a7","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","253","That could only mean one of three things.","2.25-3.25","","3","null"
"3223","{""Q0"":0}","survey-likert","12","281834","0.0-3.0-0.9","69bd60316ed04225bab631a7","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","127","You know that as well as I do.","<2.25","","1","null"
"6237","{""Q0"":5}","survey-likert","13","288073","0.0-3.0-0.10","69bd60316ed04225bab631a7","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","686","The terminal palps are covered with substantial feathers.",">5.25","","6","null"
"3394","{""Q0"":1}","survey-likert","14","291468","0.0-3.0-0.11","69bd60316ed04225bab631a7","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","543","What if their meeting was delayed or cancelled?","4.25-5.25","","2","null"
"5414","{""Q0"":1}","survey-likert","15","296883","0.0-3.0-0.12","69bd60316ed04225bab631a7","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","328","The nearest neighbor is a quarter mile away.","3.25-4.25","","2","null"
"3840","{""Q0"":0}","survey-likert","16","300724","0.0-3.0-0.13","69bd60316ed04225bab631a7","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","448","She hurried to catch up with the others.","3.25-4.25","","1","null"
"4398","{""Q0"":3}","survey-likert","17","305123","0.0-3.0-0.14","69bd60316ed04225bab631a7","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","697","She shoved her paper over at the boy.",">5.25","","4","null"
"2804","{""Q0"":1}","survey-likert","18","307928","0.0-3.0-0.15","69bd60316ed04225bab631a7","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","434","It went against everything that he was taught.","3.25-4.25","","2","null"
"2915","{""Q0"":4}","survey-likert","19","310844","0.0-3.0-0.16","69bd60316ed04225bab631a7","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","773","Shipment of grub worms coming in first thing.",">5.25","","5","null"
"3282","{""Q0"":0}","survey-likert","20","314126","0.0-3.0-0.17","69bd60316ed04225bab631a7","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","465","They all cast nervous glances at each other.","3.25-4.25","","1","null"
"3721","{""Q0"":2}","survey-likert","21","317849","0.0-3.0-0.18","69bd60316ed04225bab631a7","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","383","The four grown-ups were seated around the table.","3.25-4.25","","3","null"
"2814","{""Q0"":0}","survey-likert","22","320664","0.0-3.0-0.19","69bd60316ed04225bab631a7","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","432","There's one coming along the path right now.","3.25-4.25","","1","null"
"2577","{""Q0"":5}","survey-likert","23","323241","0.0-3.0-0.20","69bd60316ed04225bab631a7","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_20","This is an attention check. Please click 6.","attention_check","6","6","true"
