"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"8791","{""Q0"":""6980fffa5a5fdb677b4df4a0""}","survey-text","0","8830","0.0-0.0","6980fffa5a5fdb677b4df4a0","","","","","","","","","","","",""
"9584","0","html-button-response","1","18418","0.0-1.0","6980fffa5a5fdb677b4df4a0","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"46248","0","html-button-response","2","64669","0.0-2.0","6980fffa5a5fdb677b4df4a0","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"14822","{""Q0"":5}","survey-likert","3","79493","0.0-3.0-0.0","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","49","All you had to do was walk away.","<2.25","","6","null"
"21506","{""Q0"":5}","survey-likert","4","101002","0.0-3.0-0.1","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","153","Only one of them could have done that.","<2.25","","6","null"
"10413","{""Q0"":1}","survey-likert","5","111417","0.0-3.0-0.2","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","326","He was holding his backpack over his head.","3.25-4.25","","2","null"
"13184","{""Q0"":1}","survey-likert","6","124603","0.0-3.0-0.3","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","2","null"
"5497","{""Q0"":6}","survey-likert","7","130101","0.0-3.0-0.4","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","59","I really haven't made up my mind yet.","<2.25","","7","null"
"12989","{""Q0"":0}","survey-likert","8","143092","0.0-3.0-0.5","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","512","The other two float out into the vacuum.","4.25-5.25","","1","null"
"7311","{""Q0"":6}","survey-likert","9","150406","0.0-3.0-0.6","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","420","He put half a dozen in his pouch.","3.25-4.25","","7","null"
"4189","{""Q0"":6}","survey-likert","10","154597","0.0-3.0-0.7","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","68","He picked it up and looked at it.","<2.25","","7","null"
"16777","{""Q0"":0}","survey-likert","11","171375","0.0-3.0-0.8","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","733","They must purchase the electric power at wholesale.",">5.25","","1","null"
"4779","{""Q0"":6}","survey-likert","12","176156","0.0-3.0-0.9","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","403","They were putting on a mask of calm.","3.25-4.25","","7","null"
"5130","{""Q0"":6}","survey-likert","13","181288","0.0-3.0-0.10","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","625","With luck, maybe it will work without trouble.","4.25-5.25","","7","null"
"4660","{""Q0"":6}","survey-likert","14","185950","0.0-3.0-0.11","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","185","Suddenly there was an image in my mind.","2.25-3.25","","7","null"
"3875","{""Q0"":6}","survey-likert","15","189827","0.0-3.0-0.12","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","139","There's a lot of things I can't change.","<2.25","","7","null"
"13317","{""Q0"":6}","survey-likert","16","203146","0.0-3.0-0.13","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","496","She shopped for only one thing: a bargain.","4.25-5.25","","7","null"
"9322","{""Q0"":6}","survey-likert","17","212469","0.0-3.0-0.14","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","148","Let me know what you think of that.","<2.25","","7","null"
"7812","{""Q0"":3}","survey-likert","18","220284","0.0-3.0-0.15","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","492","There's already a half million in this portfolio.","4.25-5.25","","4","null"
"6520","{""Q0"":6}","survey-likert","19","226805","0.0-3.0-0.16","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","103","Mister, I don't want to know your name.","<2.25","","7","null"
"5452","{""Q0"":6}","survey-likert","20","232259","0.0-3.0-0.17","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","319","Then you should go back to your table.","2.25-3.25","","7","null"
"18301","{""Q0"":1}","survey-likert","21","250562","0.0-3.0-0.18","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","508","The elves nodded and headed for the house.","4.25-5.25","","2","null"
"7402","{""Q0"":6}","survey-likert","22","257965","0.0-3.0-0.19","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","549","It is the second planet from their sun.","4.25-5.25","","7","null"
"4981","{""Q0"":6}","survey-likert","23","262948","0.0-3.0-0.20","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","attention_check_20","This is an attention check. Please click 7.","attention_check","7","7","true"
"8926","{""Q0"":6}","survey-likert","24","271875","0.0-3.0-0.21","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","729","Making what we all believe look like dirt",">5.25","","7","null"
"4907","{""Q0"":6}","survey-likert","25","276783","0.0-3.0-0.22","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","72","We have a lot of work to do.","<2.25","","7","null"
"5871","{""Q0"":6}","survey-likert","26","282655","0.0-3.0-0.23","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","265","And are you happy with your new book?","2.25-3.25","","7","null"
"6445","{""Q0"":6}","survey-likert","27","289102","0.0-3.0-0.24","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","724","Every second wasted in negotiation made her nervous.",">5.25","","7","null"
"7798","{""Q0"":6}","survey-likert","28","296901","0.0-3.0-0.25","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","101","How am I supposed to tell the difference?","<2.25","","7","null"
"15157","{""Q0"":0}","survey-likert","29","312060","0.0-3.0-0.26","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","580","Where would a wise man hide a leaf?","4.25-5.25","","1","null"
"4847","{""Q0"":6}","survey-likert","30","316908","0.0-3.0-0.27","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","79","I didn't even know you were in town.","<2.25","","7","null"
"5437","{""Q0"":6}","survey-likert","31","322347","0.0-3.0-0.28","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","194","People looked at him for a few seconds.","2.25-3.25","","7","null"
"10331","{""Q0"":1}","survey-likert","32","332680","0.0-3.0-0.29","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","721","Bryan produced a card immediately and introduced himself.",">5.25","","2","null"
"4504","{""Q0"":6}","survey-likert","33","337185","0.0-3.0-0.30","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","40","Look, do you want my help or not?","<2.25","","7","null"
"5480","{""Q0"":6}","survey-likert","34","342668","0.0-3.0-0.31","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","391","The eyes are the window to the soul.","3.25-4.25","","7","null"
"5467","{""Q0"":6}","survey-likert","35","348137","0.0-3.0-0.32","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","270","He had no desire to work for him.","2.25-3.25","","7","null"
"6542","{""Q0"":6}","survey-likert","36","354681","0.0-3.0-0.33","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","372","There was no hesitation for him, no nerves.","3.25-4.25","","7","null"
"3637","{""Q0"":6}","survey-likert","37","358319","0.0-3.0-0.34","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","343","That decision was an easy one to make.","3.25-4.25","","7","null"
"6610","{""Q0"":6}","survey-likert","38","364930","0.0-3.0-0.35","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","576","This was a major advance in workshop technology.","4.25-5.25","","7","null"
"7880","{""Q0"":6}","survey-likert","39","372812","0.0-3.0-0.36","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","427","One, two, or a thousand more wouldn't matter.","3.25-4.25","","7","null"
"12893","{""Q0"":6}","survey-likert","40","385706","0.0-3.0-0.37","6980fffa5a5fdb677b4df4a0","","[0]","","6","1","How much does the sentence make sense?","282","It was time for the first pep talk.","2.25-3.25","","7","null"
