"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"5237","{""Q0"":""6942fc0be7f5704afe40bb84""}","survey-text","0","5242","0.0-0.0","6942fc0be7f5704afe40bb84","","","","","","","","","","","",""
"10612","0","html-button-response","1","15855","0.0-1.0","6942fc0be7f5704afe40bb84","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"48311","0","html-button-response","2","64167","0.0-2.0","6942fc0be7f5704afe40bb84","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"11535","{""Q0"":4}","survey-likert","3","75703","0.0-3.0-0.0","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","108","What do you do to make ends meet?","<2.25","","5","null"
"8312","{""Q0"":3}","survey-likert","4","84015","0.0-3.0-0.1","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","4","null"
"6066","{""Q0"":0}","survey-likert","5","90082","0.0-3.0-0.2","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","774","The sheep turn round and charge the shepherd?",">5.25","","1","null"
"6713","{""Q0"":4}","survey-likert","6","96795","0.0-3.0-0.3","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","783","There was more chatter and tapping of watches.",">5.25","","5","null"
"3223","{""Q0"":6}","survey-likert","7","100020","0.0-3.0-0.4","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","166","I'd love to hear about what you're doing.","2.25-3.25","","7","null"
"5390","{""Q0"":2}","survey-likert","8","105410","0.0-3.0-0.5","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","3","null"
"4503","{""Q0"":0}","survey-likert","9","109914","0.0-3.0-0.6","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","1","null"
"5748","{""Q0"":2}","survey-likert","10","115664","0.0-3.0-0.7","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","541","Music and laughter came from inside the shop.","4.25-5.25","","3","null"
"4969","{""Q0"":4}","survey-likert","11","120633","0.0-3.0-0.8","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","324","She turned her attention back to the furnishings.","3.25-4.25","","5","null"
"3984","{""Q0"":0}","survey-likert","12","124618","0.0-3.0-0.9","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","266","Suddenly, a faint whisper swirled in her ear.","2.25-3.25","","1","null"
"3965","{""Q0"":5}","survey-likert","13","128584","0.0-3.0-0.10","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","27","Sir, would you like to leave a message?","<2.25","","6","null"
"4890","{""Q0"":4}","survey-likert","14","133475","0.0-3.0-0.11","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","392","He tried to wind down his window surreptitiously.","3.25-4.25","","5","null"
"3957","{""Q0"":6}","survey-likert","15","137432","0.0-3.0-0.12","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","778","That was very interesting research George was doing!",">5.25","","7","null"
"6812","{""Q0"":2}","survey-likert","16","144244","0.0-3.0-0.13","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","619","The next morning found him eager to begin.","4.25-5.25","","3","null"
"4221","{""Q0"":5}","survey-likert","17","148466","0.0-3.0-0.14","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","708","The guy most likely looked at life simply.",">5.25","","6","null"
"3267","{""Q0"":0}","survey-likert","18","151734","0.0-3.0-0.15","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","438","Footsteps moved toward them up the side street.","3.25-4.25","","1","null"
"3600","{""Q0"":0}","survey-likert","19","155334","0.0-3.0-0.16","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","381","The flow of data is returning to normal.","3.25-4.25","","1","null"
"2955","{""Q0"":0}","survey-likert","20","158290","0.0-3.0-0.17","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","333","He looked at the poster on the wall.","3.25-4.25","","1","null"
"3749","{""Q0"":1}","survey-likert","21","162040","0.0-3.0-0.18","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","688","I watched him head to the other barn.",">5.25","","2","null"
"2902","{""Q0"":4}","survey-likert","22","164943","0.0-3.0-0.19","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","43","Call me when you get close, all right?","<2.25","","5","null"
"2975","{""Q0"":5}","survey-likert","23","167918","0.0-3.0-0.20","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","attention_check_20","This is an attention check. Please click 6.","attention_check","6","6","true"
"19620","{""Q0"":3}","survey-likert","24","187540","0.0-3.0-0.21","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","204","If I get any information, I'll call you.","2.25-3.25","","4","null"
"8581","{""Q0"":1}","survey-likert","25","196121","0.0-3.0-0.22","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","679","Other passengers reviewed shopping lists and read books.",">5.25","","2","null"
"3325","{""Q0"":4}","survey-likert","26","199447","0.0-3.0-0.23","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","134","No, that's not the way I see it.","<2.25","","5","null"
"7572","{""Q0"":2}","survey-likert","27","207020","0.0-3.0-0.24","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","409","It would be like believing in the postman.","3.25-4.25","","3","null"
"3423","{""Q0"":6}","survey-likert","28","210443","0.0-3.0-0.25","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","734","I laughed too, loving his delightful British accent.",">5.25","","7","null"
"5095","{""Q0"":0}","survey-likert","29","215540","0.0-3.0-0.26","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","178","It was the way it had always been.","2.25-3.25","","1","null"
"5956","{""Q0"":2}","survey-likert","30","221496","0.0-3.0-0.27","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","299","When are we getting out of here, exactly?","2.25-3.25","","3","null"
"5127","{""Q0"":0}","survey-likert","31","226624","0.0-3.0-0.28","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","666","He peers at the tag inside the dress.",">5.25","","1","null"
"8573","{""Q0"":1}","survey-likert","32","235198","0.0-3.0-0.29","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","736","The boys were all at that runaway age.",">5.25","","2","null"
"4188","{""Q0"":3}","survey-likert","33","239386","0.0-3.0-0.30","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","188","He had never seen anything like them before.","2.25-3.25","","4","null"
"6913","{""Q0"":1}","survey-likert","34","246300","0.0-3.0-0.31","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","720","What use were eyes to it down here?",">5.25","","2","null"
"3524","{""Q0"":0}","survey-likert","35","249824","0.0-3.0-0.32","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","191","Most of it is not all of it.","2.25-3.25","","1","null"
"7629","{""Q0"":2}","survey-likert","36","257454","0.0-3.0-0.33","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","394","How could they talk when he couldn't speak?","3.25-4.25","","3","null"
"6626","{""Q0"":2}","survey-likert","37","264081","0.0-3.0-0.34","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","378","Did someone try to kick the door down?","3.25-4.25","","3","null"
"2937","{""Q0"":4}","survey-likert","38","267019","0.0-3.0-0.35","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","457","Finally, he had something he could actually do.","3.25-4.25","","5","null"
"3061","{""Q0"":6}","survey-likert","39","270081","0.0-3.0-0.36","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","396","In my judgment, you simply have no alternative.","3.25-4.25","","7","null"
"4120","{""Q0"":4}","survey-likert","40","274201","0.0-3.0-0.37","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","132","That's just what I was going to say.","<2.25","","5","null"
"5219","{""Q0"":3}","survey-likert","41","279421","0.0-3.0-0.38","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","454","Then I would have to answer interesting questions.","3.25-4.25","","4","null"
"5486","{""Q0"":0}","survey-likert","42","284907","0.0-3.0-0.39","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","513","The workshop guys can pick it up later.","4.25-5.25","","1","null"
"34116","{""Q0"":5}","survey-likert","43","319023","0.0-3.0-0.40","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","711","Martin knew any real answers lay much deeper.",">5.25","","6","null"
"2547","{""Q0"":4}","survey-likert","44","321571","0.0-3.0-0.41","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","attention_check_40","This is an attention check. Please click 5.","attention_check","5","5","true"
"4736","{""Q0"":3}","survey-likert","45","326308","0.0-3.0-0.42","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","430","In the swamps, I learned how to listen.","3.25-4.25","","4","null"
"8143","{""Q0"":2}","survey-likert","46","334452","0.0-3.0-0.43","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","570","The windows they faced were dark and shut.","4.25-5.25","","3","null"
"3135","{""Q0"":3}","survey-likert","47","337588","0.0-3.0-0.44","6942fc0be7f5704afe40bb84","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","609","We lead rituals and ceremonies, things like that.","4.25-5.25","","4","null"
