"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"3483","{""Q0"":""67798247d6fc9e510470baef""}","survey-text","0","3505","0.0-0.0","67798247d6fc9e510470baef","","","","","","","","","","","",""
"2057","0","html-button-response","1","5568","0.0-1.0","67798247d6fc9e510470baef","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"19147","0","html-button-response","2","24717","0.0-2.0","67798247d6fc9e510470baef","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"5907","{""Q0"":6}","survey-likert","3","30630","0.0-3.0-0.0","67798247d6fc9e510470baef","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","91","This is the worst moment of my life.","<2.25","","7","null"
"4387","{""Q0"":1}","survey-likert","4","35022","0.0-3.0-0.1","67798247d6fc9e510470baef","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","5","Is there anything I can do for you?","<2.25","","2","null"
"4276","{""Q0"":3}","survey-likert","5","39302","0.0-3.0-0.2","67798247d6fc9e510470baef","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","285","And now there are trees all around us.","2.25-3.25","","4","null"
"3756","{""Q0"":4}","survey-likert","6","43061","0.0-3.0-0.3","67798247d6fc9e510470baef","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","335","He looked to be a normal-sized eight-year-old kid.","3.25-4.25","","5","null"
"4637","{""Q0"":3}","survey-likert","7","47702","0.0-3.0-0.4","67798247d6fc9e510470baef","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","67","Oh, I wish I could remember the name.","<2.25","","4","null"
"3661","{""Q0"":5}","survey-likert","8","51366","0.0-3.0-0.5","67798247d6fc9e510470baef","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","336","He looked at me with a wacky gaze.","3.25-4.25","","6","null"
"3972","{""Q0"":4}","survey-likert","9","55342","0.0-3.0-0.6","67798247d6fc9e510470baef","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","138","There is no use in talking about it.","<2.25","","5","null"
