"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"2693","{""Q0"":""673a37f0ad04c995c8322ca6""}","survey-text","0","2700","0.0-0.0","673a37f0ad04c995c8322ca6","","","","","","","","","","","",""
"3477","0","html-button-response","1","6178","0.0-1.0","673a37f0ad04c995c8322ca6","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"147747","0","html-button-response","2","153927","0.0-2.0","673a37f0ad04c995c8322ca6","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"4122","{""Q0"":0}","survey-likert","3","158050","0.0-3.0-0.0","673a37f0ad04c995c8322ca6","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","49","All you had to do was walk away.","<2.25","","1","null"
"2040","{""Q0"":0}","survey-likert","4","160091","0.0-3.0-0.1","673a37f0ad04c995c8322ca6","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","153","Only one of them could have done that.","<2.25","","1","null"
"5256","{""Q0"":1}","survey-likert","5","165348","0.0-3.0-0.2","673a37f0ad04c995c8322ca6","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","326","He was holding his backpack over his head.","3.25-4.25","","2","null"
"3260","{""Q0"":0}","survey-likert","6","168608","0.0-3.0-0.3","673a37f0ad04c995c8322ca6","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","1","null"
"3908","{""Q0"":0}","survey-likert","7","172517","0.0-3.0-0.4","673a37f0ad04c995c8322ca6","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","59","I really haven't made up my mind yet.","<2.25","","1","null"
"3995","{""Q0"":4}","survey-likert","8","176513","0.0-3.0-0.5","673a37f0ad04c995c8322ca6","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","512","The other two float out into the vacuum.","4.25-5.25","","5","null"
"5575","{""Q0"":1}","survey-likert","9","182088","0.0-3.0-0.6","673a37f0ad04c995c8322ca6","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","420","He put half a dozen in his pouch.","3.25-4.25","","2","null"
