"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"4442","{""Q0"":""65dd39a3a41d2ed79a980537""}","survey-text","0","4457","0.0-0.0","65dd39a3a41d2ed79a980537","","","","","","","","","","","",""
"3084","0","html-button-response","1","7543","0.0-1.0","65dd39a3a41d2ed79a980537","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"71734","0","html-button-response","2","79280","0.0-2.0","65dd39a3a41d2ed79a980537","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"4088","{""Q0"":6}","survey-likert","3","83371","0.0-3.0-0.0","65dd39a3a41d2ed79a980537","","[0]","","6","1","How much does the sentence make sense?","49","All you had to do was walk away.","<2.25","","7","null"
"2879","{""Q0"":6}","survey-likert","4","86253","0.0-3.0-0.1","65dd39a3a41d2ed79a980537","","[0]","","6","1","How much does the sentence make sense?","153","Only one of them could have done that.","<2.25","","7","null"
"3091","{""Q0"":5}","survey-likert","5","89345","0.0-3.0-0.2","65dd39a3a41d2ed79a980537","","[0]","","6","1","How much does the sentence make sense?","326","He was holding his backpack over his head.","3.25-4.25","","6","null"
"4300","{""Q0"":1}","survey-likert","6","93647","0.0-3.0-0.3","65dd39a3a41d2ed79a980537","","[0]","","6","1","How much does the sentence make sense?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","2","null"
"2413","{""Q0"":6}","survey-likert","7","96062","0.0-3.0-0.4","65dd39a3a41d2ed79a980537","","[0]","","6","1","How much does the sentence make sense?","59","I really haven't made up my mind yet.","<2.25","","7","null"
"2698","{""Q0"":2}","survey-likert","8","98762","0.0-3.0-0.5","65dd39a3a41d2ed79a980537","","[0]","","6","1","How much does the sentence make sense?","512","The other two float out into the vacuum.","4.25-5.25","","3","null"
"3395","{""Q0"":6}","survey-likert","9","102158","0.0-3.0-0.6","65dd39a3a41d2ed79a980537","","[0]","","6","1","How much does the sentence make sense?","420","He put half a dozen in his pouch.","3.25-4.25","","7","null"
