"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"16060","{""Q0"":""663a76878c91660487934528""}","survey-text","0","16067","0.0-0.0","663a76878c91660487934528","","","","","","","","","","","",""
"1335","0","html-button-response","1","17404","0.0-1.0","663a76878c91660487934528","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"2455","0","html-button-response","2","19859","0.0-2.0","663a76878c91660487934528","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"6803","{""Q0"":1}","survey-likert","3","26665","0.0-3.0-0.0","663a76878c91660487934528","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","117","Now, why did you ask to see me?","<2.25","","2","null"
"4291","{""Q0"":4}","survey-likert","4","30958","0.0-3.0-0.1","663a76878c91660487934528","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","726","Or pretend we run an imaginary puppy store?",">5.25","","5","null"
"3421","{""Q0"":3}","survey-likert","5","34383","0.0-3.0-0.2","663a76878c91660487934528","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","717","The crystals all over his car were growing.",">5.25","","4","null"
"7147","{""Q0"":2}","survey-likert","6","41534","0.0-3.0-0.3","663a76878c91660487934528","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","534","Anne turned around, but barely recognized the captain.","4.25-5.25","","3","null"
"3496","{""Q0"":2}","survey-likert","7","45033","0.0-3.0-0.4","663a76878c91660487934528","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","249","I was just giving you a hard time.","2.25-3.25","","3","null"
"1985","{""Q0"":3}","survey-likert","8","47021","0.0-3.0-0.5","663a76878c91660487934528","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","316","I could not believe what they were saying.","2.25-3.25","","4","null"
"2755","{""Q0"":0}","survey-likert","9","49780","0.0-3.0-0.6","663a76878c91660487934528","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","397","Maybe later you'll be a bit more rational.","3.25-4.25","","1","null"
"5604","{""Q0"":4}","survey-likert","10","55388","0.0-3.0-0.7","663a76878c91660487934528","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","800","Cass stands there looking at him march away.",">5.25","","5","null"
"6955","{""Q0"":0}","survey-likert","11","62345","0.0-3.0-0.8","663a76878c91660487934528","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","605","It means methane gas leeching from the soil.","4.25-5.25","","1","null"
"2552","{""Q0"":3}","survey-likert","12","64900","0.0-3.0-0.9","663a76878c91660487934528","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","795","Something ancient stirred far off in the forest.",">5.25","","4","null"
"2565","{""Q0"":4}","survey-likert","13","67468","0.0-3.0-0.10","663a76878c91660487934528","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","695","This development enabled the emergence of secondary consciousness.",">5.25","","5","null"
"3151","{""Q0"":0}","survey-likert","14","70623","0.0-3.0-0.11","663a76878c91660487934528","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","660","The world beyond was eerie and dim, unrecognizable.",">5.25","","1","null"
"2519","{""Q0"":3}","survey-likert","15","73144","0.0-3.0-0.12","663a76878c91660487934528","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","395","Outside the sport, he worked as a mechanic.","3.25-4.25","","4","null"
