"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"6142","{""Q0"":""697cec1919fbde83225f5b87""}","survey-text","0","6148","0.0-0.0","697cec1919fbde83225f5b87","","","","","","","","","","","",""
"26388","0","html-button-response","1","32538","0.0-1.0","697cec1919fbde83225f5b87","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"93359","0","html-button-response","2","125899","0.0-2.0","697cec1919fbde83225f5b87","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"7534","{""Q0"":5}","survey-likert","3","133436","0.0-3.0-0.0","697cec1919fbde83225f5b87","","[0]","","8","1","How much does the sentence make sense?","377","Surely, he cannot be jealous of the baby?","3.25-4.25","","6","null"
"7557","{""Q0"":5}","survey-likert","4","140995","0.0-3.0-0.1","697cec1919fbde83225f5b87","","[0]","","8","1","How much does the sentence make sense?","696","Relief swept through her when she found one.",">5.25","","6","null"
"6470","{""Q0"":4}","survey-likert","5","147467","0.0-3.0-0.2","697cec1919fbde83225f5b87","","[0]","","8","1","How much does the sentence make sense?","404","There is a little white at the base.","3.25-4.25","","5","null"
"7686","{""Q0"":5}","survey-likert","6","155156","0.0-3.0-0.3","697cec1919fbde83225f5b87","","[0]","","8","1","How much does the sentence make sense?","398","What did you put for your best feature?","3.25-4.25","","6","null"
"4367","{""Q0"":6}","survey-likert","7","159524","0.0-3.0-0.4","697cec1919fbde83225f5b87","","[0]","","8","1","How much does the sentence make sense?","81","I want you to have a good time.","<2.25","","7","null"
"2989","{""Q0"":6}","survey-likert","8","162516","0.0-3.0-0.5","697cec1919fbde83225f5b87","","[0]","","8","1","How much does the sentence make sense?","42","It's the logical thing to do, isn't it?","<2.25","","7","null"
"3662","{""Q0"":6}","survey-likert","9","166180","0.0-3.0-0.6","697cec1919fbde83225f5b87","","[0]","","8","1","How much does the sentence make sense?","145","Truth is, I don't know what to say.","<2.25","","7","null"
