"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"6826","{""Q0"":""6a09c30f49f63770fec7b278""}","survey-text","0","6846","0.0-0.0","6a09c30f49f63770fec7b278","","","","","","","","","","","",""
"2831","0","html-button-response","1","9679","0.0-1.0","6a09c30f49f63770fec7b278","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"54359","0","html-button-response","2","64041","0.0-2.0","6a09c30f49f63770fec7b278","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"27692","{""Q0"":0}","survey-likert","3","91736","0.0-3.0-0.0","6a09c30f49f63770fec7b278","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","377","Surely, he cannot be jealous of the baby?","3.25-4.25","","1","null"
"15731","{""Q0"":1}","survey-likert","4","107473","0.0-3.0-0.1","6a09c30f49f63770fec7b278","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","696","Relief swept through her when she found one.",">5.25","","2","null"
"3659","{""Q0"":5}","survey-likert","5","111136","0.0-3.0-0.2","6a09c30f49f63770fec7b278","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","404","There is a little white at the base.","3.25-4.25","","6","null"
"2722","{""Q0"":0}","survey-likert","6","113862","0.0-3.0-0.3","6a09c30f49f63770fec7b278","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","398","What did you put for your best feature?","3.25-4.25","","1","null"
"3758","{""Q0"":0}","survey-likert","7","117624","0.0-3.0-0.4","6a09c30f49f63770fec7b278","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","81","I want you to have a good time.","<2.25","","1","null"
"2230","{""Q0"":0}","survey-likert","8","119858","0.0-3.0-0.5","6a09c30f49f63770fec7b278","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","42","It's the logical thing to do, isn't it?","<2.25","","1","null"
"3084","{""Q0"":0}","survey-likert","9","122947","0.0-3.0-0.6","6a09c30f49f63770fec7b278","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","145","Truth is, I don't know what to say.","<2.25","","1","null"
