"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"45681","{""Q0"":""6a0a9e33ef5f701c06983d93""}","survey-text","0","45756","0.0-0.0","6a0a9e33ef5f701c06983d93","","","","","","","","","","","",""
"12449","0","html-button-response","1","58210","0.0-1.0","6a0a9e33ef5f701c06983d93","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"146630","0","html-button-response","2","204842","0.0-2.0","6a0a9e33ef5f701c06983d93","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"9425","{""Q0"":6}","survey-likert","3","214272","0.0-3.0-0.0","6a0a9e33ef5f701c06983d93","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","108","What do you do to make ends meet?","<2.25","","7","null"
"10927","{""Q0"":1}","survey-likert","4","225202","0.0-3.0-0.1","6a0a9e33ef5f701c06983d93","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","2","null"
"6962","{""Q0"":1}","survey-likert","5","232170","0.0-3.0-0.2","6a0a9e33ef5f701c06983d93","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","774","The sheep turn round and charge the shepherd?",">5.25","","2","null"
"53453","{""Q0"":2}","survey-likert","6","285627","0.0-3.0-0.3","6a0a9e33ef5f701c06983d93","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","783","There was more chatter and tapping of watches.",">5.25","","3","null"
"4062","{""Q0"":6}","survey-likert","7","289693","0.0-3.0-0.4","6a0a9e33ef5f701c06983d93","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","166","I'd love to hear about what you're doing.","2.25-3.25","","7","null"
"7568","{""Q0"":2}","survey-likert","8","297266","0.0-3.0-0.5","6a0a9e33ef5f701c06983d93","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","3","null"
"7961","{""Q0"":1}","survey-likert","9","305230","0.0-3.0-0.6","6a0a9e33ef5f701c06983d93","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","2","null"
"3089","{""Q0"":6}","survey-likert","10","308323","0.0-3.0-0.7","6a0a9e33ef5f701c06983d93","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","541","Music and laughter came from inside the shop.","4.25-5.25","","7","null"
"4773","{""Q0"":4}","survey-likert","11","313100","0.0-3.0-0.8","6a0a9e33ef5f701c06983d93","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","324","She turned her attention back to the furnishings.","3.25-4.25","","5","null"
"5555","{""Q0"":2}","survey-likert","12","318659","0.0-3.0-0.9","6a0a9e33ef5f701c06983d93","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","266","Suddenly, a faint whisper swirled in her ear.","2.25-3.25","","3","null"
"3975","{""Q0"":1}","survey-likert","13","322636","0.0-3.0-0.10","6a0a9e33ef5f701c06983d93","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","27","Sir, would you like to leave a message?","<2.25","","2","null"
"5529","{""Q0"":4}","survey-likert","14","328169","0.0-3.0-0.11","6a0a9e33ef5f701c06983d93","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","392","He tried to wind down his window surreptitiously.","3.25-4.25","","5","null"
"3302","{""Q0"":6}","survey-likert","15","331474","0.0-3.0-0.12","6a0a9e33ef5f701c06983d93","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","778","That was very interesting research George was doing!",">5.25","","7","null"
"2881","{""Q0"":6}","survey-likert","16","334357","0.0-3.0-0.13","6a0a9e33ef5f701c06983d93","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","619","The next morning found him eager to begin.","4.25-5.25","","7","null"
"4144","{""Q0"":6}","survey-likert","17","338504","0.0-3.0-0.14","6a0a9e33ef5f701c06983d93","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","708","The guy most likely looked at life simply.",">5.25","","7","null"
"3762","{""Q0"":0}","survey-likert","18","342271","0.0-3.0-0.15","6a0a9e33ef5f701c06983d93","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","438","Footsteps moved toward them up the side street.","3.25-4.25","","1","null"
"4991","{""Q0"":0}","survey-likert","19","347265","0.0-3.0-0.16","6a0a9e33ef5f701c06983d93","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","381","The flow of data is returning to normal.","3.25-4.25","","1","null"
"4442","{""Q0"":3}","survey-likert","20","351710","0.0-3.0-0.17","6a0a9e33ef5f701c06983d93","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","333","He looked at the poster on the wall.","3.25-4.25","","4","null"
"4304","{""Q0"":2}","survey-likert","21","356017","0.0-3.0-0.18","6a0a9e33ef5f701c06983d93","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","688","I watched him head to the other barn.",">5.25","","3","null"
"2951","{""Q0"":4}","survey-likert","22","358982","0.0-3.0-0.19","6a0a9e33ef5f701c06983d93","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","43","Call me when you get close, all right?","<2.25","","5","null"
"4197","{""Q0"":5}","survey-likert","23","363186","0.0-3.0-0.20","6a0a9e33ef5f701c06983d93","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","attention_check_20","This is an attention check. Please click 6.","attention_check","6","6","true"
"5463","{""Q0"":1}","survey-likert","24","368652","0.0-3.0-0.21","6a0a9e33ef5f701c06983d93","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","204","If I get any information, I'll call you.","2.25-3.25","","2","null"
"7669","{""Q0"":3}","survey-likert","25","376324","0.0-3.0-0.22","6a0a9e33ef5f701c06983d93","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","679","Other passengers reviewed shopping lists and read books.",">5.25","","4","null"
"42266","{""Q0"":6}","survey-likert","26","418595","0.0-3.0-0.23","6a0a9e33ef5f701c06983d93","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","134","No, that's not the way I see it.","<2.25","","7","null"
"6829","{""Q0"":4}","survey-likert","27","425430","0.0-3.0-0.24","6a0a9e33ef5f701c06983d93","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","409","It would be like believing in the postman.","3.25-4.25","","5","null"
"2854","{""Q0"":6}","survey-likert","28","428287","0.0-3.0-0.25","6a0a9e33ef5f701c06983d93","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","734","I laughed too, loving his delightful British accent.",">5.25","","7","null"
