"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"4047","{""Q0"":""63d42902a85ae3e7b4920266""}","survey-text","0","4074","0.0-0.0","63d42902a85ae3e7b4920266","","","","","","","","","","","",""
"2849","0","html-button-response","1","6923","0.0-1.0","63d42902a85ae3e7b4920266","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"302284","0","html-button-response","2","309208","0.0-2.0","63d42902a85ae3e7b4920266","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"2915","{""Q0"":6}","survey-likert","3","312126","0.0-3.0-0.0","63d42902a85ae3e7b4920266","","[0]","","3","1","How much does the sentence make sense?","91","This is the worst moment of my life.","<2.25","","7","null"
"2723","{""Q0"":6}","survey-likert","4","314850","0.0-3.0-0.1","63d42902a85ae3e7b4920266","","[0]","","3","1","How much does the sentence make sense?","5","Is there anything I can do for you?","<2.25","","7","null"
"4299","{""Q0"":4}","survey-likert","5","319151","0.0-3.0-0.2","63d42902a85ae3e7b4920266","","[0]","","3","1","How much does the sentence make sense?","285","And now there are trees all around us.","2.25-3.25","","5","null"
"3527","{""Q0"":4}","survey-likert","6","322677","0.0-3.0-0.3","63d42902a85ae3e7b4920266","","[0]","","3","1","How much does the sentence make sense?","335","He looked to be a normal-sized eight-year-old kid.","3.25-4.25","","5","null"
"2039","{""Q0"":6}","survey-likert","7","324715","0.0-3.0-0.4","63d42902a85ae3e7b4920266","","[0]","","3","1","How much does the sentence make sense?","67","Oh, I wish I could remember the name.","<2.25","","7","null"
"2998","{""Q0"":4}","survey-likert","8","327714","0.0-3.0-0.5","63d42902a85ae3e7b4920266","","[0]","","3","1","How much does the sentence make sense?","336","He looked at me with a wacky gaze.","3.25-4.25","","5","null"
"2360","{""Q0"":6}","survey-likert","9","330074","0.0-3.0-0.6","63d42902a85ae3e7b4920266","","[0]","","3","1","How much does the sentence make sense?","138","There is no use in talking about it.","<2.25","","7","null"
"3625","{""Q0"":6}","survey-likert","10","333700","0.0-3.0-0.7","63d42902a85ae3e7b4920266","","[0]","","3","1","How much does the sentence make sense?","502","We were surrounded by people from various origins.","4.25-5.25","","7","null"
"2633","{""Q0"":2}","survey-likert","11","336333","0.0-3.0-0.8","63d42902a85ae3e7b4920266","","[0]","","3","1","How much does the sentence make sense?","699","It also had real but limited economic advances.",">5.25","","3","null"
"1593","{""Q0"":6}","survey-likert","12","337928","0.0-3.0-0.9","63d42902a85ae3e7b4920266","","[0]","","3","1","How much does the sentence make sense?","92","Maybe you should take another look at it.","<2.25","","7","null"
"3117","{""Q0"":6}","survey-likert","13","341046","0.0-3.0-0.10","63d42902a85ae3e7b4920266","","[0]","","3","1","How much does the sentence make sense?","168","I'm just trying to find the right words.","2.25-3.25","","7","null"
"1550","{""Q0"":6}","survey-likert","14","342596","0.0-3.0-0.11","63d42902a85ae3e7b4920266","","[0]","","3","1","How much does the sentence make sense?","94","This is not where I want to be.","<2.25","","7","null"
"2354","{""Q0"":6}","survey-likert","15","344951","0.0-3.0-0.12","63d42902a85ae3e7b4920266","","[0]","","3","1","How much does the sentence make sense?","359","So tonight I decided to have a barbecue.","3.25-4.25","","7","null"
"3244","{""Q0"":2}","survey-likert","16","348195","0.0-3.0-0.13","63d42902a85ae3e7b4920266","","[0]","","3","1","How much does the sentence make sense?","771","Reactions worked totally off of his trained instincts.",">5.25","","3","null"
"2978","{""Q0"":6}","survey-likert","17","351174","0.0-3.0-0.14","63d42902a85ae3e7b4920266","","[0]","","3","1","How much does the sentence make sense?","115","What am I going to say to them?","<2.25","","7","null"
"958","{""Q0"":6}","survey-likert","18","352133","0.0-3.0-0.15","63d42902a85ae3e7b4920266","","[0]","","3","1","How much does the sentence make sense?","99","I was trying to do the right thing.","<2.25","","7","null"
"1775","{""Q0"":6}","survey-likert","19","353909","0.0-3.0-0.16","63d42902a85ae3e7b4920266","","[0]","","3","1","How much does the sentence make sense?","304","We must move before the sun comes up.","2.25-3.25","","7","null"
"2705","{""Q0"":4}","survey-likert","20","356615","0.0-3.0-0.17","63d42902a85ae3e7b4920266","","[0]","","3","1","How much does the sentence make sense?","399","Fortunately, you've arrived on a very interesting night.","3.25-4.25","","5","null"
"4066","{""Q0"":4}","survey-likert","21","360681","0.0-3.0-0.18","63d42902a85ae3e7b4920266","","[0]","","3","1","How much does the sentence make sense?","701","I was elected captain and James became jealous.",">5.25","","5","null"
"3921","{""Q0"":6}","survey-likert","22","364604","0.0-3.0-0.19","63d42902a85ae3e7b4920266","","[0]","","3","1","How much does the sentence make sense?","177","Frankly, I can't spare the time right now.","2.25-3.25","","7","null"
"1724","{""Q0"":3}","survey-likert","23","366329","0.0-3.0-0.20","63d42902a85ae3e7b4920266","","[0]","","3","1","How much does the sentence make sense?","attention_check_20","This is an attention check. Please click 4.","attention_check","4","4","true"
