"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"5596","{""Q0"":""681ae31bd94a34a104d5e66f""}","survey-text","0","5603","0.0-0.0","681ae31bd94a34a104d5e66f","","","","","","","","","","","",""
"9229","0","html-button-response","1","14834","0.0-1.0","681ae31bd94a34a104d5e66f","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"23249","0","html-button-response","2","38084","0.0-2.0","681ae31bd94a34a104d5e66f","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"8642","{""Q0"":2}","survey-likert","3","46730","0.0-3.0-0.0","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","91","This is the worst moment of my life.","<2.25","","3","null"
"7733","{""Q0"":2}","survey-likert","4","54466","0.0-3.0-0.1","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","5","Is there anything I can do for you?","<2.25","","3","null"
"10047","{""Q0"":6}","survey-likert","5","64516","0.0-3.0-0.2","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","285","And now there are trees all around us.","2.25-3.25","","7","null"
"4008","{""Q0"":0}","survey-likert","6","68527","0.0-3.0-0.3","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","335","He looked to be a normal-sized eight-year-old kid.","3.25-4.25","","1","null"
"4063","{""Q0"":0}","survey-likert","7","72592","0.0-3.0-0.4","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","67","Oh, I wish I could remember the name.","<2.25","","1","null"
"3486","{""Q0"":0}","survey-likert","8","76080","0.0-3.0-0.5","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","336","He looked at me with a wacky gaze.","3.25-4.25","","1","null"
"5934","{""Q0"":0}","survey-likert","9","82015","0.0-3.0-0.6","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","138","There is no use in talking about it.","<2.25","","1","null"
"4044","{""Q0"":6}","survey-likert","10","86061","0.0-3.0-0.7","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","502","We were surrounded by people from various origins.","4.25-5.25","","7","null"
"3758","{""Q0"":0}","survey-likert","11","89820","0.0-3.0-0.8","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","699","It also had real but limited economic advances.",">5.25","","1","null"
"3703","{""Q0"":0}","survey-likert","12","93526","0.0-3.0-0.9","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","92","Maybe you should take another look at it.","<2.25","","1","null"
"2607","{""Q0"":0}","survey-likert","13","96135","0.0-3.0-0.10","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","168","I'm just trying to find the right words.","2.25-3.25","","1","null"
"3201","{""Q0"":0}","survey-likert","14","99338","0.0-3.0-0.11","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","94","This is not where I want to be.","<2.25","","1","null"
"6611","{""Q0"":5}","survey-likert","15","105952","0.0-3.0-0.12","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","359","So tonight I decided to have a barbecue.","3.25-4.25","","6","null"
"3554","{""Q0"":0}","survey-likert","16","109508","0.0-3.0-0.13","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","771","Reactions worked totally off of his trained instincts.",">5.25","","1","null"
"2660","{""Q0"":0}","survey-likert","17","112170","0.0-3.0-0.14","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","115","What am I going to say to them?","<2.25","","1","null"
"2931","{""Q0"":0}","survey-likert","18","115103","0.0-3.0-0.15","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","99","I was trying to do the right thing.","<2.25","","1","null"
"4109","{""Q0"":4}","survey-likert","19","119214","0.0-3.0-0.16","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","304","We must move before the sun comes up.","2.25-3.25","","5","null"
"4428","{""Q0"":5}","survey-likert","20","123644","0.0-3.0-0.17","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","399","Fortunately, you've arrived on a very interesting night.","3.25-4.25","","6","null"
"3247","{""Q0"":0}","survey-likert","21","126893","0.0-3.0-0.18","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","701","I was elected captain and James became jealous.",">5.25","","1","null"
"2548","{""Q0"":0}","survey-likert","22","129443","0.0-3.0-0.19","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","177","Frankly, I can't spare the time right now.","2.25-3.25","","1","null"
"3711","{""Q0"":4}","survey-likert","23","133156","0.0-3.0-0.20","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_20","This is an attention check. Please click 5.","attention_check","5","5","true"
"3152","{""Q0"":0}","survey-likert","24","136310","0.0-3.0-0.21","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","764","Your writ runs in the hours of darkness.",">5.25","","1","null"
"1892","{""Q0"":0}","survey-likert","25","138205","0.0-3.0-0.22","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","455","However, I am without argument to explain it.","3.25-4.25","","1","null"
"2860","{""Q0"":0}","survey-likert","26","141067","0.0-3.0-0.23","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","288","Isn't she coming home for tea after all?","2.25-3.25","","1","null"
"3418","{""Q0"":0}","survey-likert","27","144488","0.0-3.0-0.24","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","76","I can't get it out of my head.","<2.25","","1","null"
"3830","{""Q0"":0}","survey-likert","28","148320","0.0-3.0-0.25","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","179","In the meantime, I had much to do.","2.25-3.25","","1","null"
"2999","{""Q0"":0}","survey-likert","29","151321","0.0-3.0-0.26","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","254","He had not expected them to believe him.","2.25-3.25","","1","null"
"3328","{""Q0"":0}","survey-likert","30","154651","0.0-3.0-0.27","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","345","It was a very heavy silence that followed.","3.25-4.25","","1","null"
"4861","{""Q0"":6}","survey-likert","31","159514","0.0-3.0-0.28","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","485","The huge goalkeeper had vanished into thin air.","4.25-5.25","","7","null"
"3805","{""Q0"":6}","survey-likert","32","163322","0.0-3.0-0.29","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","305","I went out to get him some food.","2.25-3.25","","7","null"
"4143","{""Q0"":0}","survey-likert","33","167467","0.0-3.0-0.30","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","518","Go figure, no one wears hats these days.","4.25-5.25","","1","null"
"4069","{""Q0"":0}","survey-likert","34","171539","0.0-3.0-0.31","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","532","They keep inviting us back every single year.","4.25-5.25","","1","null"
"3486","{""Q0"":6}","survey-likert","35","175027","0.0-3.0-0.32","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","466","He pulled up with all of his strength.","3.25-4.25","","7","null"
"3229","{""Q0"":0}","survey-likert","36","178258","0.0-3.0-0.33","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","234","Why do you think you're in this pickle?","2.25-3.25","","1","null"
"2744","{""Q0"":0}","survey-likert","37","181005","0.0-3.0-0.34","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","169","Well, of course, I'm sure you're a gentleman.","2.25-3.25","","1","null"
"3202","{""Q0"":0}","survey-likert","38","184209","0.0-3.0-0.35","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","69","Looks like someone wants to be a hero.","<2.25","","1","null"
"2681","{""Q0"":0}","survey-likert","39","186892","0.0-3.0-0.36","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","104","Everything you need to know is right there.","<2.25","","1","null"
"3959","{""Q0"":1}","survey-likert","40","190853","0.0-3.0-0.37","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","375","She can also be a bear at times.","3.25-4.25","","2","null"
"2495","{""Q0"":0}","survey-likert","41","193350","0.0-3.0-0.38","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","57","But I don't know exactly where she is.","<2.25","","1","null"
"6320","{""Q0"":4}","survey-likert","42","199672","0.0-3.0-0.39","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","600","It was not the most comfortable of transport.","4.25-5.25","","5","null"
"3537","{""Q0"":0}","survey-likert","43","203211","0.0-3.0-0.40","681ae31bd94a34a104d5e66f","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","402","He might get fed up of his habits.","3.25-4.25","","1","null"
