"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"5740","{""Q0"":""6a13661cce27cd1e4166e1f0""}","survey-text","0","5746","0.0-0.0","6a13661cce27cd1e4166e1f0","","","","","","","","","","","",""
"5428","0","html-button-response","1","11175","0.0-1.0","6a13661cce27cd1e4166e1f0","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"17029","0","html-button-response","2","28206","0.0-2.0","6a13661cce27cd1e4166e1f0","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"7709","{""Q0"":2}","survey-likert","3","35915","0.0-3.0-0.0","6a13661cce27cd1e4166e1f0","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","377","Surely, he cannot be jealous of the baby?","3.25-4.25","","3","null"
"4022","{""Q0"":1}","survey-likert","4","39938","0.0-3.0-0.1","6a13661cce27cd1e4166e1f0","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","696","Relief swept through her when she found one.",">5.25","","2","null"
"4220","{""Q0"":5}","survey-likert","5","44161","0.0-3.0-0.2","6a13661cce27cd1e4166e1f0","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","404","There is a little white at the base.","3.25-4.25","","6","null"
"3358","{""Q0"":1}","survey-likert","6","47520","0.0-3.0-0.3","6a13661cce27cd1e4166e1f0","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","398","What did you put for your best feature?","3.25-4.25","","2","null"
"2699","{""Q0"":1}","survey-likert","7","50220","0.0-3.0-0.4","6a13661cce27cd1e4166e1f0","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","81","I want you to have a good time.","<2.25","","2","null"
"2128","{""Q0"":1}","survey-likert","8","52349","0.0-3.0-0.5","6a13661cce27cd1e4166e1f0","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","42","It's the logical thing to do, isn't it?","<2.25","","2","null"
"2182","{""Q0"":1}","survey-likert","9","54534","0.0-3.0-0.6","6a13661cce27cd1e4166e1f0","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","145","Truth is, I don't know what to say.","<2.25","","2","null"
"1855","{""Q0"":1}","survey-likert","10","56391","0.0-3.0-0.7","6a13661cce27cd1e4166e1f0","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","55","You were right, you were right all along.","<2.25","","2","null"
"2645","{""Q0"":5}","survey-likert","11","59036","0.0-3.0-0.8","6a13661cce27cd1e4166e1f0","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","657","A bead of sweat rolled down Wayne's forehead.",">5.25","","6","null"
"1762","{""Q0"":1}","survey-likert","12","60800","0.0-3.0-0.9","6a13661cce27cd1e4166e1f0","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","159","That's exactly what I want you to do.","<2.25","","2","null"
"1971","{""Q0"":1}","survey-likert","13","62772","0.0-3.0-0.10","6a13661cce27cd1e4166e1f0","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","471","It seems the rumors were not far off.","3.25-4.25","","2","null"
"2259","{""Q0"":5}","survey-likert","14","65031","0.0-3.0-0.11","6a13661cce27cd1e4166e1f0","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","668","Elizabeth was sorting jars and tins of food.",">5.25","","6","null"
"2327","{""Q0"":5}","survey-likert","15","67360","0.0-3.0-0.12","6a13661cce27cd1e4166e1f0","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","286","Did you see an animal of any kind?","2.25-3.25","","6","null"
"1977","{""Q0"":1}","survey-likert","16","69339","0.0-3.0-0.13","6a13661cce27cd1e4166e1f0","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","258","I wonder how long I have been away.","2.25-3.25","","2","null"
"2611","{""Q0"":5}","survey-likert","17","71950","0.0-3.0-0.14","6a13661cce27cd1e4166e1f0","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","582","Then, she filled a bucket for her horse.","4.25-5.25","","6","null"
"2939","{""Q0"":1}","survey-likert","18","78396","0.0-3.0-0.15","6a13661cce27cd1e4166e1f0","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","202","He'd want to know as soon as possible.","2.25-3.25","","2","null"
"3327","{""Q0"":1}","survey-likert","19","81725","0.0-3.0-0.16","6a13661cce27cd1e4166e1f0","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","193","I was supposed to be doing something else.","2.25-3.25","","2","null"
"2371","{""Q0"":5}","survey-likert","20","84097","0.0-3.0-0.17","6a13661cce27cd1e4166e1f0","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","522","Expensive furniture and paintings filled room after room.","4.25-5.25","","6","null"
"4222","{""Q0"":2}","survey-likert","21","88320","0.0-3.0-0.18","6a13661cce27cd1e4166e1f0","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","498","Very little is known about his sumo career.","4.25-5.25","","3","null"
"1989","{""Q0"":5}","survey-likert","22","90311","0.0-3.0-0.19","6a13661cce27cd1e4166e1f0","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","23","May I buy you a cup of coffee?","<2.25","","6","null"
"2540","{""Q0"":6}","survey-likert","23","92853","0.0-3.0-0.20","6a13661cce27cd1e4166e1f0","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_20","This is an attention check. Please click 7.","attention_check","7","7","true"
"2205","{""Q0"":1}","survey-likert","24","95058","0.0-3.0-0.21","6a13661cce27cd1e4166e1f0","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","331","Was there anything left for me to find?","3.25-4.25","","2","null"
"3228","{""Q0"":4}","survey-likert","25","98288","0.0-3.0-0.22","6a13661cce27cd1e4166e1f0","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","38","Are you sure you want to see it?","<2.25","","5","null"
