"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"5636","{""Q0"":""65feaaac53eb219f09ad5ea0""}","survey-text","0","5684","0.0-0.0","65feaaac53eb219f09ad5ea0","","","","","","","","","","","",""
"25712","0","html-button-response","1","31400","0.0-1.0","65feaaac53eb219f09ad5ea0","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"34455","0","html-button-response","2","65857","0.0-2.0","65feaaac53eb219f09ad5ea0","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"10454","{""Q0"":0}","survey-likert","3","76316","0.0-3.0-0.0","65feaaac53eb219f09ad5ea0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","91","This is the worst moment of my life.","<2.25","","1","null"
"5667","{""Q0"":3}","survey-likert","4","81986","0.0-3.0-0.1","65feaaac53eb219f09ad5ea0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","5","Is there anything I can do for you?","<2.25","","4","null"
"6899","{""Q0"":4}","survey-likert","5","88888","0.0-3.0-0.2","65feaaac53eb219f09ad5ea0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","285","And now there are trees all around us.","2.25-3.25","","5","null"
"15218","{""Q0"":2}","survey-likert","6","104109","0.0-3.0-0.3","65feaaac53eb219f09ad5ea0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","335","He looked to be a normal-sized eight-year-old kid.","3.25-4.25","","3","null"
"4086","{""Q0"":2}","survey-likert","7","108198","0.0-3.0-0.4","65feaaac53eb219f09ad5ea0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","67","Oh, I wish I could remember the name.","<2.25","","3","null"
"3814","{""Q0"":1}","survey-likert","8","112014","0.0-3.0-0.5","65feaaac53eb219f09ad5ea0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","336","He looked at me with a wacky gaze.","3.25-4.25","","2","null"
"3076","{""Q0"":0}","survey-likert","9","115091","0.0-3.0-0.6","65feaaac53eb219f09ad5ea0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","138","There is no use in talking about it.","<2.25","","1","null"
"5781","{""Q0"":2}","survey-likert","10","120875","0.0-3.0-0.7","65feaaac53eb219f09ad5ea0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","502","We were surrounded by people from various origins.","4.25-5.25","","3","null"
"15536","{""Q0"":2}","survey-likert","11","136412","0.0-3.0-0.8","65feaaac53eb219f09ad5ea0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","699","It also had real but limited economic advances.",">5.25","","3","null"
"3939","{""Q0"":1}","survey-likert","12","140354","0.0-3.0-0.9","65feaaac53eb219f09ad5ea0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","92","Maybe you should take another look at it.","<2.25","","2","null"
"2982","{""Q0"":3}","survey-likert","13","143338","0.0-3.0-0.10","65feaaac53eb219f09ad5ea0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","168","I'm just trying to find the right words.","2.25-3.25","","4","null"
"2712","{""Q0"":0}","survey-likert","14","146053","0.0-3.0-0.11","65feaaac53eb219f09ad5ea0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","94","This is not where I want to be.","<2.25","","1","null"
"4113","{""Q0"":5}","survey-likert","15","150167","0.0-3.0-0.12","65feaaac53eb219f09ad5ea0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","359","So tonight I decided to have a barbecue.","3.25-4.25","","6","null"
"5614","{""Q0"":2}","survey-likert","16","155783","0.0-3.0-0.13","65feaaac53eb219f09ad5ea0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","771","Reactions worked totally off of his trained instincts.",">5.25","","3","null"
"2624","{""Q0"":1}","survey-likert","17","158409","0.0-3.0-0.14","65feaaac53eb219f09ad5ea0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","115","What am I going to say to them?","<2.25","","2","null"
"4180","{""Q0"":2}","survey-likert","18","162590","0.0-3.0-0.15","65feaaac53eb219f09ad5ea0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","99","I was trying to do the right thing.","<2.25","","3","null"
"2981","{""Q0"":3}","survey-likert","19","165572","0.0-3.0-0.16","65feaaac53eb219f09ad5ea0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","304","We must move before the sun comes up.","2.25-3.25","","4","null"
"6277","{""Q0"":6}","survey-likert","20","171850","0.0-3.0-0.17","65feaaac53eb219f09ad5ea0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","399","Fortunately, you've arrived on a very interesting night.","3.25-4.25","","7","null"
"5041","{""Q0"":4}","survey-likert","21","176892","0.0-3.0-0.18","65feaaac53eb219f09ad5ea0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","701","I was elected captain and James became jealous.",">5.25","","5","null"
"3864","{""Q0"":2}","survey-likert","22","180758","0.0-3.0-0.19","65feaaac53eb219f09ad5ea0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","177","Frankly, I can't spare the time right now.","2.25-3.25","","3","null"
"5022","{""Q0"":6}","survey-likert","23","185781","0.0-3.0-0.20","65feaaac53eb219f09ad5ea0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","attention_check_20","This is an attention check. Please click 7.","attention_check","7","7","true"
