"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"18228","{""Q0"":""692f30db5686213a89e2df18""}","survey-text","0","18322","0.0-0.0","692f30db5686213a89e2df18","","","","","","","","","","","",""
"73464","0","html-button-response","1","91791","0.0-1.0","692f30db5686213a89e2df18","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"15534","0","html-button-response","2","107328","0.0-2.0","692f30db5686213a89e2df18","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"9951","{""Q0"":4}","survey-likert","3","117283","0.0-3.0-0.0","692f30db5686213a89e2df18","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","108","What do you do to make ends meet?","<2.25","","5","null"
"6195","{""Q0"":3}","survey-likert","4","123481","0.0-3.0-0.1","692f30db5686213a89e2df18","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","4","null"
"2866","{""Q0"":5}","survey-likert","5","126351","0.0-3.0-0.2","692f30db5686213a89e2df18","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","774","The sheep turn round and charge the shepherd?",">5.25","","6","null"
"3823","{""Q0"":6}","survey-likert","6","130178","0.0-3.0-0.3","692f30db5686213a89e2df18","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","783","There was more chatter and tapping of watches.",">5.25","","7","null"
"5679","{""Q0"":1}","survey-likert","7","135858","0.0-3.0-0.4","692f30db5686213a89e2df18","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","166","I'd love to hear about what you're doing.","2.25-3.25","","2","null"
"3115","{""Q0"":4}","survey-likert","8","138976","0.0-3.0-0.5","692f30db5686213a89e2df18","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","5","null"
"3520","{""Q0"":4}","survey-likert","9","142500","0.0-3.0-0.6","692f30db5686213a89e2df18","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","5","null"
"3996","{""Q0"":6}","survey-likert","10","146498","0.0-3.0-0.7","692f30db5686213a89e2df18","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","541","Music and laughter came from inside the shop.","4.25-5.25","","7","null"
"14665","{""Q0"":5}","survey-likert","11","161167","0.0-3.0-0.8","692f30db5686213a89e2df18","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","324","She turned her attention back to the furnishings.","3.25-4.25","","6","null"
"2580","{""Q0"":5}","survey-likert","12","163749","0.0-3.0-0.9","692f30db5686213a89e2df18","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","266","Suddenly, a faint whisper swirled in her ear.","2.25-3.25","","6","null"
"45288","{""Q0"":6}","survey-likert","13","209040","0.0-3.0-0.10","692f30db5686213a89e2df18","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","27","Sir, would you like to leave a message?","<2.25","","7","null"
"5032","{""Q0"":0}","survey-likert","14","214075","0.0-3.0-0.11","692f30db5686213a89e2df18","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","392","He tried to wind down his window surreptitiously.","3.25-4.25","","1","null"
"8831","{""Q0"":0}","survey-likert","15","222910","0.0-3.0-0.12","692f30db5686213a89e2df18","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","778","That was very interesting research George was doing!",">5.25","","1","null"
"5481","{""Q0"":1}","survey-likert","16","228393","0.0-3.0-0.13","692f30db5686213a89e2df18","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","619","The next morning found him eager to begin.","4.25-5.25","","2","null"
"5020","{""Q0"":2}","survey-likert","17","233417","0.0-3.0-0.14","692f30db5686213a89e2df18","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","708","The guy most likely looked at life simply.",">5.25","","3","null"
"7083","{""Q0"":4}","survey-likert","18","240501","0.0-3.0-0.15","692f30db5686213a89e2df18","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","438","Footsteps moved toward them up the side street.","3.25-4.25","","5","null"
"2657","{""Q0"":0}","survey-likert","19","243161","0.0-3.0-0.16","692f30db5686213a89e2df18","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","381","The flow of data is returning to normal.","3.25-4.25","","1","null"
"3720","{""Q0"":5}","survey-likert","20","246883","0.0-3.0-0.17","692f30db5686213a89e2df18","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","333","He looked at the poster on the wall.","3.25-4.25","","6","null"
"2732","{""Q0"":6}","survey-likert","21","249617","0.0-3.0-0.18","692f30db5686213a89e2df18","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","688","I watched him head to the other barn.",">5.25","","7","null"
"3071","{""Q0"":4}","survey-likert","22","252691","0.0-3.0-0.19","692f30db5686213a89e2df18","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","43","Call me when you get close, all right?","<2.25","","5","null"
"3354","{""Q0"":2}","survey-likert","23","256049","0.0-3.0-0.20","692f30db5686213a89e2df18","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_20","This is an attention check. Please click 3.","attention_check","3","3","true"
