"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"87978","{""Q0"":""6982544679288685d8a0199f""}","survey-text","0","88008","0.0-0.0","6982544679288685d8a0199f","","","","","","","","","","","",""
"4368","0","html-button-response","1","92379","0.0-1.0","6982544679288685d8a0199f","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"315894","0","html-button-response","2","408282","0.0-2.0","6982544679288685d8a0199f","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"14834","{""Q0"":2}","survey-likert","3","423119","0.0-3.0-0.0","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","656","Now it runs without any rake sharing arrangement.",">5.25","","3","null"
"32362","{""Q0"":4}","survey-likert","4","455485","0.0-3.0-0.1","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","702","I began to ride a first rate hunch.",">5.25","","5","null"
"9637","{""Q0"":3}","survey-likert","5","465124","0.0-3.0-0.2","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","251","Not that I didn't like the cat, too.","2.25-3.25","","4","null"
"4676","{""Q0"":6}","survey-likert","6","469803","0.0-3.0-0.3","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","235","I'm in the middle of something important here.","2.25-3.25","","7","null"
"6462","{""Q0"":6}","survey-likert","7","476267","0.0-3.0-0.4","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","384","The launch was delayed by a few months.","3.25-4.25","","7","null"
"13071","{""Q0"":6}","survey-likert","8","489340","0.0-3.0-0.5","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","330","He got up and headed toward the kitchen.","3.25-4.25","","7","null"
"4025","{""Q0"":6}","survey-likert","9","493366","0.0-3.0-0.6","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","39","Promise me you won't put yourself in danger.","<2.25","","7","null"
"4794","{""Q0"":5}","survey-likert","10","498162","0.0-3.0-0.7","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","187","Otherwise, I won't give you any new information.","2.25-3.25","","6","null"
"5387","{""Q0"":6}","survey-likert","11","503551","0.0-3.0-0.8","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","544","Start to finish, the meal took seven minutes.","4.25-5.25","","7","null"
"3313","{""Q0"":5}","survey-likert","12","506865","0.0-3.0-0.9","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","314","A knock at the front door interrupted me.","2.25-3.25","","6","null"
"7317","{""Q0"":2}","survey-likert","13","514184","0.0-3.0-0.10","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","705","He gestures between us, like now we're connected.",">5.25","","3","null"
"4284","{""Q0"":6}","survey-likert","14","518471","0.0-3.0-0.11","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","287","Right now it's just wonderful to be back.","2.25-3.25","","7","null"
"4190","{""Q0"":6}","survey-likert","15","522663","0.0-3.0-0.12","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","477","There is too much happening in world politics.","3.25-4.25","","7","null"
"3456","{""Q0"":6}","survey-likert","16","526120","0.0-3.0-0.13","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","297","How many times did you try calling her?","2.25-3.25","","7","null"
"3456","{""Q0"":6}","survey-likert","17","529578","0.0-3.0-0.14","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","363","Freedom is the greatest prize of them all.","3.25-4.25","","7","null"
"4380","{""Q0"":4}","survey-likert","18","533959","0.0-3.0-0.15","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","561","You alone have stood up to their guards.","4.25-5.25","","5","null"
"6192","{""Q0"":4}","survey-likert","19","540152","0.0-3.0-0.16","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","198","Honestly, what do you think of the yearbook?","2.25-3.25","","5","null"
"4759","{""Q0"":2}","survey-likert","20","544913","0.0-3.0-0.17","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","579","Well, you should always let a roast rest.","4.25-5.25","","3","null"
"4854","{""Q0"":6}","survey-likert","21","549768","0.0-3.0-0.18","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","452","Everything was running as usual in her head.","3.25-4.25","","7","null"
"2972","{""Q0"":6}","survey-likert","22","552741","0.0-3.0-0.19","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","4","Do you understand what I'm trying to say?","<2.25","","7","null"
"3562","{""Q0"":4}","survey-likert","23","556305","0.0-3.0-0.20","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","attention_check_20","This is an attention check. Please click 5.","attention_check","5","5","true"
"4677","{""Q0"":2}","survey-likert","24","560983","0.0-3.0-0.21","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","671","Teddy tilted his face into the soft rain.",">5.25","","3","null"
"5668","{""Q0"":4}","survey-likert","25","566653","0.0-3.0-0.22","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","435","And how are you enjoying this fine evening?","3.25-4.25","","5","null"
"7341","{""Q0"":2}","survey-likert","26","573996","0.0-3.0-0.23","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","347","When she stepped into view, she saw everyone.","3.25-4.25","","3","null"
"4321","{""Q0"":2}","survey-likert","27","578318","0.0-3.0-0.24","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","747","And Matt wandered off to investigate the grounds.",">5.25","","3","null"
"4167","{""Q0"":3}","survey-likert","28","582486","0.0-3.0-0.25","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","225","I'm not the only one on your trail.","2.25-3.25","","4","null"
"4936","{""Q0"":1}","survey-likert","29","587424","0.0-3.0-0.26","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","357","He put the receiver down and sat up.","3.25-4.25","","2","null"
"4462","{""Q0"":2}","survey-likert","30","591888","0.0-3.0-0.27","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","730","Some tapes of my studio and some books.",">5.25","","3","null"
"3007","{""Q0"":6}","survey-likert","31","594896","0.0-3.0-0.28","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","449","It took him a moment to remember it.","3.25-4.25","","7","null"
"4747","{""Q0"":4}","survey-likert","32","599644","0.0-3.0-0.29","6982544679288685d8a0199f","","[0]","","2","1","How much does the sentence make sense?","342","He was at the wrong place, wrong time.","3.25-4.25","","5","null"
