"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"2306","{""Q0"":""5c439193f114f2000195658e""}","survey-text","0","2317","0.0-0.0","5c439193f114f2000195658e","","","","","","","","","","","",""
"3102","0","html-button-response","1","5420","0.0-1.0","5c439193f114f2000195658e","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"14941","0","html-button-response","2","20363","0.0-2.0","5c439193f114f2000195658e","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"5863","{""Q0"":2}","survey-likert","3","26227","0.0-3.0-0.0","5c439193f114f2000195658e","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","108","What do you do to make ends meet?","<2.25","","3","null"
"5903","{""Q0"":1}","survey-likert","4","32132","0.0-3.0-0.1","5c439193f114f2000195658e","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","2","null"
"6263","{""Q0"":3}","survey-likert","5","38396","0.0-3.0-0.2","5c439193f114f2000195658e","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","774","The sheep turn round and charge the shepherd?",">5.25","","4","null"
"4790","{""Q0"":2}","survey-likert","6","43187","0.0-3.0-0.3","5c439193f114f2000195658e","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","783","There was more chatter and tapping of watches.",">5.25","","3","null"
"3896","{""Q0"":4}","survey-likert","7","47084","0.0-3.0-0.4","5c439193f114f2000195658e","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","166","I'd love to hear about what you're doing.","2.25-3.25","","5","null"
"5791","{""Q0"":3}","survey-likert","8","52876","0.0-3.0-0.5","5c439193f114f2000195658e","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","4","null"
"6270","{""Q0"":2}","survey-likert","9","59147","0.0-3.0-0.6","5c439193f114f2000195658e","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","3","null"
"4639","{""Q0"":4}","survey-likert","10","63787","0.0-3.0-0.7","5c439193f114f2000195658e","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","541","Music and laughter came from inside the shop.","4.25-5.25","","5","null"
"3495","{""Q0"":2}","survey-likert","11","67284","0.0-3.0-0.8","5c439193f114f2000195658e","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","324","She turned her attention back to the furnishings.","3.25-4.25","","3","null"
"3559","{""Q0"":5}","survey-likert","12","70843","0.0-3.0-0.9","5c439193f114f2000195658e","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","266","Suddenly, a faint whisper swirled in her ear.","2.25-3.25","","6","null"
"4663","{""Q0"":1}","survey-likert","13","75507","0.0-3.0-0.10","5c439193f114f2000195658e","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","27","Sir, would you like to leave a message?","<2.25","","2","null"
"4255","{""Q0"":1}","survey-likert","14","79764","0.0-3.0-0.11","5c439193f114f2000195658e","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","392","He tried to wind down his window surreptitiously.","3.25-4.25","","2","null"
"3727","{""Q0"":3}","survey-likert","15","83491","0.0-3.0-0.12","5c439193f114f2000195658e","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","778","That was very interesting research George was doing!",">5.25","","4","null"
"8447","{""Q0"":4}","survey-likert","16","91940","0.0-3.0-0.13","5c439193f114f2000195658e","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","619","The next morning found him eager to begin.","4.25-5.25","","5","null"
