"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"7942","{""Q0"":""6a0cb263a1bd4b3a8631e004""}","survey-text","0","8042","0.0-0.0","6a0cb263a1bd4b3a8631e004","","","","","","","","","","","",""
"1883","0","html-button-response","1","9928","0.0-1.0","6a0cb263a1bd4b3a8631e004","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"15266","0","html-button-response","2","25195","0.0-2.0","6a0cb263a1bd4b3a8631e004","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"10083","{""Q0"":2}","survey-likert","3","35280","0.0-3.0-0.0","6a0cb263a1bd4b3a8631e004","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","49","All you had to do was walk away.","<2.25","","3","null"
"8023","{""Q0"":3}","survey-likert","4","43304","0.0-3.0-0.1","6a0cb263a1bd4b3a8631e004","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","153","Only one of them could have done that.","<2.25","","4","null"
"3426","{""Q0"":3}","survey-likert","5","46733","0.0-3.0-0.2","6a0cb263a1bd4b3a8631e004","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","326","He was holding his backpack over his head.","3.25-4.25","","4","null"
"6323","{""Q0"":4}","survey-likert","6","53058","0.0-3.0-0.3","6a0cb263a1bd4b3a8631e004","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","5","null"
"3485","{""Q0"":3}","survey-likert","7","56544","0.0-3.0-0.4","6a0cb263a1bd4b3a8631e004","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","59","I really haven't made up my mind yet.","<2.25","","4","null"
"7873","{""Q0"":1}","survey-likert","8","64419","0.0-3.0-0.5","6a0cb263a1bd4b3a8631e004","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","512","The other two float out into the vacuum.","4.25-5.25","","2","null"
"6370","{""Q0"":3}","survey-likert","9","70791","0.0-3.0-0.6","6a0cb263a1bd4b3a8631e004","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","420","He put half a dozen in his pouch.","3.25-4.25","","4","null"
"2820","{""Q0"":3}","survey-likert","10","73613","0.0-3.0-0.7","6a0cb263a1bd4b3a8631e004","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","68","He picked it up and looked at it.","<2.25","","4","null"
"8999","{""Q0"":4}","survey-likert","11","82613","0.0-3.0-0.8","6a0cb263a1bd4b3a8631e004","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","733","They must purchase the electric power at wholesale.",">5.25","","5","null"
"3896","{""Q0"":3}","survey-likert","12","86512","0.0-3.0-0.9","6a0cb263a1bd4b3a8631e004","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","403","They were putting on a mask of calm.","3.25-4.25","","4","null"
"3277","{""Q0"":4}","survey-likert","13","89791","0.0-3.0-0.10","6a0cb263a1bd4b3a8631e004","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","625","With luck, maybe it will work without trouble.","4.25-5.25","","5","null"
"4249","{""Q0"":3}","survey-likert","14","94042","0.0-3.0-0.11","6a0cb263a1bd4b3a8631e004","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","185","Suddenly there was an image in my mind.","2.25-3.25","","4","null"
"5285","{""Q0"":1}","survey-likert","15","99329","0.0-3.0-0.12","6a0cb263a1bd4b3a8631e004","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","139","There's a lot of things I can't change.","<2.25","","2","null"
"4019","{""Q0"":4}","survey-likert","16","103349","0.0-3.0-0.13","6a0cb263a1bd4b3a8631e004","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","496","She shopped for only one thing: a bargain.","4.25-5.25","","5","null"
