"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"16167","{""Q0"":""6162fc52fa68079d28dc5be9""}","survey-text","0","16214","0.0-0.0","6162fc52fa68079d28dc5be9","","","","","","","","","","","",""
"25045","0","html-button-response","1","41265","0.0-1.0","6162fc52fa68079d28dc5be9","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"42446","0","html-button-response","2","83714","0.0-2.0","6162fc52fa68079d28dc5be9","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"14202","{""Q0"":1}","survey-likert","3","97920","0.0-3.0-0.0","6162fc52fa68079d28dc5be9","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","656","Now it runs without any rake sharing arrangement.",">5.25","","2","null"
"6321","{""Q0"":4}","survey-likert","4","104244","0.0-3.0-0.1","6162fc52fa68079d28dc5be9","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","702","I began to ride a first rate hunch.",">5.25","","5","null"
"7832","{""Q0"":5}","survey-likert","5","112080","0.0-3.0-0.2","6162fc52fa68079d28dc5be9","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","251","Not that I didn't like the cat, too.","2.25-3.25","","6","null"
"5987","{""Q0"":1}","survey-likert","6","118071","0.0-3.0-0.3","6162fc52fa68079d28dc5be9","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","235","I'm in the middle of something important here.","2.25-3.25","","2","null"
"4815","{""Q0"":1}","survey-likert","7","122890","0.0-3.0-0.4","6162fc52fa68079d28dc5be9","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","384","The launch was delayed by a few months.","3.25-4.25","","2","null"
"4234","{""Q0"":2}","survey-likert","8","127127","0.0-3.0-0.5","6162fc52fa68079d28dc5be9","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","330","He got up and headed toward the kitchen.","3.25-4.25","","3","null"
"5538","{""Q0"":1}","survey-likert","9","132671","0.0-3.0-0.6","6162fc52fa68079d28dc5be9","","[0]","","2","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","39","Promise me you won't put yourself in danger.","<2.25","","2","null"
