"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"5604","{""Q0"":""69aec7d823ea59bdeaaa8d01""}","survey-text","0","5665","0.0-0.0","69aec7d823ea59bdeaaa8d01","","","","","","","","","","","",""
"1397","0","html-button-response","1","7066","0.0-1.0","69aec7d823ea59bdeaaa8d01","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"1511","0","html-button-response","2","8581","0.0-2.0","69aec7d823ea59bdeaaa8d01","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"8231","{""Q0"":1}","survey-likert","3","16816","0.0-3.0-0.0","69aec7d823ea59bdeaaa8d01","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","49","All you had to do was walk away.","<2.25","","2","null"
"7846","{""Q0"":0}","survey-likert","4","24669","0.0-3.0-0.1","69aec7d823ea59bdeaaa8d01","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","153","Only one of them could have done that.","<2.25","","1","null"
"4140","{""Q0"":4}","survey-likert","5","28813","0.0-3.0-0.2","69aec7d823ea59bdeaaa8d01","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","326","He was holding his backpack over his head.","3.25-4.25","","5","null"
"4420","{""Q0"":0}","survey-likert","6","33234","0.0-3.0-0.3","69aec7d823ea59bdeaaa8d01","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","1","null"
"3057","{""Q0"":0}","survey-likert","7","36295","0.0-3.0-0.4","69aec7d823ea59bdeaaa8d01","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","59","I really haven't made up my mind yet.","<2.25","","1","null"
"4231","{""Q0"":4}","survey-likert","8","40528","0.0-3.0-0.5","69aec7d823ea59bdeaaa8d01","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","512","The other two float out into the vacuum.","4.25-5.25","","5","null"
"3138","{""Q0"":0}","survey-likert","9","43668","0.0-3.0-0.6","69aec7d823ea59bdeaaa8d01","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","420","He put half a dozen in his pouch.","3.25-4.25","","1","null"
"21339","{""Q0"":2}","survey-likert","10","65011","0.0-3.0-0.7","69aec7d823ea59bdeaaa8d01","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","68","He picked it up and looked at it.","<2.25","","3","null"
"2841","{""Q0"":0}","survey-likert","11","67855","0.0-3.0-0.8","69aec7d823ea59bdeaaa8d01","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","733","They must purchase the electric power at wholesale.",">5.25","","1","null"
"4518","{""Q0"":1}","survey-likert","12","72376","0.0-3.0-0.9","69aec7d823ea59bdeaaa8d01","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","403","They were putting on a mask of calm.","3.25-4.25","","2","null"
"3193","{""Q0"":2}","survey-likert","13","75575","0.0-3.0-0.10","69aec7d823ea59bdeaaa8d01","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","625","With luck, maybe it will work without trouble.","4.25-5.25","","3","null"
"2874","{""Q0"":0}","survey-likert","14","78453","0.0-3.0-0.11","69aec7d823ea59bdeaaa8d01","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","185","Suddenly there was an image in my mind.","2.25-3.25","","1","null"
"2559","{""Q0"":0}","survey-likert","15","81015","0.0-3.0-0.12","69aec7d823ea59bdeaaa8d01","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","139","There's a lot of things I can't change.","<2.25","","1","null"
"4899","{""Q0"":0}","survey-likert","16","85917","0.0-3.0-0.13","69aec7d823ea59bdeaaa8d01","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","496","She shopped for only one thing: a bargain.","4.25-5.25","","1","null"
"2517","{""Q0"":0}","survey-likert","17","88437","0.0-3.0-0.14","69aec7d823ea59bdeaaa8d01","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","148","Let me know what you think of that.","<2.25","","1","null"
"2441","{""Q0"":0}","survey-likert","18","90880","0.0-3.0-0.15","69aec7d823ea59bdeaaa8d01","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","492","There's already a half million in this portfolio.","4.25-5.25","","1","null"
"2088","{""Q0"":0}","survey-likert","19","92971","0.0-3.0-0.16","69aec7d823ea59bdeaaa8d01","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","103","Mister, I don't want to know your name.","<2.25","","1","null"
