"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"4879","{""Q0"":""695fcaf23ab6c0d08a473a72""}","survey-text","0","4919","0.0-0.0","695fcaf23ab6c0d08a473a72","","","","","","","","","","","",""
"32007","0","html-button-response","1","36932","0.0-1.0","695fcaf23ab6c0d08a473a72","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"77372","0","html-button-response","2","114306","0.0-2.0","695fcaf23ab6c0d08a473a72","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"18511","{""Q0"":2}","survey-likert","3","132822","0.0-3.0-0.0","695fcaf23ab6c0d08a473a72","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","743","She noticed his particular attitude and his attention.",">5.25","","3","null"
"11173","{""Q0"":4}","survey-likert","4","144000","0.0-3.0-0.1","695fcaf23ab6c0d08a473a72","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","762","And now, Logan had stirred the pot again.",">5.25","","5","null"
"8488","{""Q0"":5}","survey-likert","5","152492","0.0-3.0-0.2","695fcaf23ab6c0d08a473a72","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","6","null"
"8806","{""Q0"":4}","survey-likert","6","161304","0.0-3.0-0.3","695fcaf23ab6c0d08a473a72","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","682","He resisted checking his notebook, determined to impress.",">5.25","","5","null"
"7725","{""Q0"":1}","survey-likert","7","169033","0.0-3.0-0.4","695fcaf23ab6c0d08a473a72","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","423","It is time to meet with the duke.","3.25-4.25","","2","null"
"11649","{""Q0"":3}","survey-likert","8","180686","0.0-3.0-0.5","695fcaf23ab6c0d08a473a72","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","551","You have acquired this power in two days?","4.25-5.25","","4","null"
"11948","{""Q0"":3}","survey-likert","9","192638","0.0-3.0-0.6","695fcaf23ab6c0d08a473a72","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","4","null"
"6392","{""Q0"":0}","survey-likert","10","199034","0.0-3.0-0.7","695fcaf23ab6c0d08a473a72","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","70","There's a message for you at the office.","<2.25","","1","null"
"7962","{""Q0"":3}","survey-likert","11","207000","0.0-3.0-0.8","695fcaf23ab6c0d08a473a72","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","253","That could only mean one of three things.","2.25-3.25","","4","null"
