"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"7385","{""Q0"":""605996d037bce4fb5488a375""}","survey-text","0","7399","0.0-0.0","605996d037bce4fb5488a375","","","","","","","","","","","",""
"37935","0","html-button-response","1","45337","0.0-1.0","605996d037bce4fb5488a375","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"100068","0","html-button-response","2","145407","0.0-2.0","605996d037bce4fb5488a375","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"16164","{""Q0"":5}","survey-likert","3","161573","0.0-3.0-0.0","605996d037bce4fb5488a375","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","117","Now, why did you ask to see me?","<2.25","","6","null"
"6670","{""Q0"":6}","survey-likert","4","168244","0.0-3.0-0.1","605996d037bce4fb5488a375","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","726","Or pretend we run an imaginary puppy store?",">5.25","","7","null"
"8471","{""Q0"":6}","survey-likert","5","176717","0.0-3.0-0.2","605996d037bce4fb5488a375","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","717","The crystals all over his car were growing.",">5.25","","7","null"
"8022","{""Q0"":5}","survey-likert","6","184740","0.0-3.0-0.3","605996d037bce4fb5488a375","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","534","Anne turned around, but barely recognized the captain.","4.25-5.25","","6","null"
"5982","{""Q0"":3}","survey-likert","7","190724","0.0-3.0-0.4","605996d037bce4fb5488a375","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","249","I was just giving you a hard time.","2.25-3.25","","4","null"
"6855","{""Q0"":2}","survey-likert","8","197580","0.0-3.0-0.5","605996d037bce4fb5488a375","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","316","I could not believe what they were saying.","2.25-3.25","","3","null"
"71286","{""Q0"":1}","survey-likert","9","268868","0.0-3.0-0.6","605996d037bce4fb5488a375","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","397","Maybe later you'll be a bit more rational.","3.25-4.25","","2","null"
"8758","{""Q0"":6}","survey-likert","10","277628","0.0-3.0-0.7","605996d037bce4fb5488a375","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","800","Cass stands there looking at him march away.",">5.25","","7","null"
"6966","{""Q0"":5}","survey-likert","11","284595","0.0-3.0-0.8","605996d037bce4fb5488a375","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","605","It means methane gas leeching from the soil.","4.25-5.25","","6","null"
"22751","{""Q0"":6}","survey-likert","12","307347","0.0-3.0-0.9","605996d037bce4fb5488a375","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","795","Something ancient stirred far off in the forest.",">5.25","","7","null"
"9597","{""Q0"":0}","survey-likert","13","316946","0.0-3.0-0.10","605996d037bce4fb5488a375","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","695","This development enabled the emergence of secondary consciousness.",">5.25","","1","null"
"8121","{""Q0"":6}","survey-likert","14","325067","0.0-3.0-0.11","605996d037bce4fb5488a375","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","660","The world beyond was eerie and dim, unrecognizable.",">5.25","","7","null"
