"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"4844","{""Q0"":""65dcbd7dd5a7a319e8d61474""}","survey-text","0","4850","0.0-0.0","65dcbd7dd5a7a319e8d61474","","","","","","","","","","","",""
"5990","0","html-button-response","1","10840","0.0-1.0","65dcbd7dd5a7a319e8d61474","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"30302","0","html-button-response","2","41143","0.0-2.0","65dcbd7dd5a7a319e8d61474","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"8380","{""Q0"":1}","survey-likert","3","49524","0.0-3.0-0.0","65dcbd7dd5a7a319e8d61474","","[0]","","2","1","How much does the sentence make sense?","656","Now it runs without any rake sharing arrangement.",">5.25","","2","null"
"7446","{""Q0"":2}","survey-likert","4","56971","0.0-3.0-0.1","65dcbd7dd5a7a319e8d61474","","[0]","","2","1","How much does the sentence make sense?","702","I began to ride a first rate hunch.",">5.25","","3","null"
"4301","{""Q0"":6}","survey-likert","5","61272","0.0-3.0-0.2","65dcbd7dd5a7a319e8d61474","","[0]","","2","1","How much does the sentence make sense?","251","Not that I didn't like the cat, too.","2.25-3.25","","7","null"
"2544","{""Q0"":6}","survey-likert","6","63817","0.0-3.0-0.3","65dcbd7dd5a7a319e8d61474","","[0]","","2","1","How much does the sentence make sense?","235","I'm in the middle of something important here.","2.25-3.25","","7","null"
"2784","{""Q0"":6}","survey-likert","7","66602","0.0-3.0-0.4","65dcbd7dd5a7a319e8d61474","","[0]","","2","1","How much does the sentence make sense?","384","The launch was delayed by a few months.","3.25-4.25","","7","null"
"3011","{""Q0"":6}","survey-likert","8","69613","0.0-3.0-0.5","65dcbd7dd5a7a319e8d61474","","[0]","","2","1","How much does the sentence make sense?","330","He got up and headed toward the kitchen.","3.25-4.25","","7","null"
"2919","{""Q0"":6}","survey-likert","9","72533","0.0-3.0-0.6","65dcbd7dd5a7a319e8d61474","","[0]","","2","1","How much does the sentence make sense?","39","Promise me you won't put yourself in danger.","<2.25","","7","null"
