"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"19863","{""Q0"":""63e12e51551a0a00ab990651""}","survey-text","0","19868","0.0-0.0","63e12e51551a0a00ab990651","","","","","","","","","","","",""
"7537","0","html-button-response","1","27406","0.0-1.0","63e12e51551a0a00ab990651","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"25199","0","html-button-response","2","52604","0.0-2.0","63e12e51551a0a00ab990651","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"6311","{""Q0"":0}","survey-likert","3","58916","0.0-3.0-0.0","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","91","This is the worst moment of my life.","<2.25","","1","null"
"3350","{""Q0"":0}","survey-likert","4","62269","0.0-3.0-0.1","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","5","Is there anything I can do for you?","<2.25","","1","null"
"7267","{""Q0"":5}","survey-likert","5","69539","0.0-3.0-0.2","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","285","And now there are trees all around us.","2.25-3.25","","6","null"
"9564","{""Q0"":2}","survey-likert","6","79106","0.0-3.0-0.3","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","335","He looked to be a normal-sized eight-year-old kid.","3.25-4.25","","3","null"
"3756","{""Q0"":0}","survey-likert","7","82863","0.0-3.0-0.4","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","67","Oh, I wish I could remember the name.","<2.25","","1","null"
"4133","{""Q0"":1}","survey-likert","8","86999","0.0-3.0-0.5","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","336","He looked at me with a wacky gaze.","3.25-4.25","","2","null"
"3698","{""Q0"":0}","survey-likert","9","90699","0.0-3.0-0.6","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","138","There is no use in talking about it.","<2.25","","1","null"
"4208","{""Q0"":1}","survey-likert","10","94910","0.0-3.0-0.7","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","502","We were surrounded by people from various origins.","4.25-5.25","","2","null"
"4415","{""Q0"":0}","survey-likert","11","99328","0.0-3.0-0.8","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","699","It also had real but limited economic advances.",">5.25","","1","null"
"4204","{""Q0"":0}","survey-likert","12","103534","0.0-3.0-0.9","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","92","Maybe you should take another look at it.","<2.25","","1","null"
"3302","{""Q0"":0}","survey-likert","13","106838","0.0-3.0-0.10","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","168","I'm just trying to find the right words.","2.25-3.25","","1","null"
"3558","{""Q0"":0}","survey-likert","14","110399","0.0-3.0-0.11","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","94","This is not where I want to be.","<2.25","","1","null"
"8300","{""Q0"":2}","survey-likert","15","118701","0.0-3.0-0.12","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","359","So tonight I decided to have a barbecue.","3.25-4.25","","3","null"
"10216","{""Q0"":0}","survey-likert","16","128919","0.0-3.0-0.13","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","771","Reactions worked totally off of his trained instincts.",">5.25","","1","null"
"5396","{""Q0"":0}","survey-likert","17","134318","0.0-3.0-0.14","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","115","What am I going to say to them?","<2.25","","1","null"
"3420","{""Q0"":0}","survey-likert","18","137740","0.0-3.0-0.15","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","99","I was trying to do the right thing.","<2.25","","1","null"
"4165","{""Q0"":1}","survey-likert","19","141907","0.0-3.0-0.16","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","304","We must move before the sun comes up.","2.25-3.25","","2","null"
"3987","{""Q0"":0}","survey-likert","20","145897","0.0-3.0-0.17","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","399","Fortunately, you've arrived on a very interesting night.","3.25-4.25","","1","null"
"4026","{""Q0"":1}","survey-likert","21","149925","0.0-3.0-0.18","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","701","I was elected captain and James became jealous.",">5.25","","2","null"
"6513","{""Q0"":0}","survey-likert","22","156441","0.0-3.0-0.19","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","177","Frankly, I can't spare the time right now.","2.25-3.25","","1","null"
"3954","{""Q0"":0}","survey-likert","23","160397","0.0-3.0-0.20","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_20","This is an attention check. Please click 1.","attention_check","1","1","true"
"4298","{""Q0"":0}","survey-likert","24","164697","0.0-3.0-0.21","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","764","Your writ runs in the hours of darkness.",">5.25","","1","null"
"3656","{""Q0"":0}","survey-likert","25","168355","0.0-3.0-0.22","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","455","However, I am without argument to explain it.","3.25-4.25","","1","null"
"5803","{""Q0"":2}","survey-likert","26","174161","0.0-3.0-0.23","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","288","Isn't she coming home for tea after all?","2.25-3.25","","3","null"
"3294","{""Q0"":0}","survey-likert","27","177457","0.0-3.0-0.24","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","76","I can't get it out of my head.","<2.25","","1","null"
"3242","{""Q0"":0}","survey-likert","28","180702","0.0-3.0-0.25","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","179","In the meantime, I had much to do.","2.25-3.25","","1","null"
"4749","{""Q0"":0}","survey-likert","29","185454","0.0-3.0-0.26","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","254","He had not expected them to believe him.","2.25-3.25","","1","null"
"5818","{""Q0"":0}","survey-likert","30","191273","0.0-3.0-0.27","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","345","It was a very heavy silence that followed.","3.25-4.25","","1","null"
"4908","{""Q0"":3}","survey-likert","31","196184","0.0-3.0-0.28","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","485","The huge goalkeeper had vanished into thin air.","4.25-5.25","","4","null"
"3620","{""Q0"":2}","survey-likert","32","199806","0.0-3.0-0.29","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","305","I went out to get him some food.","2.25-3.25","","3","null"
"4066","{""Q0"":0}","survey-likert","33","203874","0.0-3.0-0.30","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","518","Go figure, no one wears hats these days.","4.25-5.25","","1","null"
"4180","{""Q0"":0}","survey-likert","34","208057","0.0-3.0-0.31","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","532","They keep inviting us back every single year.","4.25-5.25","","1","null"
"9338","{""Q0"":3}","survey-likert","35","217397","0.0-3.0-0.32","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","466","He pulled up with all of his strength.","3.25-4.25","","4","null"
"6148","{""Q0"":0}","survey-likert","36","223547","0.0-3.0-0.33","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","234","Why do you think you're in this pickle?","2.25-3.25","","1","null"
"13108","{""Q0"":0}","survey-likert","37","236657","0.0-3.0-0.34","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","169","Well, of course, I'm sure you're a gentleman.","2.25-3.25","","1","null"
"3359","{""Q0"":0}","survey-likert","38","240018","0.0-3.0-0.35","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","69","Looks like someone wants to be a hero.","<2.25","","1","null"
"8972","{""Q0"":0}","survey-likert","39","248992","0.0-3.0-0.36","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","104","Everything you need to know is right there.","<2.25","","1","null"
"13612","{""Q0"":2}","survey-likert","40","262605","0.0-3.0-0.37","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","375","She can also be a bear at times.","3.25-4.25","","3","null"
"4513","{""Q0"":0}","survey-likert","41","267121","0.0-3.0-0.38","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","57","But I don't know exactly where she is.","<2.25","","1","null"
"5642","{""Q0"":3}","survey-likert","42","272765","0.0-3.0-0.39","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","600","It was not the most comfortable of transport.","4.25-5.25","","4","null"
"7480","{""Q0"":1}","survey-likert","43","280248","0.0-3.0-0.40","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","402","He might get fed up of his habits.","3.25-4.25","","2","null"
"4086","{""Q0"":5}","survey-likert","44","284336","0.0-3.0-0.41","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_40","This is an attention check. Please click 6.","attention_check","6","6","true"
"3234","{""Q0"":1}","survey-likert","45","287572","0.0-3.0-0.42","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","226","Her voice was too soft to be heard.","2.25-3.25","","2","null"
"4707","{""Q0"":1}","survey-likert","46","292282","0.0-3.0-0.43","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","588","But what did I know of such technology?","4.25-5.25","","2","null"
"3953","{""Q0"":0}","survey-likert","47","296237","0.0-3.0-0.44","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","390","No is a very powerful word, my friend.","3.25-4.25","","1","null"
"7459","{""Q0"":6}","survey-likert","48","303698","0.0-3.0-0.45","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","499","There was a room beyond a dividing wall.","4.25-5.25","","7","null"
"4863","{""Q0"":0}","survey-likert","49","308564","0.0-3.0-0.46","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","652","The thrill and the challenge top my list.",">5.25","","1","null"
"4160","{""Q0"":0}","survey-likert","50","312726","0.0-3.0-0.47","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","208","Maybe you'll find it later, maybe you won't.","2.25-3.25","","1","null"
"3694","{""Q0"":1}","survey-likert","51","316423","0.0-3.0-0.48","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","290","We have a few hours of light left.","2.25-3.25","","2","null"
"4679","{""Q0"":2}","survey-likert","52","321104","0.0-3.0-0.49","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","626","When juvenile, it is bright yellow in color.","4.25-5.25","","3","null"
"7133","{""Q0"":1}","survey-likert","53","328239","0.0-3.0-0.50","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","740","She began another long chant from the rituals.",">5.25","","2","null"
"4859","{""Q0"":0}","survey-likert","54","333100","0.0-3.0-0.51","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","176","I knew it was going to be okay.","2.25-3.25","","1","null"
"4166","{""Q0"":2}","survey-likert","55","337268","0.0-3.0-0.52","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","186","Why couldn't you just keep your head down?","2.25-3.25","","3","null"
"4124","{""Q0"":0}","survey-likert","56","341394","0.0-3.0-0.53","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","677","Less successful was the area of educational politics.",">5.25","","1","null"
"5886","{""Q0"":3}","survey-likert","57","347282","0.0-3.0-0.54","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","472","Your mouth is so tight, and turned down.","3.25-4.25","","4","null"
"5946","{""Q0"":2}","survey-likert","58","353231","0.0-3.0-0.55","63e12e51551a0a00ab990651","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","203","We need to get out of the sun.","2.25-3.25","","3","null"
