"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"2577","{""Q0"":""6a00f4fcc91fc576603c25eb""}","survey-text","0","2585","0.0-0.0","6a00f4fcc91fc576603c25eb","","","","","","","","","","","",""
"7263","0","html-button-response","1","9850","0.0-1.0","6a00f4fcc91fc576603c25eb","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"18928","0","html-button-response","2","28780","0.0-2.0","6a00f4fcc91fc576603c25eb","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"11427","{""Q0"":5}","survey-likert","3","40209","0.0-3.0-0.0","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","743","She noticed his particular attitude and his attention.",">5.25","","6","null"
"7980","{""Q0"":2}","survey-likert","4","48191","0.0-3.0-0.1","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","762","And now, Logan had stirred the pot again.",">5.25","","3","null"
"8075","{""Q0"":5}","survey-likert","5","56267","0.0-3.0-0.2","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","6","null"
"7716","{""Q0"":6}","survey-likert","6","63985","0.0-3.0-0.3","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","682","He resisted checking his notebook, determined to impress.",">5.25","","7","null"
"4987","{""Q0"":6}","survey-likert","7","68973","0.0-3.0-0.4","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","423","It is time to meet with the duke.","3.25-4.25","","7","null"
"6065","{""Q0"":1}","survey-likert","8","75040","0.0-3.0-0.5","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","551","You have acquired this power in two days?","4.25-5.25","","2","null"
"5046","{""Q0"":5}","survey-likert","9","80087","0.0-3.0-0.6","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","6","null"
"4848","{""Q0"":6}","survey-likert","10","84937","0.0-3.0-0.7","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","70","There's a message for you at the office.","<2.25","","7","null"
"5070","{""Q0"":6}","survey-likert","11","90009","0.0-3.0-0.8","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","253","That could only mean one of three things.","2.25-3.25","","7","null"
"4738","{""Q0"":5}","survey-likert","12","94748","0.0-3.0-0.9","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","127","You know that as well as I do.","<2.25","","6","null"
"6855","{""Q0"":0}","survey-likert","13","101603","0.0-3.0-0.10","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","686","The terminal palps are covered with substantial feathers.",">5.25","","1","null"
"3727","{""Q0"":6}","survey-likert","14","105331","0.0-3.0-0.11","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","543","What if their meeting was delayed or cancelled?","4.25-5.25","","7","null"
"4880","{""Q0"":6}","survey-likert","15","110212","0.0-3.0-0.12","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","328","The nearest neighbor is a quarter mile away.","3.25-4.25","","7","null"
"3562","{""Q0"":6}","survey-likert","16","113776","0.0-3.0-0.13","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","448","She hurried to catch up with the others.","3.25-4.25","","7","null"
"4521","{""Q0"":5}","survey-likert","17","118298","0.0-3.0-0.14","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","697","She shoved her paper over at the boy.",">5.25","","6","null"
"5406","{""Q0"":6}","survey-likert","18","123706","0.0-3.0-0.15","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","434","It went against everything that he was taught.","3.25-4.25","","7","null"
"7453","{""Q0"":3}","survey-likert","19","131160","0.0-3.0-0.16","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","773","Shipment of grub worms coming in first thing.",">5.25","","4","null"
"3518","{""Q0"":5}","survey-likert","20","134679","0.0-3.0-0.17","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","465","They all cast nervous glances at each other.","3.25-4.25","","6","null"
"4055","{""Q0"":6}","survey-likert","21","138735","0.0-3.0-0.18","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","383","The four grown-ups were seated around the table.","3.25-4.25","","7","null"
"4197","{""Q0"":6}","survey-likert","22","142934","0.0-3.0-0.19","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","432","There's one coming along the path right now.","3.25-4.25","","7","null"
"3375","{""Q0"":6}","survey-likert","23","146311","0.0-3.0-0.20","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","attention_check_20","This is an attention check. Please click 7.","attention_check","7","7","true"
"6815","{""Q0"":5}","survey-likert","24","153127","0.0-3.0-0.21","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","524","She threw the whole amount into that fund.","4.25-5.25","","6","null"
"8316","{""Q0"":5}","survey-likert","25","161444","0.0-3.0-0.22","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","527","Smuggling is an ancient and respected trade there.","4.25-5.25","","6","null"
"6951","{""Q0"":4}","survey-likert","26","168397","0.0-3.0-0.23","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","663","The three women shared a harsh, knowing laugh.",">5.25","","5","null"
"5166","{""Q0"":5}","survey-likert","27","173564","0.0-3.0-0.24","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","356","It had been snowing nonstop for a week.","3.25-4.25","","6","null"
"6817","{""Q0"":5}","survey-likert","28","180383","0.0-3.0-0.25","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","546","Through all the confusion came an overwhelming clarity.","4.25-5.25","","6","null"
"5622","{""Q0"":6}","survey-likert","29","186006","0.0-3.0-0.26","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","602","She lifted the goblet and toasted her employer.","4.25-5.25","","7","null"
"5728","{""Q0"":4}","survey-likert","30","191736","0.0-3.0-0.27","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","348","The craggy-faced man was leaning on a stick.","3.25-4.25","","5","null"
"4130","{""Q0"":6}","survey-likert","31","195868","0.0-3.0-0.28","6a00f4fcc91fc576603c25eb","","[0]","","7","1","How much does the sentence make sense?","406","I reached my limit a long time ago.","3.25-4.25","","7","null"
