"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"3410","{""Q0"":""69b0c18da5fae9eb6f4a1fe4""}","survey-text","0","3433","0.0-0.0","69b0c18da5fae9eb6f4a1fe4","","","","","","","","","","","",""
"5522","0","html-button-response","1","8960","0.0-1.0","69b0c18da5fae9eb6f4a1fe4","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"14546","0","html-button-response","2","23509","0.0-2.0","69b0c18da5fae9eb6f4a1fe4","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"5996","{""Q0"":5}","survey-likert","3","29511","0.0-3.0-0.0","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","117","Now, why did you ask to see me?","<2.25","","6","null"
"5016","{""Q0"":4}","survey-likert","4","34533","0.0-3.0-0.1","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","726","Or pretend we run an imaginary puppy store?",">5.25","","5","null"
"4953","{""Q0"":3}","survey-likert","5","39489","0.0-3.0-0.2","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","717","The crystals all over his car were growing.",">5.25","","4","null"
"4829","{""Q0"":6}","survey-likert","6","44322","0.0-3.0-0.3","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","534","Anne turned around, but barely recognized the captain.","4.25-5.25","","7","null"
"3776","{""Q0"":5}","survey-likert","7","48101","0.0-3.0-0.4","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","249","I was just giving you a hard time.","2.25-3.25","","6","null"
"3569","{""Q0"":6}","survey-likert","8","51674","0.0-3.0-0.5","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","316","I could not believe what they were saying.","2.25-3.25","","7","null"
"4367","{""Q0"":6}","survey-likert","9","56045","0.0-3.0-0.6","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","397","Maybe later you'll be a bit more rational.","3.25-4.25","","7","null"
"5527","{""Q0"":5}","survey-likert","10","61576","0.0-3.0-0.7","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","800","Cass stands there looking at him march away.",">5.25","","6","null"
"6631","{""Q0"":4}","survey-likert","11","68212","0.0-3.0-0.8","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","605","It means methane gas leeching from the soil.","4.25-5.25","","5","null"
"4612","{""Q0"":5}","survey-likert","12","72827","0.0-3.0-0.9","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","795","Something ancient stirred far off in the forest.",">5.25","","6","null"
"4676","{""Q0"":6}","survey-likert","13","77507","0.0-3.0-0.10","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","695","This development enabled the emergence of secondary consciousness.",">5.25","","7","null"
"3410","{""Q0"":5}","survey-likert","14","80920","0.0-3.0-0.11","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","660","The world beyond was eerie and dim, unrecognizable.",">5.25","","6","null"
"4237","{""Q0"":5}","survey-likert","15","85160","0.0-3.0-0.12","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","395","Outside the sport, he worked as a mechanic.","3.25-4.25","","6","null"
"3137","{""Q0"":6}","survey-likert","16","88300","0.0-3.0-0.13","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","412","Can you see the spring in his step?","3.25-4.25","","7","null"
"3660","{""Q0"":3}","survey-likert","17","91965","0.0-3.0-0.14","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","382","I feel a new sun on my skin","3.25-4.25","","4","null"
"3171","{""Q0"":6}","survey-likert","18","95140","0.0-3.0-0.15","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","585","I did get a lot accomplished this week.","4.25-5.25","","7","null"
"3496","{""Q0"":6}","survey-likert","19","98640","0.0-3.0-0.16","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","21","I don't know what to do with you.","<2.25","","7","null"
"2726","{""Q0"":6}","survey-likert","20","101369","0.0-3.0-0.17","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","36","I think I'm going to go to bed.","<2.25","","7","null"
"3753","{""Q0"":5}","survey-likert","21","105125","0.0-3.0-0.18","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","22","Why don't you come in for a while?","<2.25","","6","null"
"3560","{""Q0"":5}","survey-likert","22","108689","0.0-3.0-0.19","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","312","The chauffeur changes the lock on the door.","2.25-3.25","","6","null"
"2055","{""Q0"":5}","survey-likert","23","110747","0.0-3.0-0.20","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","attention_check_20","This is an attention check. Please click 6.","attention_check","6","6","true"
"2742","{""Q0"":6}","survey-likert","24","113493","0.0-3.0-0.21","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","131","Why do you want to know my name?","<2.25","","7","null"
"4993","{""Q0"":4}","survey-likert","25","118490","0.0-3.0-0.22","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","640","They mine the leaves of their host plant.","4.25-5.25","","5","null"
"4081","{""Q0"":2}","survey-likert","26","122576","0.0-3.0-0.23","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","728","Flowers and mushrooms alike wore coats of glass.",">5.25","","3","null"
"4477","{""Q0"":5}","survey-likert","27","127056","0.0-3.0-0.24","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","786","Matthew stumbled as his feet met solid steps.",">5.25","","6","null"
"4377","{""Q0"":3}","survey-likert","28","131436","0.0-3.0-0.25","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","442","Fancy eating food with a fly in it!","3.25-4.25","","4","null"
"2907","{""Q0"":6}","survey-likert","29","134346","0.0-3.0-0.26","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","257","The words are coming out of my mouth.","2.25-3.25","","7","null"
"3427","{""Q0"":6}","survey-likert","30","137776","0.0-3.0-0.27","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","325","However, the distinction is still not universally applied.","3.25-4.25","","7","null"
"3452","{""Q0"":6}","survey-likert","31","141231","0.0-3.0-0.28","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","458","Bring him back to see me on Friday.","3.25-4.25","","7","null"
"3725","{""Q0"":6}","survey-likert","32","144959","0.0-3.0-0.29","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","141","Hopefully, I'll be able to find this guy.","<2.25","","7","null"
"4448","{""Q0"":5}","survey-likert","33","149412","0.0-3.0-0.30","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","742","Another long moment passed, William content to wait.",">5.25","","6","null"
"4653","{""Q0"":4}","survey-likert","34","154068","0.0-3.0-0.31","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","393","He has no magic to compare with that.","3.25-4.25","","5","null"
"4691","{""Q0"":5}","survey-likert","35","158763","0.0-3.0-0.32","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","766","The vines, faster now, reached for her thighs.",">5.25","","6","null"
"3721","{""Q0"":4}","survey-likert","36","162488","0.0-3.0-0.33","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","95","What did you want to see me for?","<2.25","","5","null"
"2934","{""Q0"":6}","survey-likert","37","165425","0.0-3.0-0.34","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","775","The guard examined it and waved us on.",">5.25","","7","null"
"7867","{""Q0"":5}","survey-likert","38","173297","0.0-3.0-0.35","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","776","Inside, the folk were gathered wondering and praying.",">5.25","","6","null"
"3312","{""Q0"":4}","survey-likert","39","176612","0.0-3.0-0.36","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","607","As if she could still give me orders!","4.25-5.25","","5","null"
"4486","{""Q0"":3}","survey-likert","40","181102","0.0-3.0-0.37","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","565","I made choices without knowing I did it.","4.25-5.25","","4","null"
"4374","{""Q0"":6}","survey-likert","41","185479","0.0-3.0-0.38","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","573","The dining area can easily accommodate ninety people.","4.25-5.25","","7","null"
"3219","{""Q0"":4}","survey-likert","42","188701","0.0-3.0-0.39","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","735","Meet after work and sip tea while talking.",">5.25","","5","null"
"3709","{""Q0"":5}","survey-likert","43","192414","0.0-3.0-0.40","69b0c18da5fae9eb6f4a1fe4","","[0]","","5","1","How much does the sentence make sense?","791","It needed scale and drama and special effects.",">5.25","","6","null"
