"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"11028","{""Q0"":""6346d9fda71cffd6c403c4a2""}","survey-text","0","11037","0.0-0.0","6346d9fda71cffd6c403c4a2","","","","","","","","","","","",""
"24175","0","html-button-response","1","35213","0.0-1.0","6346d9fda71cffd6c403c4a2","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"58769","0","html-button-response","2","93974","0.0-2.0","6346d9fda71cffd6c403c4a2","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"24248","{""Q0"":3}","survey-likert","3","118223","0.0-3.0-0.0","6346d9fda71cffd6c403c4a2","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","117","Now, why did you ask to see me?","<2.25","","4","null"
"11149","{""Q0"":4}","survey-likert","4","129374","0.0-3.0-0.1","6346d9fda71cffd6c403c4a2","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","726","Or pretend we run an imaginary puppy store?",">5.25","","5","null"
"10943","{""Q0"":4}","survey-likert","5","140321","0.0-3.0-0.2","6346d9fda71cffd6c403c4a2","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","717","The crystals all over his car were growing.",">5.25","","5","null"
"15431","{""Q0"":2}","survey-likert","6","155749","0.0-3.0-0.3","6346d9fda71cffd6c403c4a2","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","534","Anne turned around, but barely recognized the captain.","4.25-5.25","","3","null"
"14321","{""Q0"":2}","survey-likert","7","170072","0.0-3.0-0.4","6346d9fda71cffd6c403c4a2","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","249","I was just giving you a hard time.","2.25-3.25","","3","null"
"13415","{""Q0"":2}","survey-likert","8","183489","0.0-3.0-0.5","6346d9fda71cffd6c403c4a2","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","316","I could not believe what they were saying.","2.25-3.25","","3","null"
"10643","{""Q0"":3}","survey-likert","9","194134","0.0-3.0-0.6","6346d9fda71cffd6c403c4a2","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","397","Maybe later you'll be a bit more rational.","3.25-4.25","","4","null"
"25586","{""Q0"":3}","survey-likert","10","219716","0.0-3.0-0.7","6346d9fda71cffd6c403c4a2","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","800","Cass stands there looking at him march away.",">5.25","","4","null"
"10274","{""Q0"":2}","survey-likert","11","229993","0.0-3.0-0.8","6346d9fda71cffd6c403c4a2","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","605","It means methane gas leeching from the soil.","4.25-5.25","","3","null"
"8085","{""Q0"":2}","survey-likert","12","238080","0.0-3.0-0.9","6346d9fda71cffd6c403c4a2","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","795","Something ancient stirred far off in the forest.",">5.25","","3","null"
"12475","{""Q0"":2}","survey-likert","13","250556","0.0-3.0-0.10","6346d9fda71cffd6c403c4a2","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","695","This development enabled the emergence of secondary consciousness.",">5.25","","3","null"
"8783","{""Q0"":2}","survey-likert","14","259343","0.0-3.0-0.11","6346d9fda71cffd6c403c4a2","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","660","The world beyond was eerie and dim, unrecognizable.",">5.25","","3","null"
"10136","{""Q0"":3}","survey-likert","15","269474","0.0-3.0-0.12","6346d9fda71cffd6c403c4a2","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","395","Outside the sport, he worked as a mechanic.","3.25-4.25","","4","null"
"7752","{""Q0"":3}","survey-likert","16","277227","0.0-3.0-0.13","6346d9fda71cffd6c403c4a2","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","412","Can you see the spring in his step?","3.25-4.25","","4","null"
"11513","{""Q0"":4}","survey-likert","17","288741","0.0-3.0-0.14","6346d9fda71cffd6c403c4a2","","[0]","","5","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","382","I feel a new sun on my skin","3.25-4.25","","5","null"
