"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"11286","{""Q0"":""697e55e20958b78b4f0d7b15""}","survey-text","0","11314","0.0-0.0","697e55e20958b78b4f0d7b15","","","","","","","","","","","",""
"3000","0","html-button-response","1","14318","0.0-1.0","697e55e20958b78b4f0d7b15","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"61460","0","html-button-response","2","75783","0.0-2.0","697e55e20958b78b4f0d7b15","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"23848","{""Q0"":2}","survey-likert","3","99633","0.0-3.0-0.0","697e55e20958b78b4f0d7b15","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","656","Now it runs without any rake sharing arrangement.",">5.25","","3","null"
"6376","{""Q0"":5}","survey-likert","4","106011","0.0-3.0-0.1","697e55e20958b78b4f0d7b15","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","702","I began to ride a first rate hunch.",">5.25","","6","null"
"9588","{""Q0"":5}","survey-likert","5","115601","0.0-3.0-0.2","697e55e20958b78b4f0d7b15","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","251","Not that I didn't like the cat, too.","2.25-3.25","","6","null"
"5997","{""Q0"":6}","survey-likert","6","121600","0.0-3.0-0.3","697e55e20958b78b4f0d7b15","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","235","I'm in the middle of something important here.","2.25-3.25","","7","null"
"5565","{""Q0"":1}","survey-likert","7","127167","0.0-3.0-0.4","697e55e20958b78b4f0d7b15","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","384","The launch was delayed by a few months.","3.25-4.25","","2","null"
"7334","{""Q0"":6}","survey-likert","8","134503","0.0-3.0-0.5","697e55e20958b78b4f0d7b15","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","330","He got up and headed toward the kitchen.","3.25-4.25","","7","null"
"9139","{""Q0"":5}","survey-likert","9","143644","0.0-3.0-0.6","697e55e20958b78b4f0d7b15","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","39","Promise me you won't put yourself in danger.","<2.25","","6","null"
"4585","{""Q0"":6}","survey-likert","10","148230","0.0-3.0-0.7","697e55e20958b78b4f0d7b15","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","187","Otherwise, I won't give you any new information.","2.25-3.25","","7","null"
"12128","{""Q0"":4}","survey-likert","11","160360","0.0-3.0-0.8","697e55e20958b78b4f0d7b15","","[0]","","2","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","544","Start to finish, the meal took seven minutes.","4.25-5.25","","5","null"
